'Elapsed time','II','III','V','MCL1','ABP','PAP'
'58:02:05.408',-,-,0.264,-0.579,57.600,-
'58:02:05.416',-,-,0.363,-0.500,57.600,-
'58:02:05.424',-,-,0.538,-0.412,57.600,-
'58:02:05.432',-,-,0.725,-0.246,57.600,-
'58:02:05.440',-,-,0.901,-0.167,56.800,-
'58:02:05.448',-,-,0.813,-0.079,56.800,-
'58:02:05.456',-,-,1.000,0.000,56.000,-
'58:02:05.464',-,-,1.000,0.000,55.200,-
'58:02:05.472',-,-,1.088,0.079,54.400,-
'58:02:05.480',-,-,1.000,0.079,54.400,-
'58:02:05.488',-,-,1.176,0.079,54.400,-
'58:02:05.496',-,-,1.538,0.167,53.600,-
'58:02:05.504',-,-,1.626,0.079,53.600,-
'58:02:05.512',-,-,1.363,0.079,52.800,-
'58:02:05.520',-,-,1.363,0.000,52.800,-
'58:02:05.528',-,-,1.176,0.079,52.000,-
'58:02:05.536',-,-,1.363,0.079,52.000,-
'58:02:05.544',-,-,0.725,0.000,52.800,-
'58:02:05.552',-,-,0.000,0.000,54.400,-
'58:02:05.560',-,-,0.000,0.079,56.800,-
'58:02:05.568',-,-,-2.363,0.167,60.000,-
'58:02:05.576',-,-,-2.626,0.412,64.000,-
'58:02:05.584',-,-,-2.363,0.579,68.800,-
'58:02:05.592',-,-,-3.176,0.833,72.800,-
'58:02:05.600',-,-,-2.000,1.000,76.800,-
'58:02:05.608',-,-,-1.451,1.000,80.800,-
'58:02:05.616',-,-,-1.813,1.079,84.000,-
'58:02:05.624',-,-,-0.626,1.079,87.200,-
'58:02:05.632',-,-,2.000,1.079,88.800,-
'58:02:05.640',-,-,1.363,0.746,90.400,-
'58:02:05.648',-,-,-0.088,0.500,92.000,-
'58:02:05.656',-,-,-2.264,0.500,92.800,-
'58:02:05.664',-,-,-3.176,0.667,92.800,-
'58:02:05.672',-,-,-1.451,0.912,92.800,-
'58:02:05.680',-,-,1.725,1.079,91.200,-
'58:02:05.688',-,-,4.725,0.667,90.400,-
'58:02:05.696',-,-,2.088,0.333,88.800,-
'58:02:05.704',-,-,0.363,0.167,86.400,-
'58:02:05.712',-,-,-0.813,0.246,84.000,-
'58:02:05.720',-,-,-2.176,0.412,81.600,-
'58:02:05.728',-,-,4.000,0.579,79.200,-
'58:02:05.736',-,-,3.000,0.000,76.000,-
'58:02:05.744',-,-,2.264,-0.246,72.800,-
'58:02:05.752',-,-,1.725,-0.412,70.400,-
'58:02:05.760',-,-,1.363,-0.500,67.200,-
'58:02:05.768',-,-,1.176,-0.579,64.800,-
'58:02:05.776',-,-,1.000,-0.579,62.400,-
'58:02:05.784',-,-,0.813,-0.579,60.800,-
'58:02:05.792',-,-,0.725,-0.579,59.200,-
'58:02:05.800',-,-,0.626,-0.579,57.600,-
'58:02:05.808',-,-,0.538,-0.667,56.800,-
'58:02:05.816',-,-,0.538,-0.667,56.800,-
'58:02:05.824',-,-,0.451,-0.667,56.000,-
'58:02:05.832',-,-,0.264,-0.667,56.800,-
'58:02:05.840',-,-,0.451,-0.667,56.800,-
'58:02:05.848',-,-,0.451,-0.667,57.600,-
'58:02:05.856',-,-,0.363,-0.667,59.200,-
'58:02:05.864',-,-,0.451,-0.667,60.000,-
'58:02:05.872',-,-,0.451,-0.579,60.800,-
'58:02:05.880',-,-,0.451,-0.579,61.600,-
'58:02:05.888',-,-,0.451,-0.579,62.400,-
'58:02:05.896',-,-,0.176,-0.500,63.200,-
'58:02:05.904',-,-,-0.451,-1.412,64.000,-
'58:02:05.912',-,-,-1.000,-2.000,64.800,-
'58:02:05.920',-,-,-1.538,-2.667,65.600,-
'58:02:05.928',-,-,-1.626,-2.833,66.400,-
'58:02:05.936',-,-,-1.176,-2.333,66.400,-
'58:02:05.944',-,-,-0.725,-1.912,67.200,-
'58:02:05.952',-,-,-0.451,-1.579,67.200,-
'58:02:05.960',-,-,-0.176,-1.333,68.000,-
'58:02:05.968',-,-,0.000,-1.079,68.000,-
'58:02:05.976',-,-,0.176,-0.912,68.000,-
'58:02:05.984',-,-,0.363,-0.746,68.000,-
'58:02:05.992',-,-,0.538,-0.579,67.200,-
'58:02:06.000',-,-,0.626,-0.412,66.400,-
'58:02:06.008',-,-,0.725,-0.333,66.400,-
'58:02:06.016',-,-,0.813,-0.167,66.400,-
'58:02:06.024',-,-,0.538,-0.079,65.600,-
'58:02:06.032',-,-,0.264,0.000,65.600,-
'58:02:06.040',-,-,1.000,0.167,65.600,-
'58:02:06.048',-,-,1.176,0.167,66.400,-
'58:02:06.056',-,-,0.901,0.167,66.400,-
'58:02:06.064',-,-,0.626,0.246,66.400,-
'58:02:06.072',-,-,1.176,0.246,65.600,-
'58:02:06.080',-,-,1.176,0.246,65.600,-
'58:02:06.088',-,-,1.176,0.333,64.800,-
'58:02:06.096',-,-,1.000,0.246,64.800,-
'58:02:06.104',-,-,0.725,0.333,65.600,-
'58:02:06.112',-,-,0.626,0.333,67.200,-
'58:02:06.120',-,-,1.088,0.333,68.800,-
'58:02:06.128',-,-,1.176,0.333,72.800,-
'58:02:06.136',-,-,0.725,0.333,76.800,-
'58:02:06.144',-,-,0.538,0.333,81.600,-
'58:02:06.152',-,-,1.088,0.333,85.600,-
'58:02:06.160',-,-,1.000,0.333,90.400,-
'58:02:06.168',-,-,0.725,0.167,93.600,-
'58:02:06.176',-,-,0.088,0.167,96.800,-
'58:02:06.184',-,-,-0.626,0.167,100.000,-
'58:02:06.192',-,-,-0.088,0.167,101.600,-
'58:02:06.200',-,-,-0.088,0.167,103.200,-
'58:02:06.208',-,-,0.363,0.167,104.000,-
'58:02:06.216',-,-,0.363,0.167,104.800,-
'58:02:06.224',-,-,-0.176,0.079,104.000,-
'58:02:06.232',-,-,0.088,0.079,104.000,-
'58:02:06.240',-,-,-0.725,0.000,103.200,-
'58:02:06.248',-,-,-1.088,0.079,101.600,-
'58:02:06.256',-,-,0.451,0.167,100.800,-
'58:02:06.264',-,-,1.088,0.167,98.400,-
'58:02:06.272',-,-,1.176,0.000,96.800,-
'58:02:06.280',-,-,0.813,0.000,94.400,-
'58:02:06.288',-,-,0.725,0.000,92.000,-
'58:02:06.296',-,-,0.538,0.000,89.600,-
'58:02:06.304',-,-,0.451,-0.079,86.400,-
'58:02:06.312',-,-,0.363,-0.167,83.200,-
'58:02:06.320',-,-,0.264,-0.167,80.000,-
'58:02:06.328',-,-,0.176,-0.167,77.600,-
'58:02:06.336',-,-,0.176,-0.167,75.200,-
'58:02:06.344',-,-,0.176,-0.167,73.600,-
'58:02:06.352',-,-,0.176,-0.167,72.000,-
'58:02:06.360',-,-,0.176,-0.167,70.400,-
'58:02:06.368',-,-,0.176,-0.167,69.600,-
'58:02:06.376',-,-,0.176,-0.167,68.800,-
'58:02:06.384',-,-,0.088,-0.167,68.800,-
'58:02:06.392',-,-,0.176,-0.167,68.800,-
'58:02:06.400',-,-,0.176,-0.167,68.800,-
'58:02:06.408',-,-,0.176,-0.167,68.800,-
'58:02:06.416',-,-,0.176,-0.167,69.600,-
'58:02:06.424',-,-,0.176,-0.167,70.400,-
'58:02:06.432',-,-,0.000,-0.167,71.200,-
'58:02:06.440',-,-,-0.088,-0.167,72.000,-
'58:02:06.448',-,-,-0.088,0.000,72.800,-
'58:02:06.456',-,-,0.000,0.000,72.800,-
'58:02:06.464',-,-,0.000,0.000,73.600,-
'58:02:06.472',-,-,-0.451,-0.333,73.600,-
'58:02:06.480',-,-,-1.000,-1.000,74.400,-
'58:02:06.488',-,-,-1.626,-1.667,75.200,-
'58:02:06.496',-,-,-2.000,-2.167,75.200,-
'58:02:06.504',-,-,-2.088,-2.079,75.200,-
'58:02:06.512',-,-,-1.000,-1.579,74.400,-
'58:02:06.520',-,-,-0.725,-1.333,74.400,-
'58:02:06.528',-,-,-0.813,-1.079,74.400,-
'58:02:06.536',-,-,-0.538,-0.746,74.400,-
'58:02:06.544',-,-,-0.813,-0.579,73.600,-
'58:02:06.552',-,-,-0.538,-0.333,72.800,-
'58:02:06.560',-,-,-0.451,-0.079,72.000,-
'58:02:06.568',-,-,-0.176,0.000,72.000,-
'58:02:06.576',-,-,0.000,0.167,71.200,-
'58:02:06.584',-,-,0.000,0.246,70.400,-
'58:02:06.592',-,-,0.176,0.412,70.400,-
'58:02:06.600',-,-,0.264,0.500,70.400,-
'58:02:06.608',-,-,0.176,0.579,70.400,-
'58:02:06.616',-,-,0.363,0.667,69.600,-
'58:02:06.624',-,-,0.363,0.667,69.600,-
'58:02:06.632',-,-,0.451,0.746,69.600,-
'58:02:06.640',-,-,0.451,0.746,69.600,-
'58:02:06.648',-,-,0.451,0.833,69.600,-
'58:02:06.656',-,-,0.538,0.833,70.400,-
'58:02:06.664',-,-,0.725,0.833,70.400,-
'58:02:06.672',-,-,0.538,0.912,72.000,-
'58:02:06.680',-,-,0.626,0.912,74.400,-
'58:02:06.688',-,-,1.088,0.912,76.800,-
'58:02:06.696',-,-,1.363,0.833,80.800,-
'58:02:06.704',-,-,1.176,0.667,85.600,-
'58:02:06.712',-,-,1.088,0.667,90.400,-
'58:02:06.720',-,-,1.000,0.579,94.400,-
'58:02:06.728',-,-,0.813,0.579,98.400,-
'58:02:06.736',-,-,0.725,0.500,101.600,-
'58:02:06.744',-,-,0.451,0.412,105.600,-
'58:02:06.752',-,-,0.538,0.412,108.000,-
'58:02:06.760',-,-,0.176,0.333,109.600,-
'58:02:06.768',-,-,0.088,0.333,111.200,-
'58:02:06.776',-,-,0.451,0.246,112.000,-
'58:02:06.784',-,-,0.363,0.167,112.000,-
'58:02:06.792',-,-,0.264,0.167,111.200,-
'58:02:06.800',-,-,0.176,0.167,110.400,-
'58:02:06.808',-,-,0.176,0.079,108.800,-
'58:02:06.816',-,-,0.176,0.079,107.200,-
'58:02:06.824',-,-,0.176,0.079,104.800,-
'58:02:06.832',-,-,0.176,0.167,103.200,-
'58:02:06.840',-,-,0.176,0.167,100.800,-
'58:02:06.848',-,-,0.176,0.167,98.400,-
'58:02:06.856',-,-,0.264,0.246,95.200,-
'58:02:06.864',-,-,0.264,0.246,92.800,-
'58:02:06.872',-,-,0.363,0.333,90.400,-
'58:02:06.880',-,-,0.363,0.246,88.000,-
'58:02:06.888',-,-,0.363,0.246,84.800,-
'58:02:06.896',-,-,0.363,0.246,81.600,-
'58:02:06.904',-,-,0.363,0.246,79.200,-
'58:02:06.912',-,-,0.363,0.246,76.800,-
'58:02:06.920',-,-,0.264,0.246,75.200,-
'58:02:06.928',-,-,0.264,0.167,73.600,-
'58:02:06.936',-,-,0.264,0.167,72.800,-
'58:02:06.944',-,-,0.264,0.167,72.000,-
'58:02:06.952',-,-,0.176,0.167,71.200,-
'58:02:06.960',-,-,0.176,0.167,70.400,-
'58:02:06.968',-,-,0.176,0.167,70.400,-
'58:02:06.976',-,-,0.176,0.167,71.200,-
'58:02:06.984',-,-,0.176,0.167,72.000,-
'58:02:06.992',-,-,0.176,0.167,72.800,-
'58:02:07.000',-,-,0.176,0.167,73.600,-
'58:02:07.008',-,-,0.176,0.167,73.600,-
'58:02:07.016',-,-,0.176,0.167,73.600,-
'58:02:07.024',-,-,0.264,0.246,74.400,-
'58:02:07.032',-,-,0.176,0.246,74.400,-
'58:02:07.040',-,-,0.264,0.333,74.400,-
'58:02:07.048',-,-,-0.363,-0.412,74.400,-
'58:02:07.056',-,-,-1.000,-1.079,73.600,-
'58:02:07.064',-,-,-1.538,-1.746,73.600,-
'58:02:07.072',-,-,-1.626,-1.833,74.400,-
'58:02:07.080',-,-,-1.176,-1.500,75.200,-
'58:02:07.088',-,-,-0.813,-1.000,75.200,-
'58:02:07.096',-,-,-0.626,-0.746,75.200,-
'58:02:07.104',-,-,-0.363,-0.412,74.400,-
'58:02:07.112',-,-,-0.176,-0.167,73.600,-
'58:02:07.120',-,-,0.000,0.000,72.800,-
'58:02:07.128',-,-,0.176,0.167,72.000,-
'58:02:07.136',-,-,0.363,0.333,71.200,-
'58:02:07.144',-,-,0.451,0.500,70.400,-
'58:02:07.152',-,-,0.538,0.500,69.600,-
'58:02:07.160',-,-,0.725,0.667,68.800,-
'58:02:07.168',-,-,0.725,0.833,68.000,-
'58:02:07.176',-,-,0.813,0.912,68.000,-
'58:02:07.184',-,-,0.813,0.912,68.000,-
'58:02:07.192',-,-,0.901,1.000,67.200,-
'58:02:07.200',-,-,0.813,1.079,67.200,-
'58:02:07.208',-,-,0.901,1.079,66.400,-
'58:02:07.216',-,-,0.901,1.079,66.400,-
'58:02:07.224',-,-,0.901,1.079,66.400,-
'58:02:07.232',-,-,0.901,1.079,66.400,-
'58:02:07.240',-,-,0.901,1.079,66.400,-
'58:02:07.248',-,-,0.901,1.079,67.200,-
'58:02:07.256',-,-,0.901,1.167,68.000,-
'58:02:07.264',-,-,0.901,1.079,71.200,-
'58:02:07.272',-,-,0.813,1.079,74.400,-
'58:02:07.280',-,-,0.813,1.079,77.600,-
'58:02:07.288',-,-,0.725,1.079,81.600,-
'58:02:07.296',-,-,0.813,1.079,85.600,-
'58:02:07.304',-,-,0.725,1.000,89.600,-
'58:02:07.312',-,-,0.725,0.912,93.600,-
'58:02:07.320',-,-,0.626,0.912,96.000,-
'58:02:07.328',-,-,0.176,0.746,99.200,-
'58:02:07.336',-,-,0.451,0.746,101.600,-
'58:02:07.344',-,-,0.538,0.667,103.200,-
'58:02:07.352',-,-,0.000,0.579,104.000,-
'58:02:07.360',-,-,-0.176,0.579,104.800,-
'58:02:07.368',-,-,-0.363,0.667,104.800,-
'58:02:07.376',-,-,0.538,0.500,104.000,-
'58:02:07.384',-,-,0.363,0.500,103.200,-
'58:02:07.392',-,-,-0.451,0.500,101.600,-
'58:02:07.400',-,-,-1.088,0.500,99.200,-
'58:02:07.408',-,-,0.176,0.667,97.600,-
'58:02:07.416',-,-,0.088,0.667,95.200,-
'58:02:07.424',-,-,0.901,0.667,92.800,-
'58:02:07.432',-,-,0.813,0.667,89.600,-
'58:02:07.440',-,-,0.725,0.579,86.400,-
'58:02:07.448',-,-,0.538,0.500,84.000,-
'58:02:07.456',-,-,0.538,0.500,81.600,-
'58:02:07.464',-,-,-0.088,0.412,79.200,-
'58:02:07.472',-,-,-0.451,0.500,76.000,-
'58:02:07.480',-,-,0.725,0.500,72.800,-
'58:02:07.488',-,-,0.626,0.412,70.400,-
'58:02:07.496',-,-,0.538,0.333,68.800,-
'58:02:07.504',-,-,0.451,0.333,67.200,-
'58:02:07.512',-,-,0.363,0.333,65.600,-
'58:02:07.520',-,-,0.363,0.246,64.000,-
'58:02:07.528',-,-,0.264,0.246,63.200,-
'58:02:07.536',-,-,0.264,0.167,63.200,-
'58:02:07.544',-,-,0.176,0.079,63.200,-
'58:02:07.552',-,-,0.176,0.079,62.400,-
'58:02:07.560',-,-,-0.451,0.000,63.200,-
'58:02:07.568',-,-,0.176,0.000,63.200,-
'58:02:07.576',-,-,-1.725,0.000,64.000,-
'58:02:07.584',-,-,-3.176,0.167,64.000,-
'58:02:07.592',-,-,-3.538,0.500,64.000,-
'58:02:07.600',-,-,-4.176,0.746,64.800,-
'58:02:07.608',-,-,-4.264,1.079,65.600,-
'58:02:07.616',-,-,-4.176,1.333,66.400,-
'58:02:07.624',-,-,-5.000,0.667,66.400,-
'58:02:07.632',-,-,-5.363,0.333,67.200,-
'58:02:07.640',-,-,-5.725,-0.167,67.200,-
'58:02:07.648',-,-,-5.363,-0.167,68.000,-
'58:02:07.656',-,-,-3.813,0.333,68.000,-
'58:02:07.664',-,-,-3.264,0.746,67.200,-
'58:02:07.672',-,-,-2.000,1.079,67.200,-
'58:02:07.680',-,-,-1.725,1.246,67.200,-
'58:02:07.688',-,-,-2.088,1.412,67.200,-
'58:02:07.696',-,-,-0.813,1.579,66.400,-
'58:02:07.704',-,-,2.176,1.579,66.400,-
'58:02:07.712',-,-,2.626,1.167,65.600,-
'58:02:07.720',-,-,3.176,0.912,64.800,-
'58:02:07.728',-,-,2.538,0.667,64.000,-
'58:02:07.736',-,-,2.363,0.579,63.200,-
'58:02:07.744',-,-,1.725,0.500,62.400,-
'58:02:07.752',-,-,1.000,0.500,61.600,-
'58:02:07.760',-,-,0.725,0.500,60.800,-
'58:02:07.768',-,-,1.176,0.579,59.200,-
'58:02:07.776',-,-,1.626,0.500,58.400,-
'58:02:07.784',-,-,1.451,0.500,56.800,-
'58:02:07.792',-,-,1.176,0.412,55.200,-
'58:02:07.800',-,-,1.000,0.333,53.600,-
'58:02:07.808',-,-,-0.725,0.333,52.000,-
'58:02:07.816',-,-,-1.626,0.500,51.200,-
'58:02:07.824',-,-,-2.176,0.579,50.400,-
'58:02:07.832',-,-,-3.176,0.746,50.400,-
'58:02:07.840',-,-,-1.725,1.000,50.400,-
'58:02:07.848',-,-,-1.176,1.079,52.000,-
'58:02:07.856',-,-,-0.901,1.079,55.200,-
'58:02:07.864',-,-,-0.813,1.079,59.200,-
'58:02:07.872',-,-,-0.626,1.079,63.200,-
'58:02:07.880',-,-,-0.264,1.000,68.000,-
'58:02:07.888',-,-,0.088,0.912,72.800,-
'58:02:07.896',-,-,-0.901,0.833,77.600,-
'58:02:07.904',-,-,-1.176,0.746,82.400,-
'58:02:07.912',-,-,1.725,0.912,86.400,-
'58:02:07.920',-,-,1.088,0.500,90.400,-
'58:02:07.928',-,-,1.725,0.333,94.400,-
'58:02:07.936',-,-,1.813,0.079,97.600,-
'58:02:07.944',-,-,1.363,0.000,100.000,-
'58:02:07.952',-,-,1.088,-0.167,100.800,-
'58:02:07.960',-,-,0.901,-0.333,101.600,-
'58:02:07.968',-,-,0.626,-0.412,101.600,-
'58:02:07.976',-,-,0.725,-0.500,100.800,-
'58:02:07.984',-,-,0.363,-0.500,98.400,-
'58:02:07.992',-,-,0.451,-0.579,96.000,-
'58:02:08.000',-,-,-1.088,-0.579,93.600,-
'58:02:08.008',-,-,-3.538,-0.500,90.400,-
'58:02:08.016',-,-,-5.176,-0.167,87.200,-
'58:02:08.024',-,-,-5.538,0.167,83.200,-
'58:02:08.032',-,-,-5.626,0.579,79.200,-
'58:02:08.040',-,-,-5.000,0.912,76.000,-
'58:02:08.048',-,-,-3.901,1.079,72.800,-
'58:02:08.056',-,-,-2.451,1.246,69.600,-
'58:02:08.064',-,-,-1.813,1.246,66.400,-
'58:02:08.072',-,-,-1.451,1.246,64.000,-
'58:02:08.080',-,-,-1.176,1.167,62.400,-
'58:02:08.088',-,-,-1.000,1.079,60.800,-
'58:02:08.096',-,-,-0.901,1.079,59.200,-
'58:02:08.104',-,-,-1.000,1.079,58.400,-
'58:02:08.112',-,-,-1.000,1.000,58.400,-
'58:02:08.120',-,-,-1.000,0.912,58.400,-
'58:02:08.128',-,-,-0.901,0.912,58.400,-
'58:02:08.136',-,-,-1.000,0.912,58.400,-
'58:02:08.144',-,-,-0.813,0.912,58.400,-
'58:02:08.152',-,-,-1.176,0.833,59.200,-
'58:02:08.160',-,-,-1.264,0.833,60.000,-
'58:02:08.168',-,-,-1.176,0.833,60.800,-
'58:02:08.176',-,-,-1.000,0.912,61.600,-
'58:02:08.184',-,-,-1.000,0.833,62.400,-
'58:02:08.192',-,-,-0.813,0.912,63.200,-
'58:02:08.200',-,-,-1.264,0.500,63.200,-
'58:02:08.208',-,-,-1.813,0.000,64.000,-
'58:02:08.216',-,-,-2.176,-0.500,64.000,-
'58:02:08.224',-,-,-2.451,-1.000,64.800,-
'58:02:08.232',-,-,-2.363,-1.079,64.800,-
'58:02:08.240',-,-,-1.901,-0.667,64.800,-
'58:02:08.248',-,-,-1.626,-0.412,64.000,-
'58:02:08.256',-,-,-1.451,-0.167,64.000,-
'58:02:08.264',-,-,-1.264,0.000,64.000,-
'58:02:08.272',-,-,-1.000,0.000,63.200,-
'58:02:08.280',-,-,-1.000,0.079,62.400,-
'58:02:08.288',-,-,-0.813,0.079,62.400,-
'58:02:08.296',-,-,-0.626,0.167,61.600,-
'58:02:08.304',-,-,-0.626,0.167,60.800,-
'58:02:08.312',-,-,-0.538,0.167,60.000,-
'58:02:08.320',-,-,-0.451,0.246,59.200,-
'58:02:08.328',-,-,-0.363,0.246,59.200,-
'58:02:08.336',-,-,-0.363,0.333,58.400,-
'58:02:08.344',-,-,-0.451,0.333,57.600,-
'58:02:08.352',-,-,-0.626,0.412,57.600,-
'58:02:08.360',-,-,-0.626,0.500,56.800,-
'58:02:08.368',-,-,-0.626,0.500,56.000,-
'58:02:08.376',-,-,-0.538,0.579,56.000,-
'58:02:08.384',-,-,-0.626,0.667,55.200,-
'58:02:08.392',-,-,-0.451,0.667,55.200,-
'58:02:08.400',-,-,-0.626,0.667,54.400,-
'58:02:08.408',-,-,-0.538,0.746,54.400,-
'58:02:08.416',-,-,1.088,0.833,55.200,-
'58:02:08.424',-,-,4.538,0.746,56.800,-
'58:02:08.432',-,-,4.725,0.246,58.400,-
'58:02:08.440',-,-,0.000,0.079,61.600,-
'58:02:08.448',-,-,-0.538,0.167,64.800,-
'58:02:08.456',-,-,0.538,0.246,68.800,-
'58:02:08.464',-,-,1.176,0.167,72.800,-
