'Elapsed time','II','III','V','ABP'
'183:21:09.520',-,-0.011,-,77.520
'183:21:09.528',-,-0.011,-,74.280
'183:21:09.536',-,-0.011,-,72.720
'183:21:09.544',-,-0.011,-,71.880
'183:21:09.552',-,-0.011,-,71.160
'183:21:09.560',-,-0.011,-,71.160
'183:21:09.568',-,-0.011,-,71.160
'183:21:09.576',-,-0.011,-,71.160
'183:21:09.584',-,-0.011,-,70.320
'183:21:09.592',-,-0.022,-,70.320
'183:21:09.600',-,-0.022,-,70.320
'183:21:09.608',-,-0.022,-,69.480
'183:21:09.616',-,-0.022,-,68.760
'183:21:09.624',-,-0.022,-,67.920
'183:21:09.632',-,-0.022,-,67.080
'183:21:09.640',-,-0.022,-,66.360
'183:21:09.648',-,-0.011,-,65.520
'183:21:09.656',-,-0.011,-,64.680
'183:21:09.664',-,0.000,-,63.960
'183:21:09.672',-,0.000,-,63.120
'183:21:09.680',-,0.000,-,62.280
'183:21:09.688',-,0.000,-,61.560
'183:21:09.696',-,0.000,-,60.720
'183:21:09.704',-,-0.011,-,59.880
'183:21:09.712',-,-0.011,-,59.160
'183:21:09.720',-,-0.011,-,59.160
'183:21:09.728',-,-0.011,-,58.320
'183:21:09.736',-,-0.011,-,57.480
'183:21:09.744',-,-0.011,-,57.480
'183:21:09.752',-,-0.011,-,56.760
'183:21:09.760',-,-0.011,-,56.760
'183:21:09.768',-,-0.011,-,55.920
'183:21:09.776',-,-0.011,-,55.920
'183:21:09.784',-,-0.011,-,55.080
'183:21:09.792',-,-0.011,-,55.080
'183:21:09.800',-,-0.011,-,54.360
'183:21:09.808',-,-0.011,-,54.360
'183:21:09.816',-,-0.011,-,53.520
'183:21:09.824',-,-0.011,-,53.520
'183:21:09.832',-,-0.011,-,52.680
'183:21:09.840',-,-0.022,-,52.680
'183:21:09.848',-,-0.022,-,51.960
'183:21:09.856',-,-0.022,-,51.960
'183:21:09.864',-,-0.022,-,51.960
'183:21:09.872',-,-0.022,-,51.120
'183:21:09.880',-,-0.011,-,51.120
'183:21:09.888',-,-0.011,-,50.280
'183:21:09.896',-,-0.011,-,50.280
'183:21:09.904',-,-0.011,-,49.560
'183:21:09.912',-,0.000,-,49.560
'183:21:09.920',-,0.000,-,49.560
'183:21:09.928',-,0.000,-,48.720
'183:21:09.936',-,-0.011,-,48.720
'183:21:09.944',-,-0.011,-,48.720
'183:21:09.952',-,-0.011,-,47.880
'183:21:09.960',-,-0.011,-,47.880
'183:21:09.968',-,-0.011,-,47.880
'183:21:09.976',-,-0.011,-,47.160
'183:21:09.984',-,-0.011,-,47.160
'183:21:09.992',-,-0.011,-,47.160
'183:21:10.000',-,-0.011,-,47.160
'183:21:10.008',-,-0.011,-,46.320
'183:21:10.016',-,-0.011,-,46.320
'183:21:10.024',-,0.000,-,46.320
'183:21:10.032',-,0.000,-,45.480
'183:21:10.040',-,0.000,-,45.480
'183:21:10.048',-,0.000,-,45.480
'183:21:10.056',-,0.000,-,44.760
'183:21:10.064',-,0.000,-,44.760
'183:21:10.072',-,-0.011,-,44.760
'183:21:10.080',-,-0.011,-,44.760
'183:21:10.088',-,-0.011,-,43.920
'183:21:10.096',-,-0.011,-,43.920
'183:21:10.104',-,-0.011,-,43.920
'183:21:10.112',-,-0.011,-,43.920
'183:21:10.120',-,-0.011,-,43.920
'183:21:10.128',-,-0.011,-,43.080
'183:21:10.136',-,-0.011,-,43.080
'183:21:10.144',-,0.000,-,43.080
'183:21:10.152',-,0.000,-,43.080
'183:21:10.160',-,0.000,-,42.360
'183:21:10.168',-,0.000,-,42.360
'183:21:10.176',-,0.000,-,42.360
'183:21:10.184',-,0.000,-,42.360
'183:21:10.192',-,-0.011,-,42.360
'183:21:10.200',-,-0.011,-,41.520
'183:21:10.208',-,-0.011,-,41.520
'183:21:10.216',-,-0.011,-,41.520
'183:21:10.224',-,0.000,-,41.520
'183:21:10.232',-,0.000,-,41.520
'183:21:10.240',-,0.000,-,41.520
'183:21:10.248',-,0.000,-,40.680
'183:21:10.256',-,0.000,-,40.680
'183:21:10.264',-,0.000,-,40.680
'183:21:10.272',-,0.000,-,40.680
'183:21:10.280',-,0.000,-,40.680
'183:21:10.288',-,0.000,-,40.680
'183:21:10.296',-,0.000,-,39.960
'183:21:10.304',-,0.000,-,39.960
'183:21:10.312',-,0.000,-,39.960
'183:21:10.320',-,0.000,-,39.960
'183:21:10.328',-,-0.011,-,39.960
'183:21:10.336',-,-0.011,-,39.960
'183:21:10.344',-,-0.022,-,39.120
'183:21:10.352',-,-0.011,-,39.120
'183:21:10.360',-,-0.011,-,39.120
'183:21:10.368',-,-0.011,-,39.120
'183:21:10.376',-,-0.011,-,39.120
'183:21:10.384',-,-0.011,-,39.120
'183:21:10.392',-,-0.011,-,39.120
'183:21:10.400',-,0.000,-,38.280
'183:21:10.408',-,0.000,-,38.280
'183:21:10.416',-,0.000,-,38.280
'183:21:10.424',-,0.000,-,38.280
'183:21:10.432',-,0.000,-,38.280
'183:21:10.440',-,-0.011,-,38.280
'183:21:10.448',-,-0.011,-,38.280
'183:21:10.456',-,0.000,-,38.280
'183:21:10.464',-,0.000,-,37.560
'183:21:10.472',-,0.000,-,37.560
'183:21:10.480',-,0.000,-,37.560
'183:21:10.488',-,0.000,-,37.560
'183:21:10.496',-,0.000,-,37.560
'183:21:10.504',-,0.000,-,37.560
'183:21:10.512',-,0.000,-,37.560
'183:21:10.520',-,0.000,-,37.560
'183:21:10.528',-,0.000,-,37.560
'183:21:10.536',-,0.000,-,36.720
'183:21:10.544',-,0.000,-,36.720
'183:21:10.552',-,-0.011,-,36.720
'183:21:10.560',-,0.000,-,36.720
'183:21:10.568',-,0.000,-,36.720
'183:21:10.576',-,0.000,-,36.720
'183:21:10.584',-,0.000,-,36.720
'183:21:10.592',-,0.000,-,36.720
'183:21:10.600',-,0.000,-,36.720
'183:21:10.608',-,0.000,-,35.880
'183:21:10.616',-,0.000,-,35.880
'183:21:10.624',-,-0.011,-,35.880
'183:21:10.632',-,-0.011,-,35.880
'183:21:10.640',-,-0.011,-,35.880
'183:21:10.648',-,-0.011,-,35.880
'183:21:10.656',-,-0.011,-,35.880
'183:21:10.664',-,-0.011,-,35.880
'183:21:10.672',-,-0.011,-,35.880
'183:21:10.680',-,-0.011,-,35.880
'183:21:10.688',-,-0.011,-,35.880
'183:21:10.696',-,-0.011,-,35.160
'183:21:10.704',-,0.000,-,35.160
'183:21:10.712',-,0.000,-,35.160
'183:21:10.720',-,0.000,-,35.160
'183:21:10.728',-,0.011,-,35.160
'183:21:10.736',-,0.011,-,35.160
'183:21:10.744',-,0.011,-,35.160
'183:21:10.752',-,0.000,-,35.160
'183:21:10.760',-,-0.011,-,35.160
'183:21:10.768',-,0.065,-,35.160
'183:21:10.776',-,0.293,-,35.160
'183:21:10.784',-,0.522,-,35.160
'183:21:10.792',-,0.576,-,34.320
'183:21:10.800',-,0.348,-,34.320
'183:21:10.808',-,0.130,-,34.320
'183:21:10.816',-,0.011,-,34.320
'183:21:10.824',-,-0.033,-,34.320
'183:21:10.832',-,-0.043,-,34.320
'183:21:10.840',-,-0.043,-,34.320
'183:21:10.848',-,-0.043,-,34.320
'183:21:10.856',-,-0.043,-,34.320
'183:21:10.864',-,-0.033,-,34.320
'183:21:10.872',-,-0.043,-,35.160
'183:21:10.880',-,-0.043,-,37.560
'183:21:10.888',-,-0.043,-,41.520
'183:21:10.896',-,-0.043,-,47.160
'183:21:10.904',-,-0.043,-,54.360
'183:21:10.912',-,-0.043,-,63.120
'183:21:10.920',-,-0.043,-,71.880
'183:21:10.928',-,-0.043,-,79.080
'183:21:10.936',-,-0.043,-,84.720
'183:21:10.944',-,-0.033,-,88.680
'183:21:10.952',-,-0.033,-,91.920
'183:21:10.960',-,-0.043,-,94.320
'183:21:10.968',-,-0.043,-,95.880
'183:21:10.976',-,-0.033,-,96.720
'183:21:10.984',-,-0.033,-,96.720
'183:21:10.992',-,-0.022,-,97.560
'183:21:11.000',-,-0.022,-,97.560
'183:21:11.008',-,-0.022,-,97.560
'183:21:11.016',-,-0.022,-,97.560
'183:21:11.024',-,-0.022,-,97.560
'183:21:11.032',-,-0.022,-,97.560
'183:21:11.040',-,-0.033,-,97.560
'183:21:11.048',-,-0.033,-,98.280
'183:21:11.056',-,-0.033,-,98.280
'183:21:11.064',-,-0.033,-,98.280
'183:21:11.072',-,-0.033,-,98.280
'183:21:11.080',-,-0.033,-,98.280
'183:21:11.088',-,-0.043,-,97.560
'183:21:11.096',-,-0.043,-,96.720
'183:21:11.104',-,-0.033,-,95.880
'183:21:11.112',-,-0.033,-,95.160
'183:21:11.120',-,-0.022,-,93.480
'183:21:11.128',-,-0.022,-,91.920
'183:21:11.136',-,-0.022,-,90.360
'183:21:11.144',-,-0.011,-,88.680
'183:21:11.152',-,-0.011,-,86.280
'183:21:11.160',-,-0.011,-,83.880
'183:21:11.168',-,-0.011,-,80.760
'183:21:11.176',-,-0.011,-,77.520
'183:21:11.184',-,-0.011,-,74.280
'183:21:11.192',-,-0.011,-,71.880
'183:21:11.200',-,-0.011,-,69.480
'183:21:11.208',-,-0.011,-,67.920
'183:21:11.216',-,-0.011,-,67.080
'183:21:11.224',-,-0.011,-,67.080
'183:21:11.232',-,-0.011,-,66.360
'183:21:11.240',-,-0.011,-,66.360
'183:21:11.248',-,0.000,-,66.360
'183:21:11.256',-,0.000,-,66.360
'183:21:11.264',-,0.000,-,65.520
'183:21:11.272',-,0.000,-,65.520
'183:21:11.280',-,-0.011,-,64.680
'183:21:11.288',-,-0.011,-,64.680
'183:21:11.296',-,-0.011,-,63.960
'183:21:11.304',-,-0.011,-,63.120
'183:21:11.312',-,-0.011,-,62.280
'183:21:11.320',-,-0.011,-,61.560
'183:21:11.328',-,-0.011,-,60.720
'183:21:11.336',-,-0.011,-,59.880
'183:21:11.344',-,-0.011,-,59.160
'183:21:11.352',-,-0.011,-,58.320
'183:21:11.360',-,-0.011,-,57.480
'183:21:11.368',-,-0.011,-,57.480
'183:21:11.376',-,-0.011,-,56.760
'183:21:11.384',-,-0.011,-,55.920
'183:21:11.392',-,0.000,-,55.920
'183:21:11.400',-,0.000,-,55.080
'183:21:11.408',-,-0.011,-,54.360
'183:21:11.416',-,-0.011,-,54.360
'183:21:11.424',-,-0.011,-,54.360
'183:21:11.432',-,-0.011,-,53.520
'183:21:11.440',-,-0.022,-,53.520
'183:21:11.448',-,-0.033,-,52.680
'183:21:11.456',-,-0.011,-,52.680
'183:21:11.464',-,0.130,-,51.960
'183:21:11.472',-,0.391,-,51.960
'183:21:11.480',-,0.576,-,51.120
'183:21:11.488',-,0.500,-,51.120
'183:21:11.496',-,0.261,-,51.120
'183:21:11.504',-,0.065,-,50.280
'183:21:11.512',-,-0.011,-,50.280
'183:21:11.520',-,-0.033,-,49.560
'183:21:11.528',-,-0.033,-,49.560
'183:21:11.536',-,-0.033,-,49.560
'183:21:11.544',-,-0.043,-,48.720
'183:21:11.552',-,-0.043,-,48.720
'183:21:11.560',-,-0.043,-,48.720
'183:21:11.568',-,-0.043,-,47.880
'183:21:11.576',-,-0.043,-,48.720
'183:21:11.584',-,-0.043,-,48.720
'183:21:11.592',-,-0.043,-,50.280
'183:21:11.600',-,-0.043,-,53.520
'183:21:11.608',-,-0.043,-,58.320
'183:21:11.616',-,-0.033,-,63.960
'183:21:11.624',-,-0.033,-,70.320
'183:21:11.632',-,-0.033,-,77.520
'183:21:11.640',-,-0.033,-,83.160
'183:21:11.648',-,-0.033,-,87.960
'183:21:11.656',-,-0.022,-,91.080
'183:21:11.664',-,-0.022,-,93.480
'183:21:11.672',-,-0.022,-,95.160
'183:21:11.680',-,-0.022,-,95.880
'183:21:11.688',-,-0.022,-,95.880
'183:21:11.696',-,-0.011,-,95.880
'183:21:11.704',-,-0.011,-,95.880
'183:21:11.712',-,-0.022,-,95.880
'183:21:11.720',-,-0.022,-,95.880
'183:21:11.728',-,-0.022,-,95.160
'183:21:11.736',-,-0.022,-,95.160
'183:21:11.744',-,-0.033,-,95.160
'183:21:11.752',-,-0.033,-,94.320
'183:21:11.760',-,-0.033,-,94.320
'183:21:11.768',-,-0.033,-,94.320
'183:21:11.776',-,-0.022,-,93.480
'183:21:11.784',-,-0.022,-,93.480
'183:21:11.792',-,-0.011,-,92.760
'183:21:11.800',-,-0.011,-,91.920
'183:21:11.808',-,-0.011,-,91.080
'183:21:11.816',-,-0.011,-,90.360
'183:21:11.824',-,-0.011,-,88.680
'183:21:11.832',-,-0.011,-,87.120
'183:21:11.840',-,-0.011,-,85.560
'183:21:11.848',-,-0.011,-,83.160
'183:21:11.856',-,-0.011,-,79.920
'183:21:11.864',-,-0.011,-,76.680
'183:21:11.872',-,-0.011,-,73.560
'183:21:11.880',-,-0.011,-,70.320
'183:21:11.888',-,-0.011,-,67.920
'183:21:11.896',-,-0.011,-,66.360
'183:21:11.904',-,-0.011,-,65.520
'183:21:11.912',-,-0.022,-,65.520
'183:21:11.920',-,-0.033,-,64.680
'183:21:11.928',-,-0.033,-,64.680
'183:21:11.936',-,-0.033,-,64.680
'183:21:11.944',-,-0.033,-,63.960
'183:21:11.952',-,-0.022,-,63.960
'183:21:11.960',-,-0.022,-,63.120
'183:21:11.968',-,-0.011,-,63.120
'183:21:11.976',-,-0.011,-,62.280
'183:21:11.984',-,-0.011,-,62.280
'183:21:11.992',-,-0.011,-,61.560
'183:21:12.000',-,0.000,-,60.720
'183:21:12.008',-,0.000,-,59.880
'183:21:12.016',-,0.000,-,59.880
'183:21:12.024',-,0.000,-,59.160
'183:21:12.032',-,0.000,-,58.320
'183:21:12.040',-,0.000,-,57.480
'183:21:12.048',-,-0.011,-,56.760
'183:21:12.056',-,-0.011,-,55.920
'183:21:12.064',-,-0.011,-,55.080
'183:21:12.072',-,-0.022,-,55.080
'183:21:12.080',-,-0.022,-,54.360
'183:21:12.088',-,-0.022,-,53.520
'183:21:12.096',-,-0.022,-,53.520
'183:21:12.104',-,-0.022,-,52.680
'183:21:12.112',-,-0.022,-,52.680
'183:21:12.120',-,-0.022,-,51.960
'183:21:12.128',-,-0.022,-,51.960
'183:21:12.136',-,-0.022,-,51.120
'183:21:12.144',-,-0.022,-,51.120
'183:21:12.152',-,-0.022,-,51.120
'183:21:12.160',-,-0.011,-,50.280
'183:21:12.168',-,-0.011,-,50.280
'183:21:12.176',-,-0.011,-,49.560
'183:21:12.184',-,-0.011,-,49.560
'183:21:12.192',-,-0.011,-,48.720
'183:21:12.200',-,-0.011,-,48.720
'183:21:12.208',-,-0.022,-,48.720
'183:21:12.216',-,-0.022,-,47.880
'183:21:12.224',-,-0.011,-,47.880
'183:21:12.232',-,-0.011,-,47.880
'183:21:12.240',-,-0.011,-,47.160
'183:21:12.248',-,-0.011,-,47.160
'183:21:12.256',-,0.000,-,46.320
'183:21:12.264',-,-0.011,-,46.320
'183:21:12.272',-,-0.011,-,46.320
'183:21:12.280',-,-0.011,-,45.480
'183:21:12.288',-,-0.011,-,45.480
'183:21:12.296',-,-0.011,-,45.480
'183:21:12.304',-,-0.011,-,44.760
'183:21:12.312',-,-0.011,-,44.760
'183:21:12.320',-,-0.011,-,44.760
'183:21:12.328',-,-0.011,-,44.760
'183:21:12.336',-,-0.011,-,43.920
'183:21:12.344',-,-0.011,-,43.920
'183:21:12.352',-,-0.011,-,43.920
'183:21:12.360',-,-0.011,-,43.920
'183:21:12.368',-,-0.011,-,43.080
'183:21:12.376',-,-0.011,-,43.080
'183:21:12.384',-,0.000,-,43.080
'183:21:12.392',-,0.000,-,42.360
'183:21:12.400',-,-0.011,-,42.360
'183:21:12.408',-,-0.011,-,42.360
'183:21:12.416',-,-0.011,-,42.360
'183:21:12.424',-,-0.011,-,41.520
'183:21:12.432',-,-0.011,-,41.520
'183:21:12.440',-,-0.011,-,41.520
'183:21:12.448',-,-0.011,-,41.520
'183:21:12.456',-,-0.011,-,41.520
'183:21:12.464',-,-0.011,-,40.680
'183:21:12.472',-,-0.011,-,40.680
'183:21:12.480',-,-0.011,-,40.680
'183:21:12.488',-,-0.011,-,40.680
'183:21:12.496',-,-0.011,-,40.680
'183:21:12.504',-,-0.011,-,39.960
'183:21:12.512',-,0.000,-,39.960
'183:21:12.520',-,0.000,-,39.960
'183:21:12.528',-,-0.011,-,39.960
'183:21:12.536',-,-0.011,-,39.960
'183:21:12.544',-,0.000,-,39.120
'183:21:12.552',-,0.000,-,39.120
'183:21:12.560',-,0.000,-,39.120
'183:21:12.568',-,0.000,-,39.120
'183:21:12.576',-,0.000,-,39.120
'183:21:12.584',-,0.000,-,39.120
'183:21:12.592',-,-0.011,-,38.280
'183:21:12.600',-,-0.011,-,38.280
'183:21:12.608',-,-0.011,-,38.280
'183:21:12.616',-,-0.011,-,38.280
'183:21:12.624',-,-0.011,-,38.280
'183:21:12.632',-,-0.011,-,38.280
'183:21:12.640',-,-0.011,-,37.560
'183:21:12.648',-,0.000,-,37.560
'183:21:12.656',-,-0.011,-,37.560
'183:21:12.664',-,-0.022,-,37.560
'183:21:12.672',-,-0.022,-,37.560
'183:21:12.680',-,0.098,-,37.560
'183:21:12.688',-,0.337,-,37.560
'183:21:12.696',-,0.554,-,37.560
'183:21:12.704',-,0.576,-,36.720
'183:21:12.712',-,0.326,-,36.720
'183:21:12.720',-,0.109,-,36.720
'183:21:12.728',-,0.000,-,36.720
'183:21:12.736',-,-0.033,-,36.720
'183:21:12.744',-,-0.043,-,36.720
'183:21:12.752',-,-0.043,-,36.720
'183:21:12.760',-,-0.043,-,35.880
'183:21:12.768',-,-0.043,-,35.880
'183:21:12.776',-,-0.043,-,36.720
'183:21:12.784',-,-0.043,-,36.720
'183:21:12.792',-,-0.043,-,38.280
'183:21:12.800',-,-0.033,-,41.520
'183:21:12.808',-,-0.033,-,47.160
'183:21:12.816',-,-0.033,-,53.520
'183:21:12.824',-,-0.033,-,61.560
'183:21:12.832',-,-0.022,-,69.480
'183:21:12.840',-,-0.022,-,76.680
'183:21:12.848',-,-0.033,-,83.160
'183:21:12.856',-,-0.022,-,87.120
'183:21:12.864',-,-0.033,-,90.360
'183:21:12.872',-,-0.033,-,92.760
'183:21:12.880',-,-0.033,-,93.480
'183:21:12.888',-,-0.033,-,95.160
'183:21:12.896',-,-0.022,-,95.160
'183:21:12.904',-,-0.022,-,95.880
'183:21:12.912',-,-0.022,-,95.880
'183:21:12.920',-,-0.022,-,95.880
'183:21:12.928',-,-0.022,-,95.880
'183:21:12.936',-,-0.022,-,95.880
'183:21:12.944',-,-0.022,-,95.880
'183:21:12.952',-,-0.022,-,96.720
'183:21:12.960',-,-0.022,-,96.720
'183:21:12.968',-,-0.022,-,96.720
'183:21:12.976',-,-0.033,-,96.720
'183:21:12.984',-,-0.033,-,96.720
'183:21:12.992',-,-0.033,-,95.880
'183:21:13.000',-,-0.033,-,95.880
'183:21:13.008',-,-0.033,-,95.160
'183:21:13.016',-,-0.033,-,95.160
'183:21:13.024',-,-0.033,-,93.480
'183:21:13.032',-,-0.022,-,92.760
'183:21:13.040',-,-0.011,-,91.080
'183:21:13.048',-,-0.011,-,90.360
'183:21:13.056',-,-0.011,-,87.960
'183:21:13.064',-,0.000,-,86.280
'183:21:13.072',-,-0.011,-,83.160
'183:21:13.080',-,-0.011,-,80.760
'183:21:13.088',-,-0.011,-,77.520
'183:21:13.096',-,-0.011,-,74.280
'183:21:13.104',-,-0.011,-,71.160
'183:21:13.112',-,-0.011,-,68.760
