'Elapsed time','I','II','III','AVL','AVF','V','MCL1','ABP','PAP'
'6:25:54.432',-,0.040,-,-,0.000,-,-,77.600,35.880
'6:25:54.440',-,0.040,-,-,0.000,-,-,76.000,35.520
'6:25:54.448',-,0.032,-,-,0.000,-,-,76.000,35.160
'6:25:54.456',-,0.024,-,-,0.000,-,-,75.200,34.320
'6:25:54.464',-,0.024,-,-,0.000,-,-,75.200,33.120
'6:25:54.472',-,0.032,-,-,0.000,-,-,73.600,32.280
'6:25:54.480',-,0.016,-,-,0.000,-,-,73.600,31.560
'6:25:54.488',-,0.008,-,-,0.000,-,-,72.800,30.720
'6:25:54.496',-,0.000,-,-,0.000,-,-,72.800,30.720
'6:25:54.504',-,0.000,-,-,0.000,-,-,72.800,30.360
'6:25:54.512',-,0.000,-,-,0.000,-,-,71.200,30.360
'6:25:54.520',-,0.000,-,-,0.000,-,-,71.200,30.360
'6:25:54.528',-,0.000,-,-,0.000,-,-,71.200,29.880
'6:25:54.536',-,-0.008,-,-,-0.016,-,-,70.400,29.880
'6:25:54.544',-,-0.008,-,-,0.000,-,-,70.400,29.880
'6:25:54.552',-,-0.016,-,-,-0.016,-,-,70.400,29.880
'6:25:54.560',-,-0.008,-,-,0.000,-,-,68.800,29.520
'6:25:54.568',-,-0.016,-,-,-0.016,-,-,68.800,29.520
'6:25:54.576',-,-0.008,-,-,0.000,-,-,68.800,29.520
'6:25:54.584',-,-0.016,-,-,-0.016,-,-,68.000,29.160
'6:25:54.592',-,-0.008,-,-,0.000,-,-,68.000,29.160
'6:25:54.600',-,-0.016,-,-,-0.016,-,-,68.000,29.160
'6:25:54.608',-,-0.016,-,-,0.000,-,-,68.000,28.680
'6:25:54.616',-,-0.016,-,-,-0.016,-,-,66.400,28.680
'6:25:54.624',-,-0.016,-,-,-0.016,-,-,66.400,28.320
'6:25:54.632',-,-0.016,-,-,0.000,-,-,66.400,28.320
'6:25:54.640',-,-0.024,-,-,-0.016,-,-,65.600,27.960
'6:25:54.648',-,-0.016,-,-,-0.016,-,-,65.600,27.960
'6:25:54.656',-,-0.024,-,-,-0.016,-,-,65.600,27.480
'6:25:54.664',-,-0.016,-,-,-0.016,-,-,65.600,27.480
'6:25:54.672',-,-0.024,-,-,0.000,-,-,64.000,27.120
'6:25:54.680',-,-0.008,-,-,-0.016,-,-,64.000,27.120
'6:25:54.688',-,-0.024,-,-,-0.016,-,-,64.000,27.120
'6:25:54.696',-,-0.016,-,-,-0.016,-,-,64.000,26.760
'6:25:54.704',-,-0.008,-,-,0.000,-,-,64.000,26.760
'6:25:54.712',-,0.000,-,-,0.000,-,-,63.200,26.760
'6:25:54.720',-,0.016,-,-,0.000,-,-,63.200,26.280
'6:25:54.728',-,0.024,-,-,0.016,-,-,63.200,26.280
'6:25:54.736',-,0.040,-,-,0.000,-,-,63.200,26.280
'6:25:54.744',-,0.064,-,-,0.040,-,-,61.600,26.280
'6:25:54.752',-,0.040,-,-,0.016,-,-,61.600,26.760
'6:25:54.760',-,0.088,-,-,0.040,-,-,61.600,26.760
'6:25:54.768',-,0.064,-,-,0.040,-,-,61.600,26.760
'6:25:54.776',-,0.032,-,-,0.016,-,-,61.600,26.760
'6:25:54.784',-,-0.024,-,-,0.000,-,-,61.600,25.920
'6:25:54.792',-,-0.032,-,-,-0.016,-,-,61.600,25.560
'6:25:54.800',-,-0.040,-,-,-0.040,-,-,61.600,25.560
'6:25:54.808',-,-0.040,-,-,-0.040,-,-,61.600,25.080
'6:25:54.816',-,-0.032,-,-,-0.016,-,-,60.800,25.080
'6:25:54.824',-,-0.040,-,-,-0.040,-,-,60.800,25.080
'6:25:54.832',-,-0.048,-,-,-0.040,-,-,60.800,25.080
'6:25:54.840',-,-0.040,-,-,-0.016,-,-,60.800,24.720
'6:25:54.848',-,-0.032,-,-,-0.016,-,-,59.200,24.720
'6:25:54.856',-,-0.088,-,-,-0.040,-,-,59.200,24.360
'6:25:54.864',-,-0.192,-,-,-0.136,-,-,59.200,24.360
'6:25:54.872',-,-0.032,-,-,-0.096,-,-,59.200,24.360
'6:25:54.880',-,0.416,-,-,0.160,-,-,59.200,24.360
'6:25:54.888',-,0.536,-,-,0.296,-,-,58.400,24.360
'6:25:54.896',-,0.224,-,-,0.240,-,-,58.400,24.360
'6:25:54.904',-,-0.136,-,-,0.000,-,-,58.400,24.360
'6:25:54.912',-,-0.088,-,-,-0.040,-,-,58.400,24.720
'6:25:54.920',-,0.056,-,-,-0.056,-,-,58.400,24.720
'6:25:54.928',-,0.024,-,-,0.000,-,-,58.400,24.720
'6:25:54.936',-,0.000,-,-,0.000,-,-,58.400,24.720
'6:25:54.944',-,0.000,-,-,-0.016,-,-,58.400,25.080
'6:25:54.952',-,-0.016,-,-,-0.016,-,-,58.400,26.760
'6:25:54.960',-,-0.024,-,-,-0.016,-,-,60.800,28.680
'6:25:54.968',-,-0.016,-,-,-0.040,-,-,63.200,30.720
'6:25:54.976',-,-0.016,-,-,-0.016,-,-,68.000,32.760
'6:25:54.984',-,-0.024,-,-,-0.040,-,-,75.200,34.680
'6:25:54.992',-,-0.024,-,-,-0.016,-,-,81.600,36.360
'6:25:55.000',-,-0.016,-,-,-0.040,-,-,88.800,37.560
'6:25:55.008',-,-0.024,-,-,-0.016,-,-,96.000,38.280
'6:25:55.016',-,-0.024,-,-,-0.016,-,-,101.600,39.120
'6:25:55.024',-,-0.016,-,-,-0.016,-,-,108.000,39.960
'6:25:55.032',-,-0.024,-,-,-0.016,-,-,112.800,40.680
'6:25:55.040',-,-0.032,-,-,-0.040,-,-,116.000,41.520
'6:25:55.048',-,-0.024,-,-,-0.016,-,-,120.000,42.360
'6:25:55.056',-,-0.016,-,-,-0.016,-,-,120.800,42.720
'6:25:55.064',-,-0.024,-,-,-0.016,-,-,120.000,43.080
'6:25:55.072',-,-0.016,-,-,-0.016,-,-,117.600,43.560
'6:25:55.080',-,-0.024,-,-,-0.016,-,-,113.600,43.920
'6:25:55.088',-,-0.032,-,-,-0.040,-,-,111.200,44.760
'6:25:55.096',-,-0.024,-,-,-0.016,-,-,108.800,45.120
'6:25:55.104',-,-0.032,-,-,-0.040,-,-,108.000,45.960
'6:25:55.112',-,-0.040,-,-,-0.040,-,-,106.400,46.320
'6:25:55.120',-,-0.048,-,-,-0.040,-,-,106.400,46.680
'6:25:55.128',-,-0.048,-,-,-0.040,-,-,105.600,46.680
'6:25:55.136',-,-0.032,-,-,-0.040,-,-,104.000,46.320
'6:25:55.144',-,-0.024,-,-,-0.040,-,-,103.200,45.960
'6:25:55.152',-,0.000,-,-,-0.040,-,-,100.800,45.120
'6:25:55.160',-,0.024,-,-,-0.016,-,-,96.800,44.280
'6:25:55.168',-,0.048,-,-,0.000,-,-,94.400,43.080
'6:25:55.176',-,0.064,-,-,0.016,-,-,91.200,41.880
'6:25:55.184',-,0.064,-,-,0.040,-,-,87.200,40.680
'6:25:55.192',-,0.080,-,-,0.016,-,-,84.800,39.120
'6:25:55.200',-,0.064,-,-,0.040,-,-,82.400,37.920
'6:25:55.208',-,0.064,-,-,0.016,-,-,81.600,37.080
'6:25:55.216',-,0.056,-,-,0.016,-,-,81.600,36.360
'6:25:55.224',-,0.056,-,-,0.016,-,-,81.600,35.880
'6:25:55.232',-,0.056,-,-,0.016,-,-,81.600,35.880
'6:25:55.240',-,0.056,-,-,0.016,-,-,81.600,36.360
'6:25:55.248',-,0.064,-,-,0.016,-,-,80.000,37.080
'6:25:55.256',-,0.048,-,-,0.016,-,-,80.000,37.920
'6:25:55.264',-,0.056,-,-,0.016,-,-,80.000,38.760
'6:25:55.272',-,0.048,-,-,0.016,-,-,80.000,39.120
'6:25:55.280',-,0.048,-,-,0.000,-,-,80.000,39.120
'6:25:55.288',-,0.040,-,-,0.000,-,-,78.400,38.760
'6:25:55.296',-,0.048,-,-,0.016,-,-,78.400,37.920
'6:25:55.304',-,0.040,-,-,0.000,-,-,77.600,37.080
'6:25:55.312',-,0.032,-,-,0.000,-,-,77.600,36.360
'6:25:55.320',-,0.024,-,-,0.000,-,-,76.000,35.160
'6:25:55.328',-,0.032,-,-,0.000,-,-,76.000,34.320
'6:25:55.336',-,0.016,-,-,0.000,-,-,75.200,33.480
'6:25:55.344',-,0.016,-,-,0.000,-,-,75.200,33.120
'6:25:55.352',-,0.008,-,-,0.000,-,-,73.600,32.760
'6:25:55.360',-,0.000,-,-,0.000,-,-,73.600,32.760
'6:25:55.368',-,0.008,-,-,0.000,-,-,73.600,32.760
'6:25:55.376',-,0.000,-,-,0.000,-,-,72.800,32.760
'6:25:55.384',-,0.000,-,-,-0.016,-,-,72.800,33.120
'6:25:55.392',-,0.000,-,-,0.000,-,-,72.800,33.480
'6:25:55.400',-,0.000,-,-,0.000,-,-,72.800,33.480
'6:25:55.408',-,0.000,-,-,-0.016,-,-,71.200,33.480
'6:25:55.416',-,-0.008,-,-,0.000,-,-,71.200,33.480
'6:25:55.424',-,0.000,-,-,-0.016,-,-,71.200,33.480
'6:25:55.432',-,-0.008,-,-,0.000,-,-,70.400,33.480
'6:25:55.440',-,0.000,-,-,-0.016,-,-,70.400,33.120
'6:25:55.448',-,0.000,-,-,0.000,-,-,70.400,33.120
'6:25:55.456',-,-0.008,-,-,-0.016,-,-,68.800,32.760
'6:25:55.464',-,0.000,-,-,0.000,-,-,68.800,32.760
'6:25:55.472',-,-0.008,-,-,-0.016,-,-,68.800,32.760
'6:25:55.480',-,-0.008,-,-,0.000,-,-,68.800,32.280
'6:25:55.488',-,-0.008,-,-,-0.016,-,-,68.000,32.280
'6:25:55.496',-,-0.016,-,-,0.000,-,-,68.000,32.280
'6:25:55.504',-,0.000,-,-,-0.016,-,-,68.000,32.280
'6:25:55.512',-,-0.008,-,-,0.000,-,-,68.000,32.280
'6:25:55.520',-,-0.008,-,-,-0.016,-,-,68.000,32.280
'6:25:55.528',-,-0.008,-,-,0.000,-,-,66.400,31.920
'6:25:55.536',-,-0.016,-,-,-0.016,-,-,66.400,31.920
'6:25:55.544',-,-0.008,-,-,0.000,-,-,66.400,31.920
'6:25:55.552',-,0.000,-,-,-0.016,-,-,65.600,31.920
'6:25:55.560',-,0.008,-,-,0.000,-,-,65.600,31.560
'6:25:55.568',-,0.024,-,-,0.000,-,-,65.600,31.560
'6:25:55.576',-,0.024,-,-,0.000,-,-,65.600,31.560
'6:25:55.584',-,0.040,-,-,0.000,-,-,65.600,31.560
'6:25:55.592',-,0.064,-,-,0.040,-,-,64.000,31.920
'6:25:55.600',-,0.040,-,-,0.016,-,-,64.000,31.920
'6:25:55.608',-,0.088,-,-,0.040,-,-,64.000,32.280
'6:25:55.616',-,0.088,-,-,0.040,-,-,64.000,32.280
'6:25:55.624',-,0.032,-,-,0.016,-,-,64.000,32.280
'6:25:55.632',-,-0.024,-,-,0.000,-,-,64.000,31.920
'6:25:55.640',-,-0.024,-,-,-0.016,-,-,64.000,31.560
'6:25:55.648',-,-0.032,-,-,-0.040,-,-,64.000,31.080
'6:25:55.656',-,-0.024,-,-,-0.016,-,-,64.000,31.080
'6:25:55.664',-,-0.032,-,-,-0.040,-,-,63.200,31.080
'6:25:55.672',-,-0.032,-,-,-0.040,-,-,63.200,31.560
'6:25:55.680',-,-0.024,-,-,-0.016,-,-,63.200,31.560
'6:25:55.688',-,-0.016,-,-,-0.040,-,-,63.200,31.080
'6:25:55.696',-,-0.040,-,-,-0.016,-,-,63.200,31.080
'6:25:55.704',-,-0.128,-,-,-0.080,-,-,63.200,30.720
'6:25:55.712',-,-0.184,-,-,-0.136,-,-,63.200,30.720
'6:25:55.720',-,0.104,-,-,-0.016,-,-,61.600,30.360
'6:25:55.728',-,0.592,-,-,0.280,-,-,61.600,30.360
'6:25:55.736',-,0.440,-,-,0.320,-,-,61.600,29.880
'6:25:55.744',-,0.288,-,-,0.256,-,-,61.600,29.880
'6:25:55.752',-,-0.032,-,-,0.040,-,-,60.800,29.880
'6:25:55.760',-,0.048,-,-,0.016,-,-,60.800,29.880
'6:25:55.768',-,0.120,-,-,0.040,-,-,60.800,30.720
'6:25:55.776',-,0.032,-,-,0.000,-,-,60.800,31.080
'6:25:55.784',-,0.008,-,-,-0.016,-,-,60.800,31.920
'6:25:55.792',-,0.000,-,-,-0.016,-,-,60.800,32.760
'6:25:55.800',-,-0.016,-,-,-0.040,-,-,63.200,33.480
'6:25:55.808',-,-0.024,-,-,-0.040,-,-,65.600,35.160
'6:25:55.816',-,-0.016,-,-,-0.040,-,-,68.800,37.080
'6:25:55.824',-,-0.032,-,-,-0.040,-,-,75.200,39.120
'6:25:55.832',-,-0.024,-,-,-0.040,-,-,81.600,40.680
'6:25:55.840',-,-0.032,-,-,-0.040,-,-,89.600,42.720
'6:25:55.848',-,-0.024,-,-,-0.040,-,-,98.400,43.920
'6:25:55.856',-,-0.032,-,-,-0.040,-,-,105.600,44.760
'6:25:55.864',-,-0.024,-,-,-0.040,-,-,111.200,44.760
'6:25:55.872',-,-0.032,-,-,-0.040,-,-,116.000,45.120
'6:25:55.880',-,-0.024,-,-,-0.040,-,-,120.800,45.120
'6:25:55.888',-,-0.032,-,-,-0.040,-,-,124.800,44.760
'6:25:55.896',-,-0.024,-,-,-0.040,-,-,127.200,44.760
'6:25:55.904',-,-0.032,-,-,-0.040,-,-,125.600,44.280
'6:25:55.912',-,-0.024,-,-,-0.040,-,-,123.200,44.760
'6:25:55.920',-,-0.032,-,-,-0.040,-,-,118.400,45.120
'6:25:55.928',-,-0.024,-,-,-0.040,-,-,115.200,45.480
'6:25:55.936',-,-0.040,-,-,-0.040,-,-,112.800,46.680
'6:25:55.944',-,-0.048,-,-,-0.040,-,-,111.200,47.160
'6:25:55.952',-,-0.040,-,-,-0.056,-,-,111.200,47.880
'6:25:55.960',-,-0.064,-,-,-0.056,-,-,111.200,48.360
'6:25:55.968',-,-0.072,-,-,-0.080,-,-,111.200,48.360
'6:25:55.976',-,-0.056,-,-,-0.080,-,-,110.400,48.360
'6:25:55.984',-,-0.064,-,-,-0.056,-,-,108.000,47.520
'6:25:55.992',-,-0.032,-,-,-0.056,-,-,105.600,46.680
'6:25:56.000',-,0.000,-,-,-0.040,-,-,103.200,45.480
'6:25:56.008',-,0.024,-,-,-0.016,-,-,99.200,44.280
'6:25:56.016',-,0.056,-,-,0.000,-,-,96.800,42.720
'6:25:56.024',-,0.064,-,-,0.016,-,-,93.600,41.160
'6:25:56.032',-,0.064,-,-,0.040,-,-,89.600,39.480
'6:25:56.040',-,0.080,-,-,0.040,-,-,87.200,38.280
'6:25:56.048',-,0.088,-,-,0.040,-,-,84.800,37.080
'6:25:56.056',-,0.064,-,-,0.040,-,-,82.400,36.720
'6:25:56.064',-,0.080,-,-,0.040,-,-,82.400,36.720
'6:25:56.072',-,0.064,-,-,0.040,-,-,82.400,37.080
'6:25:56.080',-,0.064,-,-,0.040,-,-,82.400,37.920
'6:25:56.088',-,0.064,-,-,0.016,-,-,82.400,38.760
'6:25:56.096',-,0.064,-,-,0.040,-,-,82.400,39.480
'6:25:56.104',-,0.056,-,-,0.016,-,-,81.600,39.960
'6:25:56.112',-,0.064,-,-,0.016,-,-,81.600,40.320
'6:25:56.120',-,0.056,-,-,0.016,-,-,80.000,39.960
'6:25:56.128',-,0.064,-,-,0.016,-,-,80.000,39.120
'6:25:56.136',-,0.056,-,-,0.016,-,-,80.000,38.280
'6:25:56.144',-,0.056,-,-,0.016,-,-,78.400,37.080
'6:25:56.152',-,0.040,-,-,0.000,-,-,78.400,36.360
'6:25:56.160',-,0.048,-,-,0.016,-,-,77.600,35.160
'6:25:56.168',-,0.032,-,-,0.000,-,-,76.000,34.320
'6:25:56.176',-,0.040,-,-,0.000,-,-,76.000,33.480
'6:25:56.184',-,0.024,-,-,0.000,-,-,75.200,33.120
'6:25:56.192',-,0.024,-,-,0.000,-,-,75.200,32.760
'6:25:56.200',-,0.016,-,-,0.000,-,-,75.200,32.760
'6:25:56.208',-,0.008,-,-,0.000,-,-,73.600,32.760
'6:25:56.216',-,0.016,-,-,0.000,-,-,73.600,32.280
'6:25:56.224',-,0.008,-,-,0.000,-,-,73.600,32.280
'6:25:56.232',-,0.000,-,-,0.000,-,-,72.800,32.280
'6:25:56.240',-,0.008,-,-,0.000,-,-,72.800,32.280
'6:25:56.248',-,0.000,-,-,0.000,-,-,72.800,31.920
'6:25:56.256',-,0.000,-,-,0.000,-,-,71.200,31.920
'6:25:56.264',-,0.000,-,-,0.000,-,-,71.200,31.560
'6:25:56.272',-,0.000,-,-,-0.016,-,-,71.200,31.560
'6:25:56.280',-,0.000,-,-,0.000,-,-,70.400,31.080
'6:25:56.288',-,0.000,-,-,0.000,-,-,70.400,30.720
'6:25:56.296',-,0.000,-,-,0.000,-,-,68.800,30.720
'6:25:56.304',-,0.000,-,-,0.000,-,-,68.800,30.360
'6:25:56.312',-,0.000,-,-,-0.016,-,-,68.800,30.360
'6:25:56.320',-,0.000,-,-,0.000,-,-,68.000,29.880
'6:25:56.328',-,0.000,-,-,0.000,-,-,68.000,29.880
'6:25:56.336',-,-0.008,-,-,-0.016,-,-,68.000,29.880
'6:25:56.344',-,0.000,-,-,0.000,-,-,68.000,29.520
'6:25:56.352',-,-0.008,-,-,0.000,-,-,66.400,29.520
'6:25:56.360',-,0.000,-,-,0.000,-,-,66.400,29.160
'6:25:56.368',-,0.000,-,-,0.000,-,-,66.400,29.160
'6:25:56.376',-,-0.008,-,-,-0.016,-,-,65.600,28.680
'6:25:56.384',-,-0.008,-,-,0.000,-,-,65.600,28.680
'6:25:56.392',-,0.000,-,-,-0.016,-,-,65.600,28.320
'6:25:56.400',-,0.000,-,-,0.000,-,-,65.600,28.320
'6:25:56.408',-,0.016,-,-,0.000,-,-,64.000,27.960
'6:25:56.416',-,0.032,-,-,0.000,-,-,64.000,27.960
'6:25:56.424',-,0.040,-,-,0.000,-,-,64.000,27.960
'6:25:56.432',-,0.064,-,-,0.016,-,-,64.000,27.960
'6:25:56.440',-,0.080,-,-,0.016,-,-,64.000,27.960
'6:25:56.448',-,0.048,-,-,0.040,-,-,63.200,28.320
'6:25:56.456',-,0.088,-,-,0.040,-,-,63.200,28.320
'6:25:56.464',-,0.064,-,-,0.016,-,-,63.200,28.320
'6:25:56.472',-,0.000,-,-,0.040,-,-,63.200,27.960
'6:25:56.480',-,-0.024,-,-,-0.016,-,-,63.200,27.480
'6:25:56.488',-,-0.024,-,-,-0.040,-,-,63.200,26.760
'6:25:56.496',-,-0.024,-,-,-0.016,-,-,63.200,26.280
'6:25:56.504',-,-0.032,-,-,-0.040,-,-,63.200,26.280
'6:25:56.512',-,-0.024,-,-,-0.016,-,-,61.600,25.920
'6:25:56.520',-,-0.032,-,-,-0.040,-,-,61.600,26.280
'6:25:56.528',-,-0.024,-,-,-0.016,-,-,61.600,26.280
'6:25:56.536',-,-0.032,-,-,-0.016,-,-,61.600,26.280
'6:25:56.544',-,-0.024,-,-,-0.040,-,-,60.800,26.280
'6:25:56.552',-,-0.160,-,-,-0.096,-,-,60.800,26.280
'6:25:56.560',-,-0.176,-,-,-0.136,-,-,60.800,25.920
'6:25:56.568',-,0.208,-,-,0.016,-,-,60.800,25.560
'6:25:56.576',-,0.560,-,-,0.296,-,-,60.800,25.080
'6:25:56.584',-,0.360,-,-,0.280,-,-,59.200,24.720
'6:25:56.592',-,0.056,-,-,0.120,-,-,59.200,24.720
'6:25:56.600',-,-0.112,-,-,-0.040,-,-,59.200,24.720
'6:25:56.608',-,0.024,-,-,-0.040,-,-,59.200,24.720
'6:25:56.616',-,0.080,-,-,0.000,-,-,59.200,25.080
'6:25:56.624',-,0.024,-,-,0.000,-,-,58.400,25.560
'6:25:56.632',-,0.000,-,-,-0.016,-,-,58.400,25.920
'6:25:56.640',-,0.000,-,-,-0.016,-,-,59.200,26.760
'6:25:56.648',-,-0.008,-,-,-0.040,-,-,59.200,28.320
'6:25:56.656',-,-0.016,-,-,-0.016,-,-,61.600,29.880
'6:25:56.664',-,-0.008,-,-,-0.040,-,-,65.600,32.280
'6:25:56.672',-,-0.024,-,-,-0.040,-,-,71.200,34.320
'6:25:56.680',-,-0.016,-,-,-0.040,-,-,77.600,36.720
'6:25:56.688',-,-0.024,-,-,-0.040,-,-,84.000,38.760
'6:25:56.696',-,-0.016,-,-,-0.040,-,-,91.200,39.960
'6:25:56.704',-,-0.016,-,-,-0.016,-,-,98.400,40.680
'6:25:56.712',-,-0.008,-,-,-0.040,-,-,104.000,41.160
'6:25:56.720',-,-0.024,-,-,-0.016,-,-,108.800,40.680
'6:25:56.728',-,-0.016,-,-,-0.040,-,-,113.600,39.960
'6:25:56.736',-,-0.024,-,-,-0.016,-,-,117.600,39.960
'6:25:56.744',-,-0.016,-,-,-0.040,-,-,120.000,39.960
'6:25:56.752',-,-0.024,-,-,-0.016,-,-,118.400,40.320
'6:25:56.760',-,-0.008,-,-,-0.040,-,-,116.000,40.680
'6:25:56.768',-,-0.016,-,-,-0.016,-,-,112.800,41.520
'6:25:56.776',-,-0.016,-,-,-0.040,-,-,108.800,42.360
'6:25:56.784',-,-0.024,-,-,-0.040,-,-,106.400,43.080
'6:25:56.792',-,-0.032,-,-,-0.040,-,-,104.000,43.920
'6:25:56.800',-,-0.040,-,-,-0.040,-,-,104.000,44.760
'6:25:56.808',-,-0.048,-,-,-0.056,-,-,103.200,45.120
'6:25:56.816',-,-0.048,-,-,-0.056,-,-,101.600,45.120
'6:25:56.824',-,-0.040,-,-,-0.056,-,-,100.800,45.120
'6:25:56.832',-,-0.032,-,-,-0.040,-,-,99.200,44.760
'6:25:56.840',-,-0.008,-,-,-0.040,-,-,96.800,44.280
'6:25:56.848',-,0.016,-,-,-0.016,-,-,94.400,43.080
'6:25:56.856',-,0.048,-,-,0.000,-,-,91.200,41.880
'6:25:56.864',-,0.064,-,-,0.016,-,-,87.200,40.680
'6:25:56.872',-,0.080,-,-,0.040,-,-,84.800,39.120
'6:25:56.880',-,0.088,-,-,0.040,-,-,81.600,37.560
'6:25:56.888',-,0.064,-,-,0.040,-,-,80.000,36.360
'6:25:56.896',-,0.080,-,-,0.040,-,-,80.000,35.520
'6:25:56.904',-,0.064,-,-,0.040,-,-,80.000,35.160
'6:25:56.912',-,0.064,-,-,0.016,-,-,80.000,35.160
'6:25:56.920',-,0.064,-,-,0.040,-,-,80.000,35.160
'6:25:56.928',-,0.064,-,-,0.016,-,-,80.000,35.160
'6:25:56.936',-,0.056,-,-,0.016,-,-,80.000,35.160
'6:25:56.944',-,0.056,-,-,0.016,-,-,80.000,35.520
'6:25:56.952',-,0.048,-,-,0.016,-,-,78.400,35.520
'6:25:56.960',-,0.056,-,-,0.016,-,-,78.400,35.520
'6:25:56.968',-,0.048,-,-,0.016,-,-,77.600,35.520
'6:25:56.976',-,0.048,-,-,0.000,-,-,77.600,35.160
'6:25:56.984',-,0.040,-,-,0.016,-,-,76.000,34.680
'6:25:56.992',-,0.032,-,-,0.000,-,-,75.200,33.960
'6:25:57.000',-,0.040,-,-,0.000,-,-,75.200,33.120
'6:25:57.008',-,0.024,-,-,0.000,-,-,73.600,32.280
'6:25:57.016',-,0.016,-,-,0.000,-,-,73.600,31.560
'6:25:57.024',-,0.024,-,-,0.000,-,-,73.600,30.720
'6:25:57.032',-,0.016,-,-,0.000,-,-,72.800,30.360
'6:25:57.040',-,0.008,-,-,0.000,-,-,72.800,29.880
'6:25:57.048',-,0.008,-,-,0.000,-,-,72.800,29.880
'6:25:57.056',-,0.000,-,-,0.000,-,-,71.200,29.880
'6:25:57.064',-,0.000,-,-,0.000,-,-,71.200,29.880
'6:25:57.072',-,0.000,-,-,-0.016,-,-,71.200,29.880
'6:25:57.080',-,0.000,-,-,0.000,-,-,70.400,29.880
'6:25:57.088',-,0.000,-,-,0.000,-,-,70.400,29.880
'6:25:57.096',-,0.000,-,-,0.000,-,-,70.400,29.520
