'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP','PAP'
'6:58:57.768',0.200,-,-,-,0.040,-,96.800,22.400
'6:58:57.776',0.220,-,-,-,0.080,-,96.000,22.400
'6:58:57.784',0.260,-,-,-,0.100,-,95.200,22.000
'6:58:57.792',0.280,-,-,-,0.080,-,94.400,22.000
'6:58:57.800',0.260,-,-,-,0.080,-,93.600,21.600
'6:58:57.808',0.280,-,-,-,0.100,-,92.800,21.600
'6:58:57.816',0.260,-,-,-,0.080,-,92.000,21.200
'6:58:57.824',0.220,-,-,-,0.060,-,91.200,21.200
'6:58:57.832',0.180,-,-,-,0.080,-,90.400,20.800
'6:58:57.840',0.120,-,-,-,0.000,-,89.600,20.800
'6:58:57.848',0.100,-,-,-,0.000,-,88.800,20.400
'6:58:57.856',0.080,-,-,-,0.000,-,88.000,20.000
'6:58:57.864',0.080,-,-,-,0.000,-,88.000,20.000
'6:58:57.872',0.060,-,-,-,0.000,-,87.200,19.600
'6:58:57.880',0.040,-,-,-,0.000,-,86.400,19.600
'6:58:57.888',0.060,-,-,-,0.000,-,86.400,19.600
'6:58:57.896',0.040,-,-,-,-0.020,-,85.600,19.200
'6:58:57.904',0.040,-,-,-,0.000,-,84.800,19.200
'6:58:57.912',0.000,-,-,-,-0.040,-,84.800,18.800
'6:58:57.920',0.000,-,-,-,-0.060,-,84.000,18.800
'6:58:57.928',0.080,-,-,-,0.020,-,83.200,18.800
'6:58:57.936',0.360,-,-,-,0.260,-,83.200,18.400
'6:58:57.944',0.780,-,-,-,0.620,-,82.400,18.400
'6:58:57.952',0.820,-,-,-,0.660,-,82.400,18.000
'6:58:57.960',0.260,-,-,-,0.140,-,81.600,17.600
'6:58:57.968',0.140,-,-,-,0.040,-,80.800,17.200
'6:58:57.976',0.120,-,-,-,0.020,-,80.800,16.800
'6:58:57.984',0.140,-,-,-,0.000,-,80.000,16.000
'6:58:57.992',0.140,-,-,-,0.000,-,79.200,16.000
'6:58:58.000',0.140,-,-,-,0.000,-,78.400,16.400
'6:58:58.008',0.120,-,-,-,0.000,-,78.400,16.800
'6:58:58.016',0.080,-,-,-,0.000,-,77.600,17.600
'6:58:58.024',0.000,-,-,-,-0.040,-,76.800,18.000
'6:58:58.032',-0.140,-,-,-,-0.080,-,76.000,18.800
'6:58:58.040',-0.200,-,-,-,-0.100,-,76.000,18.800
'6:58:58.048',-0.240,-,-,-,-0.120,-,76.000,18.800
'6:58:58.056',-0.260,-,-,-,-0.120,-,76.000,18.800
'6:58:58.064',-0.240,-,-,-,-0.100,-,76.000,18.400
'6:58:58.072',-0.220,-,-,-,-0.100,-,76.000,18.400
'6:58:58.080',-0.180,-,-,-,-0.100,-,76.000,18.800
'6:58:58.088',-0.140,-,-,-,-0.080,-,76.800,18.800
'6:58:58.096',-0.100,-,-,-,-0.040,-,79.200,19.200
'6:58:58.104',-0.080,-,-,-,-0.040,-,83.200,20.000
'6:58:58.112',-0.040,-,-,-,-0.020,-,88.800,20.400
'6:58:58.120',0.000,-,-,-,0.000,-,95.200,21.200
'6:58:58.128',0.040,-,-,-,0.000,-,102.400,21.600
'6:58:58.136',0.080,-,-,-,0.020,-,108.000,22.000
'6:58:58.144',0.120,-,-,-,0.040,-,112.000,22.000
'6:58:58.152',0.160,-,-,-,0.080,-,114.400,22.400
'6:58:58.160',0.220,-,-,-,0.080,-,116.000,22.400
'6:58:58.168',0.260,-,-,-,0.120,-,116.800,22.800
'6:58:58.176',0.320,-,-,-,0.160,-,118.400,22.800
'6:58:58.184',0.360,-,-,-,0.180,-,120.000,22.400
'6:58:58.192',0.400,-,-,-,0.200,-,122.400,22.400
'6:58:58.200',0.420,-,-,-,0.220,-,124.800,22.000
'6:58:58.208',0.440,-,-,-,0.220,-,127.200,21.600
'6:58:58.216',0.420,-,-,-,0.220,-,129.600,21.600
'6:58:58.224',0.400,-,-,-,0.180,-,130.400,21.200
'6:58:58.232',0.360,-,-,-,0.160,-,131.200,20.800
'6:58:58.240',0.300,-,-,-,0.120,-,131.200,20.400
'6:58:58.248',0.240,-,-,-,0.080,-,131.200,20.000
'6:58:58.256',0.180,-,-,-,0.060,-,130.400,19.600
'6:58:58.264',0.140,-,-,-,0.040,-,128.800,19.200
'6:58:58.272',0.120,-,-,-,0.020,-,128.000,18.800
'6:58:58.280',0.120,-,-,-,0.020,-,126.400,18.400
'6:58:58.288',0.120,-,-,-,0.000,-,124.000,17.600
'6:58:58.296',0.140,-,-,-,0.020,-,121.600,17.200
'6:58:58.304',0.200,-,-,-,0.040,-,118.400,16.400
'6:58:58.312',0.300,-,-,-,0.080,-,115.200,15.600
'6:58:58.320',0.540,-,-,-,0.160,-,112.000,14.800
'6:58:58.328',-0.100,-,-,-,-0.060,-,108.000,14.800
'6:58:58.336',-0.140,-,-,-,-0.080,-,104.000,15.200
'6:58:58.344',0.060,-,-,-,0.000,-,101.600,15.200
'6:58:58.352',0.060,-,-,-,0.000,-,99.200,14.800
'6:58:58.360',0.000,-,-,-,-0.020,-,98.400,14.400
'6:58:58.368',-0.080,-,-,-,-0.040,-,98.400,13.600
'6:58:58.376',-0.100,-,-,-,-0.060,-,99.200,13.600
'6:58:58.384',-0.100,-,-,-,-0.040,-,100.000,13.600
'6:58:58.392',-0.080,-,-,-,-0.060,-,100.000,14.000
'6:58:58.400',-0.040,-,-,-,-0.040,-,100.000,14.000
'6:58:58.408',-0.060,-,-,-,-0.040,-,99.200,14.400
'6:58:58.416',-0.100,-,-,-,-0.040,-,98.400,14.800
'6:58:58.424',-0.140,-,-,-,-0.040,-,96.800,15.200
'6:58:58.432',-0.140,-,-,-,-0.040,-,96.000,15.600
'6:58:58.440',-0.140,-,-,-,-0.040,-,95.200,15.600
'6:58:58.448',-0.100,-,-,-,-0.020,-,93.600,15.600
'6:58:58.456',-0.080,-,-,-,-0.040,-,93.600,15.200
'6:58:58.464',-0.160,-,-,-,-0.020,-,92.800,15.200
'6:58:58.472',-0.100,-,-,-,0.000,-,92.000,15.200
'6:58:58.480',-0.040,-,-,-,0.000,-,92.000,15.200
'6:58:58.488',-0.040,-,-,-,0.000,-,91.200,14.800
'6:58:58.496',-0.080,-,-,-,-0.020,-,90.400,14.800
'6:58:58.504',-0.100,-,-,-,-0.040,-,89.600,14.400
'6:58:58.512',-0.100,-,-,-,-0.040,-,88.800,14.400
'6:58:58.520',-0.140,-,-,-,-0.060,-,88.000,14.000
'6:58:58.528',-0.100,-,-,-,-0.060,-,86.400,13.600
'6:58:58.536',-0.040,-,-,-,-0.040,-,85.600,13.600
'6:58:58.544',0.000,-,-,-,-0.040,-,84.800,13.600
'6:58:58.552',0.000,-,-,-,-0.040,-,84.800,13.600
'6:58:58.560',0.040,-,-,-,-0.020,-,84.000,13.200
'6:58:58.568',0.020,-,-,-,-0.020,-,84.000,13.200
'6:58:58.576',0.040,-,-,-,-0.020,-,84.000,13.200
'6:58:58.584',0.060,-,-,-,0.000,-,83.200,13.200
'6:58:58.592',0.060,-,-,-,0.000,-,83.200,12.800
'6:58:58.600',0.080,-,-,-,-0.020,-,82.400,12.800
'6:58:58.608',0.120,-,-,-,0.000,-,81.600,12.400
'6:58:58.616',0.300,-,-,-,0.140,-,80.800,12.400
'6:58:58.624',0.700,-,-,-,0.480,-,80.800,12.000
'6:58:58.632',0.780,-,-,-,0.560,-,80.000,11.600
'6:58:58.640',0.340,-,-,-,0.160,-,80.000,11.200
'6:58:58.648',0.200,-,-,-,0.040,-,80.000,11.600
'6:58:58.656',0.160,-,-,-,0.040,-,79.200,12.400
'6:58:58.664',0.140,-,-,-,0.020,-,78.400,13.200
'6:58:58.672',0.120,-,-,-,0.000,-,77.600,14.000
'6:58:58.680',0.060,-,-,-,0.000,-,76.800,13.600
'6:58:58.688',0.040,-,-,-,-0.020,-,76.800,12.800
'6:58:58.696',0.020,-,-,-,-0.020,-,76.000,12.000
'6:58:58.704',0.000,-,-,-,-0.040,-,76.000,12.000
'6:58:58.712',-0.020,-,-,-,-0.020,-,75.200,12.000
'6:58:58.720',-0.020,-,-,-,-0.040,-,75.200,12.400
'6:58:58.728',-0.080,-,-,-,-0.060,-,74.400,12.800
'6:58:58.736',-0.100,-,-,-,-0.040,-,74.400,14.000
'6:58:58.744',-0.080,-,-,-,-0.060,-,73.600,15.200
'6:58:58.752',-0.200,-,-,-,-0.100,-,73.600,16.000
'6:58:58.760',-0.180,-,-,-,-0.080,-,73.600,17.200
'6:58:58.768',-0.260,-,-,-,-0.100,-,74.400,18.400
'6:58:58.776',-0.280,-,-,-,-0.100,-,76.000,19.600
'6:58:58.784',-0.260,-,-,-,-0.080,-,79.200,20.400
'6:58:58.792',-0.220,-,-,-,-0.060,-,83.200,21.200
'6:58:58.800',-0.200,-,-,-,-0.060,-,89.600,22.000
'6:58:58.808',-0.200,-,-,-,-0.060,-,96.000,22.800
'6:58:58.816',-0.180,-,-,-,-0.040,-,101.600,23.600
'6:58:58.824',-0.140,-,-,-,-0.020,-,106.400,24.000
'6:58:58.832',-0.080,-,-,-,0.000,-,109.600,24.000
'6:58:58.840',0.020,-,-,-,0.040,-,112.000,24.000
'6:58:58.848',0.120,-,-,-,0.080,-,112.800,24.000
'6:58:58.856',0.180,-,-,-,0.120,-,113.600,23.600
'6:58:58.864',0.260,-,-,-,0.140,-,114.400,23.600
'6:58:58.872',0.300,-,-,-,0.160,-,116.000,23.200
'6:58:58.880',0.320,-,-,-,0.180,-,118.400,22.800
'6:58:58.888',0.340,-,-,-,0.180,-,120.800,22.400
'6:58:58.896',0.360,-,-,-,0.180,-,122.400,22.000
'6:58:58.904',0.360,-,-,-,0.160,-,124.000,22.000
'6:58:58.912',0.300,-,-,-,0.140,-,124.800,21.600
'6:58:58.920',0.260,-,-,-,0.120,-,124.800,21.600
'6:58:58.928',0.220,-,-,-,0.080,-,124.000,21.200
'6:58:58.936',0.160,-,-,-,0.040,-,123.200,21.200
'6:58:58.944',0.120,-,-,-,0.040,-,121.600,20.800
'6:58:58.952',0.100,-,-,-,0.000,-,120.000,20.400
'6:58:58.960',0.080,-,-,-,0.000,-,118.400,20.000
'6:58:58.968',0.060,-,-,-,0.000,-,116.000,19.600
'6:58:58.976',0.080,-,-,-,0.000,-,113.600,18.800
'6:58:58.984',0.040,-,-,-,0.000,-,110.400,18.000
'6:58:58.992',0.060,-,-,-,0.000,-,107.200,17.600
'6:58:59.000',0.040,-,-,-,0.000,-,103.200,16.800
'6:58:59.008',0.040,-,-,-,0.000,-,100.000,15.600
'6:58:59.016',0.040,-,-,-,0.000,-,97.600,14.400
'6:58:59.024',0.040,-,-,-,0.000,-,96.800,13.600
'6:58:59.032',0.020,-,-,-,0.000,-,96.800,12.800
'6:58:59.040',0.020,-,-,-,-0.020,-,96.800,12.800
'6:58:59.048',0.020,-,-,-,0.000,-,97.600,12.400
'6:58:59.056',0.000,-,-,-,-0.020,-,97.600,12.000
'6:58:59.064',0.000,-,-,-,0.000,-,97.600,12.000
'6:58:59.072',0.020,-,-,-,-0.020,-,96.800,12.400
'6:58:59.080',0.020,-,-,-,0.000,-,96.000,12.800
'6:58:59.088',0.040,-,-,-,0.000,-,95.200,12.800
'6:58:59.096',0.060,-,-,-,0.000,-,93.600,12.800
'6:58:59.104',0.080,-,-,-,0.020,-,92.800,12.800
'6:58:59.112',0.040,-,-,-,0.000,-,92.000,12.800
'6:58:59.120',0.020,-,-,-,0.000,-,92.000,12.800
'6:58:59.128',0.020,-,-,-,0.000,-,91.200,13.200
'6:58:59.136',0.020,-,-,-,0.000,-,90.400,13.600
'6:58:59.144',0.060,-,-,-,0.040,-,89.600,14.000
'6:58:59.152',0.020,-,-,-,0.000,-,88.800,14.400
'6:58:59.160',0.000,-,-,-,0.000,-,88.000,14.800
'6:58:59.168',-0.020,-,-,-,0.000,-,88.000,15.600
'6:58:59.176',0.000,-,-,-,-0.020,-,87.200,16.000
'6:58:59.184',-0.040,-,-,-,-0.020,-,86.400,16.000
'6:58:59.192',-0.100,-,-,-,-0.060,-,85.600,16.000
'6:58:59.200',-0.180,-,-,-,-0.100,-,84.800,15.600
'6:58:59.208',-0.140,-,-,-,-0.080,-,84.000,15.600
'6:58:59.216',-0.260,-,-,-,-0.120,-,83.200,15.200
'6:58:59.224',-0.360,-,-,-,-0.140,-,83.200,14.800
'6:58:59.232',-0.260,-,-,-,-0.100,-,82.400,14.400
'6:58:59.240',-0.240,-,-,-,-0.100,-,82.400,14.000
'6:58:59.248',-0.200,-,-,-,-0.100,-,82.400,13.600
'6:58:59.256',-0.180,-,-,-,-0.100,-,82.400,13.200
'6:58:59.264',-0.180,-,-,-,-0.080,-,82.400,12.800
'6:58:59.272',-0.180,-,-,-,-0.100,-,81.600,12.400
'6:58:59.280',-0.200,-,-,-,-0.120,-,80.800,12.400
'6:58:59.288',-0.100,-,-,-,-0.060,-,80.000,12.000
'6:58:59.296',0.200,-,-,-,0.120,-,79.200,11.600
'6:58:59.304',0.580,-,-,-,0.460,-,78.400,11.600
'6:58:59.312',0.360,-,-,-,0.260,-,77.600,11.200
'6:58:59.320',0.140,-,-,-,0.040,-,76.800,11.200
'6:58:59.328',0.080,-,-,-,0.000,-,76.800,10.800
'6:58:59.336',0.060,-,-,-,0.000,-,76.000,11.200
'6:58:59.344',0.080,-,-,-,0.000,-,76.000,11.600
'6:58:59.352',0.080,-,-,-,0.000,-,76.000,12.400
'6:58:59.360',0.120,-,-,-,0.000,-,75.200,12.800
'6:58:59.368',0.120,-,-,-,0.000,-,75.200,13.600
'6:58:59.376',0.120,-,-,-,0.000,-,74.400,13.600
'6:58:59.384',0.080,-,-,-,0.000,-,73.600,14.000
'6:58:59.392',0.040,-,-,-,0.000,-,72.800,14.000
'6:58:59.400',0.060,-,-,-,0.000,-,72.800,14.000
'6:58:59.408',0.040,-,-,-,-0.020,-,72.000,14.400
'6:58:59.416',0.000,-,-,-,0.000,-,72.000,14.800
'6:58:59.424',0.000,-,-,-,-0.020,-,72.000,15.200
'6:58:59.432',0.000,-,-,-,0.000,-,72.000,16.000
'6:58:59.440',0.000,-,-,-,-0.020,-,72.800,16.800
'6:58:59.448',0.000,-,-,-,0.000,-,73.600,18.000
'6:58:59.456',0.040,-,-,-,0.000,-,76.000,19.600
'6:58:59.464',0.040,-,-,-,0.000,-,79.200,20.800
'6:58:59.472',0.020,-,-,-,0.000,-,84.000,22.000
'6:58:59.480',0.000,-,-,-,0.000,-,89.600,23.200
'6:58:59.488',0.000,-,-,-,0.000,-,96.000,24.000
'6:58:59.496',0.000,-,-,-,0.000,-,101.600,24.400
'6:58:59.504',0.000,-,-,-,0.020,-,105.600,24.800
'6:58:59.512',0.040,-,-,-,0.040,-,108.800,25.200
'6:58:59.520',0.080,-,-,-,0.040,-,110.400,25.200
'6:58:59.528',0.100,-,-,-,0.080,-,111.200,25.200
'6:58:59.536',0.120,-,-,-,0.080,-,112.000,25.200
'6:58:59.544',0.140,-,-,-,0.080,-,112.800,24.800
'6:58:59.552',0.140,-,-,-,0.120,-,114.400,24.400
'6:58:59.560',0.160,-,-,-,0.120,-,116.800,24.400
'6:58:59.568',0.160,-,-,-,0.120,-,119.200,23.600
'6:58:59.576',0.120,-,-,-,0.120,-,120.800,23.200
'6:58:59.584',0.080,-,-,-,0.080,-,122.400,22.800
'6:58:59.592',0.040,-,-,-,0.040,-,123.200,22.400
'6:58:59.600',0.000,-,-,-,0.020,-,123.200,22.000
'6:58:59.608',-0.020,-,-,-,0.000,-,122.400,21.600
'6:58:59.616',-0.040,-,-,-,-0.020,-,121.600,20.800
'6:58:59.624',-0.060,-,-,-,-0.040,-,120.000,20.400
'6:58:59.632',-0.060,-,-,-,-0.040,-,118.400,19.600
'6:58:59.640',-0.080,-,-,-,-0.040,-,116.000,19.200
'6:58:59.648',-0.060,-,-,-,-0.040,-,112.800,18.800
'6:58:59.656',-0.080,-,-,-,-0.040,-,109.600,18.000
'6:58:59.664',-0.060,-,-,-,-0.040,-,106.400,17.600
'6:58:59.672',-0.080,-,-,-,-0.040,-,103.200,17.200
'6:58:59.680',-0.080,-,-,-,-0.040,-,99.200,16.800
'6:58:59.688',-0.080,-,-,-,-0.040,-,96.800,16.400
'6:58:59.696',-0.080,-,-,-,-0.040,-,94.400,16.400
'6:58:59.704',-0.100,-,-,-,-0.040,-,93.600,16.400
'6:58:59.712',-0.100,-,-,-,-0.060,-,93.600,16.000
'6:58:59.720',-0.100,-,-,-,-0.040,-,94.400,16.000
'6:58:59.728',-0.120,-,-,-,-0.060,-,95.200,15.600
'6:58:59.736',-0.100,-,-,-,-0.060,-,96.000,15.600
'6:58:59.744',-0.140,-,-,-,-0.060,-,96.000,15.200
'6:58:59.752',-0.100,-,-,-,-0.060,-,95.200,15.200
'6:58:59.760',-0.120,-,-,-,-0.040,-,94.400,15.200
'6:58:59.768',-0.080,-,-,-,-0.040,-,92.800,15.200
'6:58:59.776',-0.040,-,-,-,-0.020,-,92.000,15.200
'6:58:59.784',-0.040,-,-,-,0.000,-,90.400,15.200
'6:58:59.792',-0.040,-,-,-,-0.020,-,89.600,15.200
'6:58:59.800',-0.020,-,-,-,-0.020,-,88.800,15.200
'6:58:59.808',0.000,-,-,-,0.000,-,88.800,15.200
'6:58:59.816',0.040,-,-,-,0.020,-,88.000,15.200
'6:58:59.824',0.080,-,-,-,0.020,-,88.000,14.800
'6:58:59.832',0.040,-,-,-,0.000,-,87.200,14.800
'6:58:59.840',0.060,-,-,-,0.020,-,87.200,14.800
'6:58:59.848',0.020,-,-,-,0.000,-,86.400,14.800
'6:58:59.856',0.000,-,-,-,-0.020,-,85.600,14.800
'6:58:59.864',-0.020,-,-,-,0.000,-,84.800,14.400
'6:58:59.872',-0.060,-,-,-,-0.040,-,84.000,14.400
'6:58:59.880',-0.100,-,-,-,-0.060,-,83.200,14.000
'6:58:59.888',-0.100,-,-,-,-0.060,-,83.200,14.000
'6:58:59.896',-0.100,-,-,-,-0.060,-,82.400,14.000
'6:58:59.904',-0.100,-,-,-,-0.040,-,81.600,14.000
'6:58:59.912',-0.100,-,-,-,-0.060,-,81.600,14.000
'6:58:59.920',-0.080,-,-,-,-0.060,-,80.800,13.600
'6:58:59.928',-0.080,-,-,-,-0.040,-,80.800,13.600
'6:58:59.936',-0.080,-,-,-,-0.060,-,80.000,13.200
'6:58:59.944',-0.100,-,-,-,-0.060,-,79.200,13.200
'6:58:59.952',-0.080,-,-,-,-0.080,-,79.200,13.200
'6:58:59.960',-0.040,-,-,-,-0.060,-,78.400,13.200
'6:58:59.968',0.120,-,-,-,0.040,-,77.600,13.200
'6:58:59.976',0.480,-,-,-,0.320,-,77.600,12.800
'6:58:59.984',0.600,-,-,-,0.460,-,76.800,12.800
'6:58:59.992',0.220,-,-,-,0.120,-,76.800,12.400
'6:59:00.000',0.100,-,-,-,0.020,-,76.000,12.000
'6:59:00.008',0.080,-,-,-,0.000,-,75.200,12.000
'6:59:00.016',0.060,-,-,-,0.000,-,75.200,12.000
'6:59:00.024',0.080,-,-,-,0.000,-,74.400,12.000
'6:59:00.032',0.040,-,-,-,0.000,-,74.400,12.000
'6:59:00.040',0.060,-,-,-,0.000,-,73.600,12.400
'6:59:00.048',0.060,-,-,-,0.000,-,73.600,12.800
'6:59:00.056',0.000,-,-,-,-0.020,-,72.800,12.800
'6:59:00.064',0.000,-,-,-,-0.040,-,72.800,13.600
'6:59:00.072',-0.040,-,-,-,-0.020,-,72.000,14.400
'6:59:00.080',-0.120,-,-,-,-0.060,-,72.000,15.200
'6:59:00.088',-0.160,-,-,-,-0.080,-,71.200,15.600
'6:59:00.096',-0.180,-,-,-,-0.100,-,71.200,16.000
'6:59:00.104',-0.180,-,-,-,-0.100,-,71.200,16.800
'6:59:00.112',-0.200,-,-,-,-0.100,-,71.200,17.600
'6:59:00.120',-0.240,-,-,-,-0.100,-,72.000,18.800
'6:59:00.128',-0.260,-,-,-,-0.100,-,72.800,20.000
'6:59:00.136',-0.220,-,-,-,-0.100,-,75.200,20.800
'6:59:00.144',-0.200,-,-,-,-0.080,-,79.200,22.000
'6:59:00.152',-0.180,-,-,-,-0.060,-,84.800,22.800
'6:59:00.160',-0.140,-,-,-,-0.040,-,91.200,23.600
'6:59:00.168',-0.100,-,-,-,-0.020,-,97.600,24.400
'6:59:00.176',-0.040,-,-,-,0.000,-,103.200,24.800
'6:59:00.184',-0.020,-,-,-,0.000,-,107.200,25.200
'6:59:00.192',0.020,-,-,-,0.020,-,109.600,25.600
'6:59:00.200',0.080,-,-,-,0.060,-,111.200,25.600
'6:59:00.208',0.120,-,-,-,0.080,-,112.000,25.600
'6:59:00.216',0.180,-,-,-,0.120,-,113.600,25.200
'6:59:00.224',0.220,-,-,-,0.120,-,115.200,25.200
'6:59:00.232',0.260,-,-,-,0.140,-,116.800,24.800
'6:59:00.240',0.260,-,-,-,0.160,-,118.400,24.800
'6:59:00.248',0.260,-,-,-,0.140,-,120.000,24.400
'6:59:00.256',0.240,-,-,-,0.120,-,120.800,23.600
'6:59:00.264',0.200,-,-,-,0.100,-,121.600,23.200
'6:59:00.272',0.160,-,-,-,0.080,-,121.600,22.800
'6:59:00.280',0.160,-,-,-,0.060,-,121.600,22.000
'6:59:00.288',0.120,-,-,-,0.040,-,120.800,21.600
'6:59:00.296',0.120,-,-,-,0.020,-,120.000,21.200
'6:59:00.304',0.080,-,-,-,0.000,-,119.200,20.400
'6:59:00.312',0.080,-,-,-,0.000,-,117.600,19.600
'6:59:00.320',0.080,-,-,-,0.000,-,115.200,19.200
'6:59:00.328',0.080,-,-,-,0.000,-,112.800,18.400
'6:59:00.336',0.120,-,-,-,0.000,-,109.600,18.000
'6:59:00.344',0.120,-,-,-,0.020,-,106.400,17.600
'6:59:00.352',0.120,-,-,-,0.000,-,103.200,16.800
'6:59:00.360',0.040,-,-,-,0.000,-,99.200,16.400
'6:59:00.368',0.000,-,-,-,0.000,-,96.000,16.000
'6:59:00.376',0.040,-,-,-,0.000,-,94.400,16.000
'6:59:00.384',-0.080,-,-,-,-0.040,-,92.800,16.000
'6:59:00.392',-0.200,-,-,-,-0.100,-,92.800,16.000
'6:59:00.400',-0.260,-,-,-,-0.100,-,93.600,16.000
'6:59:00.408',-0.280,-,-,-,-0.100,-,94.400,15.600
'6:59:00.416',-0.300,-,-,-,-0.120,-,95.200,15.600
