'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP','PAP'
'7:02:34.856',-0.160,-,-,-,0.000,-,99.200,14.000
'7:02:34.864',-0.160,-,-,-,0.000,-,97.600,14.000
'7:02:34.872',-0.160,-,-,-,0.000,-,97.600,14.000
'7:02:34.880',-0.140,-,-,-,0.000,-,97.600,14.000
'7:02:34.888',-0.160,-,-,-,0.000,-,98.400,14.000
'7:02:34.896',-0.140,-,-,-,0.000,-,98.400,14.000
'7:02:34.904',-0.140,-,-,-,0.000,-,99.200,14.400
'7:02:34.912',-0.140,-,-,-,0.000,-,98.400,14.400
'7:02:34.920',-0.120,-,-,-,0.000,-,97.600,14.400
'7:02:34.928',-0.100,-,-,-,0.020,-,96.800,14.800
'7:02:34.936',-0.060,-,-,-,0.040,-,96.000,14.800
'7:02:34.944',-0.040,-,-,-,0.040,-,95.200,15.200
'7:02:34.952',-0.040,-,-,-,0.040,-,94.400,15.200
'7:02:34.960',-0.040,-,-,-,0.040,-,93.600,15.200
'7:02:34.968',-0.020,-,-,-,0.060,-,92.800,15.200
'7:02:34.976',0.000,-,-,-,0.080,-,92.000,15.200
'7:02:34.984',0.040,-,-,-,0.080,-,91.200,15.200
'7:02:34.992',0.020,-,-,-,0.060,-,90.400,15.200
'7:02:35.000',0.000,-,-,-,0.080,-,89.600,14.800
'7:02:35.008',0.000,-,-,-,0.040,-,88.800,14.800
'7:02:35.016',-0.040,-,-,-,0.040,-,88.000,14.400
'7:02:35.024',-0.060,-,-,-,0.040,-,87.200,14.000
'7:02:35.032',-0.140,-,-,-,0.000,-,86.400,13.600
'7:02:35.040',-0.160,-,-,-,-0.020,-,86.400,13.200
'7:02:35.048',-0.180,-,-,-,0.000,-,85.600,12.800
'7:02:35.056',-0.220,-,-,-,-0.040,-,84.800,12.800
'7:02:35.064',-0.220,-,-,-,-0.040,-,84.000,12.400
'7:02:35.072',-0.220,-,-,-,-0.040,-,84.000,12.400
'7:02:35.080',-0.240,-,-,-,-0.040,-,83.200,12.000
'7:02:35.088',-0.220,-,-,-,-0.020,-,82.400,12.000
'7:02:35.096',-0.200,-,-,-,-0.020,-,82.400,11.600
'7:02:35.104',-0.200,-,-,-,-0.020,-,81.600,11.600
'7:02:35.112',-0.220,-,-,-,-0.040,-,80.800,11.600
'7:02:35.120',-0.160,-,-,-,-0.040,-,80.800,11.200
'7:02:35.128',0.000,-,-,-,0.080,-,80.000,11.200
'7:02:35.136',2.540,-,-,-,2.540,-,80.000,11.200
'7:02:35.144',0.000,-,-,-,2.540,-,79.200,11.200
'7:02:35.152',0.000,-,-,-,2.540,-,78.400,10.800
'7:02:35.160',0.000,-,-,-,2.540,-,78.400,10.800
'7:02:35.168',0.000,-,-,-,2.540,-,77.600,10.800
'7:02:35.176',0.000,-,-,-,2.540,-,77.600,11.200
'7:02:35.184',0.000,-,-,-,2.540,-,76.800,11.600
'7:02:35.192',0.000,-,-,-,2.480,-,76.000,11.600
'7:02:35.200',0.000,-,-,-,1.200,-,76.000,12.000
'7:02:35.208',0.000,-,-,-,0.400,-,75.200,12.000
'7:02:35.216',0.000,-,-,-,-0.100,-,75.200,12.000
'7:02:35.224',0.000,-,-,-,-0.440,-,74.400,12.400
'7:02:35.232',0.000,-,-,-,-0.680,-,74.400,13.200
'7:02:35.240',0.000,-,-,-,-0.840,-,73.600,13.600
'7:02:35.248',0.000,-,-,-,-0.960,-,73.600,14.400
'7:02:35.256',0.000,-,-,-,-1.060,-,72.800,15.200
'7:02:35.264',0.000,-,-,-,-1.100,-,72.800,16.000
'7:02:35.272',-,-,-,-,-1.140,-,72.800,17.200
'7:02:35.280',-,-,-,-,-1.180,-,72.800,18.400
'7:02:35.288',-,-,-,-,-1.180,-,74.400,19.600
'7:02:35.296',-,-,-,-,-1.200,-,76.800,20.800
'7:02:35.304',-,-,-,-,-1.180,-,80.800,22.000
'7:02:35.312',-,-,-,-,-1.200,-,86.400,22.800
'7:02:35.320',-,-,-,-,-1.180,-,92.800,23.600
'7:02:35.328',-,-,-,-,-1.160,-,99.200,24.000
'7:02:35.336',-,-,-,-,-1.140,-,104.800,24.000
'7:02:35.344',-,-,-,-,-1.100,-,108.800,24.400
'7:02:35.352',-,-,-,-,-1.100,-,111.200,24.400
'7:02:35.360',-1.480,-,-,-,-1.060,-,112.000,24.400
'7:02:35.368',0.000,-,-,-,-1.000,-,112.800,24.000
'7:02:35.376',0.000,-,-,-,-0.980,-,113.600,24.000
'7:02:35.384',0.000,-,-,-,-0.960,-,115.200,23.600
'7:02:35.392',0.000,-,-,-,-0.920,-,116.800,23.200
'7:02:35.400',0.000,-,-,-,-0.900,-,119.200,23.200
'7:02:35.408',0.000,-,-,-,-0.880,-,120.800,23.200
'7:02:35.416',0.000,-,-,-,-0.900,-,122.400,22.800
'7:02:35.424',0.000,-,-,-,-0.880,-,123.200,21.600
'7:02:35.432',0.000,-,-,-,-0.920,-,123.200,20.800
'7:02:35.440',0.000,-,-,-,-0.960,-,121.600,20.000
'7:02:35.448',0.000,-,-,-,-0.940,-,120.000,19.600
'7:02:35.456',0.000,-,-,-,-0.960,-,118.400,18.800
'7:02:35.464',0.000,-,-,-,-0.940,-,116.000,18.400
'7:02:35.472',0.000,-,-,-,-0.940,-,113.600,18.000
'7:02:35.480',0.000,-,-,-,-0.920,-,111.200,17.200
'7:02:35.488',0.000,-,-,-,-0.920,-,108.800,16.800
'7:02:35.496',-0.400,-,-,-,-0.880,-,105.600,16.400
'7:02:35.504',-0.360,-,-,-,-0.880,-,102.400,16.400
'7:02:35.512',-0.320,-,-,-,-0.860,-,99.200,16.000
'7:02:35.520',-0.320,-,-,-,-0.840,-,96.800,15.600
'7:02:35.528',-0.300,-,-,-,-0.840,-,95.200,15.200
'7:02:35.536',-0.260,-,-,-,-0.800,-,94.400,14.800
'7:02:35.544',-0.260,-,-,-,-0.780,-,94.400,14.400
'7:02:35.552',-0.260,-,-,-,-0.780,-,95.200,14.000
'7:02:35.560',-0.220,-,-,-,-0.760,-,96.000,13.600
'7:02:35.568',-0.220,-,-,-,-0.760,-,96.800,13.200
'7:02:35.576',-0.220,-,-,-,-0.740,-,96.000,13.200
'7:02:35.584',-0.200,-,-,-,-0.720,-,95.200,13.200
'7:02:35.592',-0.180,-,-,-,-0.700,-,94.400,13.600
'7:02:35.600',-0.160,-,-,-,-0.660,-,92.800,13.600
'7:02:35.608',-0.140,-,-,-,-0.660,-,91.200,14.000
'7:02:35.616',-0.140,-,-,-,-0.620,-,90.400,14.400
'7:02:35.624',-0.140,-,-,-,-0.620,-,89.600,14.400
'7:02:35.632',-0.140,-,-,-,-0.620,-,88.800,14.800
'7:02:35.640',-0.140,-,-,-,-0.600,-,88.800,14.800
'7:02:35.648',-0.100,-,-,-,-0.560,-,88.000,15.200
'7:02:35.656',-0.100,-,-,-,-0.540,-,88.000,15.200
'7:02:35.664',-0.120,-,-,-,-0.520,-,88.000,15.200
'7:02:35.672',-0.100,-,-,-,-0.540,-,88.000,15.200
'7:02:35.680',-0.140,-,-,-,-0.520,-,88.000,15.200
'7:02:35.688',-0.140,-,-,-,-0.540,-,87.200,15.200
'7:02:35.696',-0.140,-,-,-,-0.520,-,86.400,14.800
'7:02:35.704',-0.160,-,-,-,-0.540,-,85.600,14.400
'7:02:35.712',-0.140,-,-,-,-0.540,-,84.800,14.000
'7:02:35.720',-0.140,-,-,-,-0.520,-,84.000,14.000
'7:02:35.728',-0.140,-,-,-,-0.520,-,83.200,13.600
'7:02:35.736',-0.140,-,-,-,-0.520,-,83.200,13.600
'7:02:35.744',-0.140,-,-,-,-0.500,-,82.400,13.200
'7:02:35.752',-0.140,-,-,-,-0.480,-,81.600,12.800
'7:02:35.760',-0.140,-,-,-,-0.480,-,81.600,12.400
'7:02:35.768',-0.120,-,-,-,-0.440,-,80.800,12.000
'7:02:35.776',-0.100,-,-,-,-0.440,-,80.000,11.600
'7:02:35.784',-0.100,-,-,-,-0.440,-,79.200,10.800
'7:02:35.792',-0.060,-,-,-,-0.440,-,79.200,10.400
'7:02:35.800',0.000,-,-,-,-0.320,-,78.400,10.400
'7:02:35.808',0.160,-,-,-,0.000,-,77.600,10.000
'7:02:35.816',0.160,-,-,-,0.080,-,77.600,10.000
'7:02:35.824',-0.080,-,-,-,-0.220,-,76.800,10.400
'7:02:35.832',-0.100,-,-,-,-0.320,-,76.000,10.400
'7:02:35.840',-0.120,-,-,-,-0.340,-,76.000,10.800
'7:02:35.848',-0.100,-,-,-,-0.340,-,75.200,11.200
'7:02:35.856',-0.100,-,-,-,-0.360,-,75.200,11.600
'7:02:35.864',-0.100,-,-,-,-0.340,-,74.400,12.400
'7:02:35.872',-0.080,-,-,-,-0.320,-,74.400,12.800
'7:02:35.880',-0.060,-,-,-,-0.320,-,73.600,13.200
'7:02:35.888',-0.060,-,-,-,-0.320,-,72.800,13.600
'7:02:35.896',-0.080,-,-,-,-0.320,-,72.800,14.000
'7:02:35.904',-0.100,-,-,-,-0.320,-,72.800,14.800
'7:02:35.912',-0.100,-,-,-,-0.340,-,72.000,15.600
'7:02:35.920',-0.040,-,-,-,-0.320,-,72.000,16.400
'7:02:35.928',-0.040,-,-,-,-0.280,-,72.000,17.200
'7:02:35.936',-0.040,-,-,-,-0.280,-,72.000,18.000
'7:02:35.944',0.000,-,-,-,-0.260,-,72.000,18.800
'7:02:35.952',0.000,-,-,-,-0.240,-,72.800,19.600
'7:02:35.960',0.000,-,-,-,-0.240,-,74.400,20.400
'7:02:35.968',0.000,-,-,-,-0.220,-,76.800,21.200
'7:02:35.976',0.000,-,-,-,-0.200,-,80.800,22.000
'7:02:35.984',0.000,-,-,-,-0.180,-,86.400,22.400
'7:02:35.992',0.000,-,-,-,-0.180,-,92.800,22.800
'7:02:36.000',0.000,-,-,-,-0.160,-,99.200,23.200
'7:02:36.008',0.000,-,-,-,-0.140,-,104.000,23.200
'7:02:36.016',0.000,-,-,-,-0.140,-,108.000,23.200
'7:02:36.024',0.000,-,-,-,-0.100,-,109.600,23.200
'7:02:36.032',0.020,-,-,-,-0.080,-,110.400,23.200
'7:02:36.040',0.020,-,-,-,-0.060,-,110.400,23.200
'7:02:36.048',0.020,-,-,-,-0.040,-,111.200,23.200
'7:02:36.056',0.000,-,-,-,-0.020,-,112.000,23.200
'7:02:36.064',0.020,-,-,-,-0.020,-,114.400,23.200
'7:02:36.072',0.000,-,-,-,0.000,-,116.800,23.200
'7:02:36.080',0.000,-,-,-,0.000,-,119.200,23.200
'7:02:36.088',0.000,-,-,-,-0.040,-,120.800,22.800
'7:02:36.096',-0.040,-,-,-,-0.040,-,121.600,22.800
'7:02:36.104',-0.060,-,-,-,-0.080,-,122.400,22.400
'7:02:36.112',-0.100,-,-,-,-0.100,-,121.600,22.400
'7:02:36.120',-0.160,-,-,-,-0.140,-,120.800,22.000
'7:02:36.128',-0.180,-,-,-,-0.140,-,119.200,21.600
'7:02:36.136',-0.220,-,-,-,-0.160,-,116.800,21.600
'7:02:36.144',-0.260,-,-,-,-0.180,-,114.400,21.200
'7:02:36.152',-0.320,-,-,-,-0.200,-,112.000,20.800
'7:02:36.160',-0.340,-,-,-,-0.200,-,109.600,20.400
'7:02:36.168',-0.320,-,-,-,-0.180,-,106.400,20.000
'7:02:36.176',-0.260,-,-,-,-0.180,-,103.200,19.600
'7:02:36.184',-0.240,-,-,-,-0.160,-,100.000,19.200
'7:02:36.192',-0.220,-,-,-,-0.160,-,97.600,18.800
'7:02:36.200',-0.220,-,-,-,-0.160,-,96.000,18.800
'7:02:36.208',-0.220,-,-,-,-0.140,-,95.200,18.000
'7:02:36.216',-0.200,-,-,-,-0.140,-,95.200,17.600
'7:02:36.224',-0.200,-,-,-,-0.140,-,96.000,17.200
'7:02:36.232',-0.200,-,-,-,-0.140,-,96.800,16.400
'7:02:36.240',-0.200,-,-,-,-0.140,-,96.800,15.600
'7:02:36.248',-0.180,-,-,-,-0.140,-,96.800,15.200
'7:02:36.256',-0.180,-,-,-,-0.120,-,96.000,14.800
'7:02:36.264',-0.140,-,-,-,-0.100,-,94.400,14.400
'7:02:36.272',-0.120,-,-,-,-0.100,-,93.600,14.000
'7:02:36.280',-0.100,-,-,-,-0.080,-,92.000,14.000
'7:02:36.288',-0.080,-,-,-,-0.060,-,91.200,14.000
'7:02:36.296',-0.080,-,-,-,-0.060,-,89.600,14.000
'7:02:36.304',-0.060,-,-,-,-0.040,-,88.800,14.000
'7:02:36.312',-0.080,-,-,-,-0.040,-,88.800,14.000
'7:02:36.320',-0.100,-,-,-,-0.040,-,88.000,14.000
'7:02:36.328',-0.040,-,-,-,-0.020,-,87.200,14.000
'7:02:36.336',-0.100,-,-,-,-0.040,-,87.200,14.000
'7:02:36.344',-0.120,-,-,-,-0.040,-,86.400,14.000
'7:02:36.352',-0.140,-,-,-,-0.060,-,86.400,14.000
'7:02:36.360',-0.140,-,-,-,-0.060,-,85.600,14.000
'7:02:36.368',-0.140,-,-,-,-0.060,-,84.800,14.000
'7:02:36.376',-0.180,-,-,-,-0.100,-,84.800,14.000
'7:02:36.384',-0.200,-,-,-,-0.100,-,84.000,14.000
'7:02:36.392',-0.200,-,-,-,-0.100,-,83.200,14.000
'7:02:36.400',-0.220,-,-,-,-0.100,-,82.400,14.400
'7:02:36.408',-0.200,-,-,-,-0.100,-,82.400,14.400
'7:02:36.416',-0.220,-,-,-,-0.100,-,81.600,14.400
'7:02:36.424',-0.240,-,-,-,-0.100,-,81.600,14.400
'7:02:36.432',-0.220,-,-,-,-0.100,-,80.800,14.400
'7:02:36.440',-0.220,-,-,-,-0.100,-,80.800,14.000
'7:02:36.448',-0.200,-,-,-,-0.100,-,80.000,13.200
'7:02:36.456',-0.200,-,-,-,-0.100,-,79.200,12.800
'7:02:36.464',-0.160,-,-,-,-0.120,-,78.400,12.400
'7:02:36.472',-0.020,-,-,-,0.000,-,78.400,12.000
'7:02:36.480',0.300,-,-,-,0.280,-,77.600,12.000
'7:02:36.488',0.420,-,-,-,0.400,-,77.600,11.600
'7:02:36.496',0.040,-,-,-,0.080,-,77.600,11.200
'7:02:36.504',-0.080,-,-,-,-0.020,-,76.800,11.200
'7:02:36.512',-0.120,-,-,-,-0.040,-,76.000,11.200
'7:02:36.520',-0.140,-,-,-,-0.040,-,76.000,11.200
'7:02:36.528',-0.140,-,-,-,-0.060,-,75.200,12.000
'7:02:36.536',-0.140,-,-,-,-0.040,-,74.400,12.800
'7:02:36.544',-0.160,-,-,-,-0.060,-,74.400,13.200
'7:02:36.552',-0.160,-,-,-,-0.040,-,73.600,13.600
'7:02:36.560',-0.160,-,-,-,-0.060,-,73.600,13.600
'7:02:36.568',-0.140,-,-,-,-0.040,-,72.800,13.200
'7:02:36.576',-0.140,-,-,-,-0.060,-,72.800,13.600
'7:02:36.584',-0.140,-,-,-,-0.040,-,72.800,13.600
'7:02:36.592',-0.140,-,-,-,-0.040,-,72.000,14.400
'7:02:36.600',-0.140,-,-,-,-0.040,-,72.000,14.800
'7:02:36.608',-0.140,-,-,-,-0.040,-,72.000,16.000
'7:02:36.616',-0.120,-,-,-,-0.020,-,72.000,17.200
'7:02:36.624',-0.100,-,-,-,-0.040,-,72.800,18.800
'7:02:36.632',-0.100,-,-,-,-0.020,-,74.400,20.000
'7:02:36.640',-0.100,-,-,-,0.000,-,76.800,21.600
'7:02:36.648',-0.080,-,-,-,0.000,-,81.600,22.800
'7:02:36.656',-0.060,-,-,-,0.000,-,87.200,23.600
'7:02:36.664',-0.040,-,-,-,0.020,-,94.400,24.400
'7:02:36.672',-0.040,-,-,-,0.020,-,100.800,24.800
'7:02:36.680',0.000,-,-,-,0.040,-,105.600,25.200
'7:02:36.688',0.000,-,-,-,0.040,-,109.600,25.600
'7:02:36.696',0.040,-,-,-,0.080,-,111.200,25.600
'7:02:36.704',0.060,-,-,-,0.080,-,112.000,25.200
'7:02:36.712',0.080,-,-,-,0.120,-,112.000,25.200
'7:02:36.720',0.120,-,-,-,0.120,-,112.800,24.800
'7:02:36.728',0.120,-,-,-,0.140,-,114.400,24.400
'7:02:36.736',0.140,-,-,-,0.160,-,116.800,24.000
'7:02:36.744',0.160,-,-,-,0.160,-,119.200,23.600
'7:02:36.752',0.140,-,-,-,0.160,-,121.600,23.200
'7:02:36.760',0.120,-,-,-,0.120,-,123.200,22.400
'7:02:36.768',0.080,-,-,-,0.100,-,124.000,21.600
'7:02:36.776',0.020,-,-,-,0.060,-,124.000,20.800
'7:02:36.784',-0.020,-,-,-,0.040,-,123.200,20.400
'7:02:36.792',-0.040,-,-,-,0.000,-,122.400,19.600
'7:02:36.800',-0.080,-,-,-,0.000,-,120.800,18.800
'7:02:36.808',-0.100,-,-,-,0.000,-,119.200,18.400
'7:02:36.816',-0.100,-,-,-,0.000,-,116.800,18.000
'7:02:36.824',-0.100,-,-,-,-0.020,-,114.400,17.600
'7:02:36.832',-0.100,-,-,-,-0.020,-,111.200,17.600
'7:02:36.840',-0.100,-,-,-,-0.020,-,108.000,17.200
'7:02:36.848',-0.120,-,-,-,-0.020,-,104.800,17.200
'7:02:36.856',-0.100,-,-,-,-0.020,-,101.600,17.200
'7:02:36.864',-0.100,-,-,-,-0.020,-,98.400,17.600
'7:02:36.872',-0.100,-,-,-,0.000,-,96.000,17.600
'7:02:36.880',-0.100,-,-,-,0.000,-,94.400,17.600
'7:02:36.888',-0.100,-,-,-,0.000,-,93.600,17.600
'7:02:36.896',-0.100,-,-,-,0.000,-,93.600,17.600
'7:02:36.904',-0.100,-,-,-,0.000,-,95.200,17.600
'7:02:36.912',-0.100,-,-,-,0.000,-,96.000,17.200
'7:02:36.920',-0.100,-,-,-,0.000,-,96.000,17.200
'7:02:36.928',-0.080,-,-,-,0.000,-,96.800,17.200
'7:02:36.936',-0.060,-,-,-,0.000,-,96.000,17.200
'7:02:36.944',-0.040,-,-,-,0.020,-,95.200,17.200
'7:02:36.952',-0.020,-,-,-,0.040,-,94.400,17.200
'7:02:36.960',0.000,-,-,-,0.040,-,92.800,17.200
'7:02:36.968',-0.020,-,-,-,0.040,-,92.000,17.200
'7:02:36.976',-0.020,-,-,-,0.020,-,91.200,17.200
'7:02:36.984',0.000,-,-,-,0.040,-,90.400,16.800
'7:02:36.992',0.000,-,-,-,0.040,-,89.600,16.800
'7:02:37.000',0.020,-,-,-,0.060,-,89.600,16.400
'7:02:37.008',0.000,-,-,-,0.040,-,88.800,16.000
'7:02:37.016',0.000,-,-,-,0.040,-,88.000,15.600
'7:02:37.024',-0.040,-,-,-,0.020,-,87.200,15.600
'7:02:37.032',-0.060,-,-,-,0.000,-,86.400,15.200
'7:02:37.040',-0.080,-,-,-,0.000,-,85.600,14.800
'7:02:37.048',-0.140,-,-,-,-0.020,-,84.800,14.400
'7:02:37.056',-0.160,-,-,-,-0.040,-,84.000,14.400
'7:02:37.064',-0.180,-,-,-,-0.040,-,83.200,14.000
'7:02:37.072',-0.180,-,-,-,-0.040,-,82.400,13.600
'7:02:37.080',-0.180,-,-,-,-0.040,-,81.600,13.600
'7:02:37.088',-0.180,-,-,-,-0.040,-,80.800,13.600
'7:02:37.096',-0.160,-,-,-,-0.020,-,80.800,13.200
'7:02:37.104',-0.180,-,-,-,-0.040,-,80.000,13.200
'7:02:37.112',-0.160,-,-,-,-0.020,-,79.200,13.200
'7:02:37.120',-0.180,-,-,-,-0.040,-,79.200,13.600
'7:02:37.128',-0.180,-,-,-,-0.040,-,79.200,13.600
'7:02:37.136',-0.140,-,-,-,-0.040,-,78.400,14.000
'7:02:37.144',-0.020,-,-,-,0.040,-,78.400,14.400
'7:02:37.152',0.300,-,-,-,0.300,-,77.600,14.800
'7:02:37.160',0.480,-,-,-,0.480,-,77.600,14.800
'7:02:37.168',0.080,-,-,-,0.160,-,76.800,14.800
'7:02:37.176',-0.040,-,-,-,0.020,-,76.800,14.800
'7:02:37.184',-0.100,-,-,-,0.000,-,76.000,14.400
'7:02:37.192',-0.140,-,-,-,-0.020,-,75.200,14.400
'7:02:37.200',-0.140,-,-,-,0.000,-,75.200,14.400
'7:02:37.208',-0.140,-,-,-,-0.040,-,74.400,14.400
'7:02:37.216',-0.140,-,-,-,-0.020,-,74.400,14.400
'7:02:37.224',-0.140,-,-,-,-0.020,-,73.600,14.000
'7:02:37.232',-0.140,-,-,-,-0.020,-,73.600,13.200
'7:02:37.240',-0.120,-,-,-,-0.020,-,72.800,12.800
'7:02:37.248',-0.120,-,-,-,-0.020,-,72.800,12.400
'7:02:37.256',-0.100,-,-,-,0.000,-,72.000,11.600
'7:02:37.264',-0.100,-,-,-,0.000,-,72.000,11.600
'7:02:37.272',-0.100,-,-,-,0.000,-,72.000,11.200
'7:02:37.280',-0.100,-,-,-,0.000,-,72.000,11.600
'7:02:37.288',-0.100,-,-,-,0.000,-,71.200,12.400
'7:02:37.296',-0.100,-,-,-,0.000,-,72.000,13.600
'7:02:37.304',-0.100,-,-,-,0.000,-,72.800,15.200
'7:02:37.312',-0.080,-,-,-,0.020,-,75.200,16.800
'7:02:37.320',-0.080,-,-,-,0.020,-,80.000,18.800
'7:02:37.328',-0.060,-,-,-,0.040,-,85.600,20.400
'7:02:37.336',-0.040,-,-,-,0.040,-,92.000,22.000
'7:02:37.344',-0.040,-,-,-,0.040,-,98.400,23.600
'7:02:37.352',-0.020,-,-,-,0.060,-,104.000,24.800
'7:02:37.360',0.000,-,-,-,0.080,-,108.000,25.600
'7:02:37.368',0.020,-,-,-,0.080,-,109.600,26.400
'7:02:37.376',0.040,-,-,-,0.120,-,110.400,26.800
