'Elapsed time','II','AVF','V','MCL1','ABP','PAP'
'166:17:02.240',-,-0.138,-,-0.543,-,-
'166:17:02.248',-,0.000,-,-0.446,-,-
'166:17:02.256',-,-0.069,-,-0.446,-,-
'166:17:02.264',-,-0.138,-,-0.359,-,-
'166:17:02.272',-,-0.138,-,-0.359,-,-
'166:17:02.280',-,-0.138,-,-0.272,-,-
'166:17:02.288',-,0.000,-,-0.272,-,-
'166:17:02.296',-,0.000,-,-0.174,-,-
'166:17:02.304',-,0.000,-,-0.272,-,-
'166:17:02.312',-,0.000,-,-0.174,-,-
'166:17:02.320',-,0.000,-,-0.174,-,-
'166:17:02.328',-,0.000,-,-0.174,-,-
'166:17:02.336',-,0.000,-,-0.174,-,-
'166:17:02.344',-,0.000,-,-0.174,-,-
'166:17:02.352',-,0.000,-,-0.174,-,-
'166:17:02.360',-,0.069,-,-0.174,-,-
'166:17:02.368',-,0.000,-,-0.174,-,-
'166:17:02.376',-,0.000,-,-0.174,-,-
'166:17:02.384',-,0.000,-,-0.174,-,-
'166:17:02.392',-,0.000,-,-0.174,-,-
'166:17:02.400',-,0.000,-,-0.174,-,-
'166:17:02.408',-,0.000,-,-0.174,-,-
'166:17:02.416',-,0.000,-,-0.174,-,-
'166:17:02.424',-,0.000,-,-0.174,-,-
'166:17:02.432',-,0.000,-,-0.174,-,-
'166:17:02.440',-,0.000,-,-0.174,-,-
'166:17:02.448',-,0.000,-,-0.174,-,-
'166:17:02.456',-,0.000,-,-0.174,-,-
'166:17:02.464',-,0.000,-,-0.174,-,-
'166:17:02.472',-,0.000,-,-0.174,-,-
'166:17:02.480',-,0.000,-,-0.174,-,-
'166:17:02.488',-,0.000,-,-0.174,-,-
'166:17:02.496',-,0.000,-,-0.174,-,-
'166:17:02.504',-,0.000,-,-0.272,-,-
'166:17:02.512',-,-0.069,-,-0.174,-,-
'166:17:02.520',-,-0.138,-,-0.272,-,-
'166:17:02.528',-,-0.138,-,-0.174,-,-
'166:17:02.536',-,-0.138,-,-0.174,-,-
'166:17:02.544',-,-0.138,-,-0.174,-,-
'166:17:02.552',-,-0.207,-,-0.174,-,-
'166:17:02.560',-,-0.207,-,-0.174,-,-
'166:17:02.568',-,-0.207,-,-0.174,-,-
'166:17:02.576',-,-0.207,-,-0.174,-,-
'166:17:02.584',-,-0.207,-,-0.174,-,-
'166:17:02.592',-,-0.207,-,-0.174,-,-
'166:17:02.600',-,-0.207,-,-0.174,-,-
'166:17:02.608',-,-0.138,-,-0.174,-,-
'166:17:02.616',-,-0.138,-,-0.174,-,-
'166:17:02.624',-,-0.138,-,-0.174,-,-
'166:17:02.632',-,-0.138,-,-0.174,-,-
'166:17:02.640',-,-0.138,-,-0.174,-,-
'166:17:02.648',-,-0.069,-,-0.174,-,-
'166:17:02.656',-,0.000,-,-0.174,-,-
'166:17:02.664',-,-0.069,-,-0.174,-,-
'166:17:02.672',-,-0.069,-,-0.174,-,-
'166:17:02.680',-,-0.138,-,-0.174,-,-
'166:17:02.688',-,-0.138,-,-0.174,-,-
'166:17:02.696',-,-0.138,-,-0.087,-,-
'166:17:02.704',-,-0.138,-,-0.174,-,-
'166:17:02.712',-,-0.138,-,-0.087,-,-
'166:17:02.720',-,-0.138,-,-0.087,-,-
'166:17:02.728',-,-0.138,-,-0.174,-,-
'166:17:02.736',-,-0.138,-,-0.087,-,-
'166:17:02.744',-,-0.138,-,-0.087,-,-
'166:17:02.752',-,-0.138,-,-0.087,-,-
'166:17:02.760',-,-0.138,-,-0.087,-,-
'166:17:02.768',-,-0.138,-,-0.087,-,-
'166:17:02.776',-,-0.138,-,-0.087,-,-
'166:17:02.784',-,-0.069,-,-0.087,-,-
'166:17:02.792',-,0.000,-,-0.174,-,-
'166:17:02.800',-,0.000,-,-0.446,-,-
'166:17:02.808',-,0.000,-,-0.543,-,-
'166:17:02.816',-,-0.138,-,-0.630,-,-
'166:17:02.824',-,-0.276,-,-0.717,-,-
'166:17:02.832',-,-0.276,-,-0.630,-,-
'166:17:02.840',-,-0.356,-,-0.446,-,-
'166:17:02.848',-,-0.138,-,-0.174,-,-
'166:17:02.856',-,-0.138,-,-0.174,-,-
'166:17:02.864',-,-0.207,-,-0.087,-,-
'166:17:02.872',-,-0.356,-,-0.174,-,-
'166:17:02.880',-,-0.356,-,-0.087,-,-
'166:17:02.888',-,-0.207,-,0.000,-,-
'166:17:02.896',-,-0.138,-,0.000,-,-
'166:17:02.904',-,-0.138,-,0.000,-,-
'166:17:02.912',-,-0.138,-,0.000,-,-
'166:17:02.920',-,-0.069,-,0.000,-,-
'166:17:02.928',-,-0.069,-,0.000,-,-
'166:17:02.936',-,-0.069,-,0.000,-,-
'166:17:02.944',-,-0.069,-,0.000,-,-
'166:17:02.952',-,-0.069,-,0.000,-,-
'166:17:02.960',-,0.000,-,0.000,-,-
'166:17:02.968',-,-0.069,-,0.000,-,-
'166:17:02.976',-,0.000,-,0.000,-,-
'166:17:02.984',-,0.000,-,0.000,-,-
'166:17:02.992',-,0.000,-,0.000,-,-
'166:17:03.000',-,-0.069,-,0.000,-,-
'166:17:03.008',-,0.000,-,0.000,-,-
'166:17:03.016',-,0.000,-,0.000,-,-
'166:17:03.024',-,0.000,-,-0.087,-,-
'166:17:03.032',-,0.000,-,0.000,-,-
'166:17:03.040',-,0.000,-,0.000,-,-
'166:17:03.048',-,0.000,-,-0.087,-,-
'166:17:03.056',-,0.000,-,-0.087,-,-
'166:17:03.064',-,0.000,-,0.000,-,-
'166:17:03.072',-,0.000,-,-0.087,-,-
'166:17:03.080',-,0.000,-,0.000,-,-
'166:17:03.088',-,0.000,-,-0.087,-,-
'166:17:03.096',-,0.000,-,0.000,-,-
'166:17:03.104',-,0.000,-,-0.087,-,-
'166:17:03.112',-,0.000,-,0.000,-,-
'166:17:03.120',-,0.000,-,0.000,-,-
'166:17:03.128',-,0.000,-,0.000,-,-
'166:17:03.136',-,-0.069,-,0.000,-,-
'166:17:03.144',-,-0.138,-,0.000,-,-
'166:17:03.152',-,-0.138,-,0.000,-,-
'166:17:03.160',-,-0.138,-,0.000,-,-
'166:17:03.168',-,-0.138,-,0.000,-,-
'166:17:03.176',-,-0.138,-,0.000,-,-
'166:17:03.184',-,-0.138,-,0.000,-,-
'166:17:03.192',-,-0.138,-,0.000,-,-
'166:17:03.200',-,-0.138,-,0.087,-,-
'166:17:03.208',-,-0.138,-,0.087,-,-
'166:17:03.216',-,-0.069,-,0.087,-,-
'166:17:03.224',-,-0.138,-,0.087,-,-
'166:17:03.232',-,-0.069,-,0.087,-,-
'166:17:03.240',-,-0.069,-,0.087,-,-
'166:17:03.248',-,0.000,-,0.087,-,-
'166:17:03.256',-,0.000,-,0.000,-,-
'166:17:03.264',-,0.000,-,0.087,-,-
'166:17:03.272',-,-0.069,-,0.087,-,-
'166:17:03.280',-,-0.069,-,0.087,-,-
'166:17:03.288',-,-0.138,-,0.087,-,-
'166:17:03.296',-,-0.138,-,0.174,-,-
'166:17:03.304',-,-0.138,-,0.174,-,-
'166:17:03.312',-,-0.207,-,0.174,-,-
'166:17:03.320',-,-0.207,-,0.174,-,-
'166:17:03.328',-,-0.207,-,0.174,-,-
'166:17:03.336',-,-0.207,-,0.174,-,-
'166:17:03.344',-,-0.276,-,0.174,-,-
'166:17:03.352',-,-0.207,-,0.174,-,-
'166:17:03.360',-,-0.276,-,0.174,-,-
'166:17:03.368',-,-0.276,-,0.174,-,-
'166:17:03.376',-,-0.207,-,0.087,-,-
'166:17:03.384',-,-0.138,-,0.000,-,-
'166:17:03.392',-,0.000,-,0.000,-,-
'166:17:03.400',-,0.276,-,0.000,-,-
'166:17:03.408',-,0.425,-,0.174,-,-
'166:17:03.416',-,0.494,-,0.272,-,-
'166:17:03.424',-,0.276,-,0.359,-,-
'166:17:03.432',-,-0.138,-,0.272,-,-
'166:17:03.440',-,-0.356,-,0.174,-,-
'166:17:03.448',-,-0.356,-,0.174,-,-
'166:17:03.456',-,-0.356,-,0.174,-,-
'166:17:03.464',-,-0.425,-,0.174,-,-
'166:17:03.472',-,-0.356,-,0.174,-,-
'166:17:03.480',-,-0.356,-,0.174,-,-
'166:17:03.488',-,-0.356,-,0.174,-,-
'166:17:03.496',-,-0.356,-,0.087,-,-
'166:17:03.504',-,-0.356,-,0.174,-,-
'166:17:03.512',-,-0.356,-,0.087,-,-
'166:17:03.520',-,-0.356,-,0.087,-,-
'166:17:03.528',-,-0.356,-,0.087,-,-
'166:17:03.536',-,-0.356,-,0.000,-,-
'166:17:03.544',-,-0.356,-,0.087,-,-
'166:17:03.552',-,-0.356,-,0.000,-,-
'166:17:03.560',-,-0.356,-,0.000,-,-
'166:17:03.568',-,-0.425,-,0.000,-,-
'166:17:03.576',-,-0.494,-,0.000,-,-
'166:17:03.584',-,-0.425,-,0.000,-,-
'166:17:03.592',-,-0.494,-,0.000,-,-
'166:17:03.600',-,-0.425,-,0.000,-,-
'166:17:03.608',-,-0.494,-,0.000,-,-
'166:17:03.616',-,-0.494,-,0.000,-,-
'166:17:03.624',-,-0.494,-,0.000,-,-
'166:17:03.632',-,-0.494,-,-0.087,-,-
'166:17:03.640',-,-0.494,-,-0.087,-,-
'166:17:03.648',-,-0.494,-,-0.087,-,-
'166:17:03.656',-,-0.494,-,-0.087,-,-
'166:17:03.664',-,-0.494,-,-0.087,-,-
'166:17:03.672',-,-0.494,-,-0.087,-,-
'166:17:03.680',-,-0.494,-,0.000,-,-
'166:17:03.688',-,-0.425,-,0.000,-,-
'166:17:03.696',-,-0.425,-,0.000,-,-
'166:17:03.704',-,-0.356,-,0.000,-,-
'166:17:03.712',-,-0.356,-,0.000,-,-
'166:17:03.720',-,-0.276,-,0.000,-,-
'166:17:03.728',-,-0.276,-,0.000,-,-
'166:17:03.736',-,-0.276,-,0.000,-,-
'166:17:03.744',-,-0.276,-,0.000,-,-
'166:17:03.752',-,-0.276,-,0.000,-,-
'166:17:03.760',-,-0.276,-,0.000,-,-
'166:17:03.768',-,-0.276,-,0.000,-,-
'166:17:03.776',-,-0.276,-,0.000,-,-
'166:17:03.784',-,-0.276,-,0.000,-,-
'166:17:03.792',-,-0.276,-,0.000,-,-
'166:17:03.800',-,-0.207,-,0.000,-,-
'166:17:03.808',-,-0.207,-,0.000,-,-
'166:17:03.816',-,-0.207,-,0.000,-,-
'166:17:03.824',-,-0.138,-,0.000,-,-
'166:17:03.832',-,-0.207,-,0.000,-,-
'166:17:03.840',-,-0.138,-,0.000,-,-
'166:17:03.848',-,-0.138,-,0.000,-,-
'166:17:03.856',-,-0.138,-,0.000,-,-
'166:17:03.864',-,-0.138,-,0.000,-,-
'166:17:03.872',-,-0.138,-,0.000,-,-
'166:17:03.880',-,-0.138,-,0.000,-,-
'166:17:03.888',-,-0.138,-,0.000,-,-
'166:17:03.896',-,-0.138,-,0.000,-,-
'166:17:03.904',-,-0.207,-,0.000,-,-
'166:17:03.912',-,-0.207,-,0.000,-,-
'166:17:03.920',-,-0.276,-,0.000,-,-
'166:17:03.928',-,-0.276,-,0.000,-,-
'166:17:03.936',-,-0.207,-,0.000,-,-
'166:17:03.944',-,-0.276,-,0.000,-,-
'166:17:03.952',-,-0.276,-,0.000,-,-
'166:17:03.960',-,-0.276,-,0.000,-,-
'166:17:03.968',-,-0.207,-,0.000,-,-
'166:17:03.976',-,-0.276,-,0.000,-,-
'166:17:03.984',-,-0.207,-,0.000,-,-
'166:17:03.992',-,-0.138,-,0.000,-,-
'166:17:04.000',-,0.000,-,-0.087,-,-
'166:17:04.008',-,0.000,-,-0.272,-,-
'166:17:04.016',-,-0.138,-,-0.446,-,-
'166:17:04.024',-,-0.276,-,-0.630,-,-
'166:17:04.032',-,-0.356,-,-0.630,-,-
'166:17:04.040',-,-0.356,-,-0.630,-,-
'166:17:04.048',-,-0.356,-,-0.359,-,-
'166:17:04.056',-,-0.138,-,-0.174,-,-
'166:17:04.064',-,-0.207,-,-0.174,-,-
'166:17:04.072',-,-0.276,-,-0.087,-,-
'166:17:04.080',-,-0.356,-,-0.174,-,-
'166:17:04.088',-,-0.356,-,-0.087,-,-
'166:17:04.096',-,-0.276,-,0.000,-,-
'166:17:04.104',-,-0.276,-,0.000,-,-
'166:17:04.112',-,-0.207,-,0.000,-,-
'166:17:04.120',-,-0.138,-,0.000,-,-
'166:17:04.128',-,-0.138,-,0.000,-,-
'166:17:04.136',-,-0.138,-,0.000,-,-
'166:17:04.144',-,-0.138,-,0.000,-,-
'166:17:04.152',-,-0.138,-,0.000,-,-
'166:17:04.160',-,-0.138,-,-0.087,-,-
'166:17:04.168',-,-0.138,-,0.000,-,-
'166:17:04.176',-,-0.138,-,0.000,-,-
'166:17:04.184',-,-0.138,-,0.000,-,-
'166:17:04.192',-,-0.138,-,-0.087,-,-
'166:17:04.200',-,-0.069,-,0.000,-,-
'166:17:04.208',-,-0.138,-,0.000,-,-
'166:17:04.216',-,-0.069,-,0.000,-,-
'166:17:04.224',-,0.000,-,0.000,-,-
'166:17:04.232',-,0.000,-,0.000,-,-
'166:17:04.240',-,0.000,-,0.000,-,-
'166:17:04.248',-,0.000,-,0.000,-,-
'166:17:04.256',-,0.000,-,0.000,-,-
'166:17:04.264',-,0.000,-,0.000,-,-
'166:17:04.272',-,0.000,-,0.000,-,-
'166:17:04.280',-,0.000,-,0.000,-,-
'166:17:04.288',-,0.000,-,-0.087,-,-
'166:17:04.296',-,0.000,-,0.000,-,-
'166:17:04.304',-,0.000,-,-0.087,-,-
'166:17:04.312',-,0.000,-,-0.087,-,-
'166:17:04.320',-,0.000,-,-0.087,-,-
'166:17:04.328',-,0.000,-,-0.087,-,-
'166:17:04.336',-,0.000,-,-0.087,-,-
'166:17:04.344',-,0.000,-,-0.087,-,-
'166:17:04.352',-,0.000,-,-0.087,-,-
'166:17:04.360',-,0.000,-,-0.087,-,-
'166:17:04.368',-,0.000,-,-0.087,-,-
'166:17:04.376',-,-0.069,-,-0.087,-,-
'166:17:04.384',-,-0.069,-,0.000,-,-
'166:17:04.392',-,-0.069,-,-0.087,-,-
'166:17:04.400',-,-0.069,-,-0.087,-,-
'166:17:04.408',-,-0.069,-,0.000,-,-
'166:17:04.416',-,-0.069,-,-0.087,-,-
'166:17:04.424',-,0.000,-,-0.087,-,-
'166:17:04.432',-,0.000,-,-0.087,-,-
'166:17:04.440',-,-0.069,-,-0.087,-,-
'166:17:04.448',-,0.000,-,0.000,-,-
'166:17:04.456',-,0.000,-,-0.087,-,-
'166:17:04.464',-,0.000,-,-0.087,-,-
'166:17:04.472',-,0.000,-,-0.174,-,-
'166:17:04.480',-,0.000,-,-0.087,-,-
'166:17:04.488',-,0.000,-,-0.087,-,-
'166:17:04.496',-,-0.069,-,-0.087,-,-
'166:17:04.504',-,-0.069,-,-0.087,-,-
'166:17:04.512',-,-0.138,-,-0.174,-,-
'166:17:04.520',-,-0.138,-,-0.174,-,-
'166:17:04.528',-,-0.138,-,-0.359,-,-
'166:17:04.536',-,-0.138,-,-0.446,-,-
'166:17:04.544',-,0.000,-,-0.174,-,-
'166:17:04.552',-,0.276,-,0.087,-,-
'166:17:04.560',-,0.563,-,0.359,-,-
'166:17:04.568',-,0.782,-,0.543,-,-
'166:17:04.576',-,0.920,-,0.717,-,-
'166:17:04.584',-,0.563,-,0.902,-,-
'166:17:04.592',-,0.276,-,0.902,-,-
'166:17:04.600',-,-0.069,-,0.989,-,-
'166:17:04.608',-,-0.356,-,0.630,-,-
'166:17:04.616',-,-0.563,-,0.174,-,-
'166:17:04.624',-,-0.563,-,-0.087,-,-
'166:17:04.632',-,-0.563,-,-0.359,-,-
'166:17:04.640',-,-0.494,-,-0.446,-,-
'166:17:04.648',-,-0.494,-,-0.446,-,-
'166:17:04.656',-,-0.494,-,-0.359,-,-
'166:17:04.664',-,-0.494,-,-0.446,-,-
'166:17:04.672',-,-0.494,-,-0.446,-,-
'166:17:04.680',-,-0.494,-,-0.446,-,-
'166:17:04.688',-,-0.494,-,-0.446,-,-
'166:17:04.696',-,-0.494,-,-0.446,-,-
'166:17:04.704',-,-0.494,-,-0.446,-,-
'166:17:04.712',-,-0.494,-,-0.446,-,-
'166:17:04.720',-,-0.494,-,-0.446,-,-
'166:17:04.728',-,-0.494,-,-0.446,-,-
'166:17:04.736',-,-0.563,-,-0.446,-,-
'166:17:04.744',-,-0.563,-,-0.446,-,-
'166:17:04.752',-,-0.632,-,-0.543,-,-
'166:17:04.760',-,-0.632,-,-0.630,-,-
'166:17:04.768',-,-0.632,-,-0.630,-,-
'166:17:04.776',-,-0.632,-,-0.717,-,-
'166:17:04.784',-,-0.713,-,-0.815,-,-
'166:17:04.792',-,-0.713,-,-0.815,-,-
'166:17:04.800',-,-0.713,-,-0.815,-,-
'166:17:04.808',-,-0.632,-,-0.815,-,-
'166:17:04.816',-,-0.632,-,-0.902,-,-
'166:17:04.824',-,-0.632,-,-0.815,-,-
'166:17:04.832',-,-0.563,-,-0.815,-,-
'166:17:04.840',-,-0.494,-,-0.815,-,-
'166:17:04.848',-,-0.494,-,-0.717,-,-
'166:17:04.856',-,-0.425,-,-0.630,-,-
'166:17:04.864',-,-0.356,-,-0.543,-,-
'166:17:04.872',-,-0.356,-,-0.446,-,-
'166:17:04.880',-,-0.276,-,-0.446,-,-
'166:17:04.888',-,-0.276,-,-0.446,-,-
'166:17:04.896',-,-0.207,-,-0.359,-,-
'166:17:04.904',-,-0.207,-,-0.272,-,-
'166:17:04.912',-,-0.207,-,-0.174,-,-
'166:17:04.920',-,-0.207,-,-0.174,-,-
'166:17:04.928',-,-0.276,-,-0.174,-,-
'166:17:04.936',-,-0.207,-,-0.174,-,-
'166:17:04.944',-,-0.207,-,-0.174,-,-
'166:17:04.952',-,-0.276,-,-0.174,-,-
'166:17:04.960',-,-0.207,-,-0.174,-,-
'166:17:04.968',-,-0.276,-,-0.174,-,-
'166:17:04.976',-,-0.276,-,-0.174,-,-
'166:17:04.984',-,-0.207,-,-0.174,-,-
'166:17:04.992',-,-0.276,-,-0.174,-,-
'166:17:05.000',-,-0.276,-,-0.087,-,-
'166:17:05.008',-,-0.207,-,-0.174,-,-
'166:17:05.016',-,-0.207,-,-0.087,-,-
'166:17:05.024',-,-0.207,-,-0.087,-,-
'166:17:05.032',-,-0.138,-,-0.087,-,-
'166:17:05.040',-,-0.138,-,-0.174,-,-
'166:17:05.048',-,-0.138,-,-0.087,-,-
'166:17:05.056',-,-0.138,-,0.000,-,-
'166:17:05.064',-,-0.069,-,-0.087,-,-
'166:17:05.072',-,0.000,-,-0.174,-,-
'166:17:05.080',-,0.000,-,-0.087,-,-
'166:17:05.088',-,-0.138,-,-0.174,-,-
'166:17:05.096',-,-0.138,-,-0.087,-,-
'166:17:05.104',-,-0.138,-,-0.174,-,-
'166:17:05.112',-,-0.138,-,-0.174,-,-
'166:17:05.120',-,-0.138,-,-0.174,-,-
'166:17:05.128',-,-0.138,-,-0.174,-,-
'166:17:05.136',-,-0.138,-,-0.087,-,-
'166:17:05.144',-,-0.138,-,-0.174,-,-
'166:17:05.152',-,-0.138,-,-0.174,-,-
'166:17:05.160',-,-0.138,-,-0.087,-,-
'166:17:05.168',-,-0.138,-,-0.174,-,-
'166:17:05.176',-,-0.138,-,-0.087,-,-
'166:17:05.184',-,-0.138,-,0.000,-,-
'166:17:05.192',-,-0.069,-,-0.087,-,-
'166:17:05.200',-,0.000,-,0.000,-,-
'166:17:05.208',-,0.000,-,0.000,-,-
'166:17:05.216',-,0.138,-,-0.174,-,-
'166:17:05.224',-,0.069,-,-0.272,-,-
'166:17:05.232',-,-0.069,-,-0.359,-,-
'166:17:05.240',-,-0.138,-,-0.446,-,-
'166:17:05.248',-,-0.207,-,-0.272,-,-
'166:17:05.256',-,-0.276,-,-0.087,-,-
'166:17:05.264',-,-0.138,-,0.000,-,-
'166:17:05.272',-,-0.138,-,0.087,-,-
'166:17:05.280',-,-0.207,-,0.174,-,-
'166:17:05.288',-,-0.276,-,0.174,-,-
'166:17:05.296',-,-0.276,-,0.272,-,-
'166:17:05.304',-,-0.207,-,0.359,-,-
'166:17:05.312',-,-0.138,-,0.446,-,-
'166:17:05.320',-,-0.138,-,0.446,-,-
'166:17:05.328',-,-0.138,-,0.543,-,-
'166:17:05.336',-,-0.069,-,0.543,-,-
'166:17:05.344',-,-0.069,-,0.630,-,-
'166:17:05.352',-,-0.138,-,0.630,-,-
'166:17:05.360',-,-0.069,-,0.717,-,-
'166:17:05.368',-,-0.069,-,0.717,-,-
'166:17:05.376',-,0.000,-,0.717,-,-
'166:17:05.384',-,-0.069,-,0.815,-,-
'166:17:05.392',-,0.000,-,0.815,-,-
'166:17:05.400',-,-0.069,-,0.902,-,-
'166:17:05.408',-,0.000,-,0.989,-,-
'166:17:05.416',-,0.000,-,0.989,-,-
'166:17:05.424',-,0.000,-,0.989,-,-
'166:17:05.432',-,0.000,-,0.989,-,-
'166:17:05.440',-,0.000,-,0.989,-,-
'166:17:05.448',-,0.000,-,1.087,-,-
'166:17:05.456',-,0.000,-,0.989,-,-
'166:17:05.464',-,0.000,-,1.087,-,-
'166:17:05.472',-,0.069,-,1.087,-,-
'166:17:05.480',-,0.069,-,1.174,-,-
'166:17:05.488',-,0.069,-,1.272,-,-
'166:17:05.496',-,0.069,-,1.174,-,-
'166:17:05.504',-,0.069,-,1.272,-,-
'166:17:05.512',-,0.069,-,1.272,-,-
'166:17:05.520',-,0.000,-,1.272,-,-
'166:17:05.528',-,0.000,-,1.272,-,-
'166:17:05.536',-,0.000,-,1.174,-,-
'166:17:05.544',-,0.000,-,1.272,-,-
'166:17:05.552',-,0.000,-,1.174,-,-
'166:17:05.560',-,0.000,-,1.174,-,-
'166:17:05.568',-,-0.069,-,1.174,-,-
'166:17:05.576',-,-0.138,-,1.174,-,-
'166:17:05.584',-,-0.138,-,1.174,-,-
'166:17:05.592',-,-0.138,-,1.174,-,-
'166:17:05.600',-,-0.069,-,1.174,-,-
'166:17:05.608',-,-0.069,-,1.174,-,-
'166:17:05.616',-,-0.069,-,1.174,-,-
'166:17:05.624',-,-0.069,-,1.174,-,-
'166:17:05.632',-,0.000,-,1.174,-,-
'166:17:05.640',-,0.000,-,1.174,-,-
'166:17:05.648',-,0.000,-,1.272,-,-
'166:17:05.656',-,0.000,-,1.272,-,-
'166:17:05.664',-,0.000,-,1.174,-,-
'166:17:05.672',-,0.000,-,1.174,-,-
'166:17:05.680',-,0.000,-,1.174,-,-
'166:17:05.688',-,0.000,-,1.174,-,-
'166:17:05.696',-,0.000,-,1.174,-,-
'166:17:05.704',-,0.000,-,1.174,-,-
'166:17:05.712',-,0.000,-,1.174,-,-
'166:17:05.720',-,-0.069,-,1.174,-,-
'166:17:05.728',-,-0.069,-,1.174,-,-
'166:17:05.736',-,-0.069,-,1.087,-,-
'166:17:05.744',-,-0.069,-,1.174,-,-
'166:17:05.752',-,0.000,-,0.989,-,-
'166:17:05.760',-,0.000,-,0.902,-,-
'166:17:05.768',-,0.138,-,0.902,-,-
'166:17:05.776',-,0.276,-,1.174,-,-
'166:17:05.784',-,0.563,-,1.543,-,-
'166:17:05.792',-,0.851,-,1.717,-,-
'166:17:05.800',-,1.069,-,1.902,-,-
'166:17:05.808',-,0.851,-,2.087,-,-
'166:17:05.816',-,0.425,-,1.902,-,-
'166:17:05.824',-,0.000,-,1.717,-,-
'166:17:05.832',-,-0.356,-,1.543,-,-
'166:17:05.840',-,-0.425,-,1.174,-,-
'166:17:05.848',-,-0.425,-,0.989,-,-
'166:17:05.856',-,-0.276,-,0.902,-,-
'166:17:05.864',-,-0.207,-,0.815,-,-
'166:17:05.872',-,-0.138,-,0.815,-,-
'166:17:05.880',-,-0.138,-,0.815,-,-
'166:17:05.888',-,-0.138,-,0.717,-,-
'166:17:05.896',-,-0.138,-,0.717,-,-
'166:17:05.904',-,-0.138,-,0.717,-,-
'166:17:05.912',-,-0.138,-,0.717,-,-
'166:17:05.920',-,-0.138,-,0.717,-,-
'166:17:05.928',-,-0.138,-,0.717,-,-
'166:17:05.936',-,-0.138,-,0.630,-,-
