'Elapsed time','I','II','AVF','V','ABP','PAP'
'25:20:15.472',-0.061,-,-,-0.060,112.000,-
'25:20:15.480',-0.061,-,-,-0.060,108.800,-
'25:20:15.488',-0.061,-,-,-0.080,104.800,-
'25:20:15.496',-0.061,-,-,-0.080,101.600,-
'25:20:15.504',-0.061,-,-,-0.060,97.600,-
'25:20:15.512',-0.061,-,-,-0.080,93.600,-
'25:20:15.520',-0.061,-,-,-0.080,89.600,-
'25:20:15.528',-0.061,-,-,-0.080,87.200,-
'25:20:15.536',-0.061,-,-,-0.080,84.800,-
'25:20:15.544',-0.061,-,-,-0.080,83.200,-
'25:20:15.552',-0.061,-,-,-0.080,82.400,-
'25:20:15.560',-0.061,-,-,-0.080,81.600,-
'25:20:15.568',-0.061,-,-,-0.080,81.600,-
'25:20:15.576',-0.049,-,-,-0.080,82.400,-
'25:20:15.584',-0.024,-,-,-0.060,83.200,-
'25:20:15.592',-0.024,-,-,-0.040,83.200,-
'25:20:15.600',-0.024,-,-,-0.040,83.200,-
'25:20:15.608',-0.012,-,-,-0.060,81.600,-
'25:20:15.616',-0.024,-,-,-0.060,80.000,-
'25:20:15.624',0.000,-,-,-0.060,78.400,-
'25:20:15.632',-0.012,-,-,-0.080,77.600,-
'25:20:15.640',-0.024,-,-,-0.100,76.800,-
'25:20:15.648',-0.049,-,-,-0.100,76.800,-
'25:20:15.656',-0.061,-,-,-0.100,76.800,-
'25:20:15.664',-0.073,-,-,-0.100,77.600,-
'25:20:15.672',-0.085,-,-,-0.100,76.800,-
'25:20:15.680',-0.073,-,-,-0.100,76.000,-
'25:20:15.688',-0.085,-,-,-0.100,75.200,-
'25:20:15.696',-0.085,-,-,-0.080,74.400,-
'25:20:15.704',-0.073,-,-,-0.080,73.600,-
'25:20:15.712',-0.085,-,-,-0.080,72.800,-
'25:20:15.720',-0.073,-,-,-0.080,72.800,-
'25:20:15.728',-0.085,-,-,-0.080,72.800,-
'25:20:15.736',-0.061,-,-,-0.060,72.800,-
'25:20:15.744',-0.073,-,-,-0.060,72.000,-
'25:20:15.752',-0.061,-,-,-0.060,72.000,-
'25:20:15.760',-0.073,-,-,-0.040,71.200,-
'25:20:15.768',-0.122,-,-,-0.060,70.400,-
'25:20:15.776',-0.085,-,-,-0.040,70.400,-
'25:20:15.784',0.049,-,-,0.100,69.600,-
'25:20:15.792',0.366,-,-,0.480,69.600,-
'25:20:15.800',0.622,-,-,0.900,68.800,-
'25:20:15.808',0.354,-,-,0.620,68.800,-
'25:20:15.816',0.073,-,-,0.300,68.000,-
'25:20:15.824',0.049,-,-,0.260,67.200,-
'25:20:15.832',0.073,-,-,0.340,66.400,-
'25:20:15.840',0.012,-,-,0.300,66.400,-
'25:20:15.848',-0.049,-,-,0.260,65.600,-
'25:20:15.856',-0.061,-,-,0.160,64.000,-
'25:20:15.864',0.000,-,-,0.080,63.200,-
'25:20:15.872',0.000,-,-,0.000,62.400,-
'25:20:15.880',0.000,-,-,0.000,62.400,-
'25:20:15.888',0.000,-,-,-0.020,62.400,-
'25:20:15.896',-0.012,-,-,-0.040,62.400,-
'25:20:15.904',-0.012,-,-,-0.040,63.200,-
'25:20:15.912',-0.024,-,-,-0.040,64.000,-
'25:20:15.920',0.000,-,-,-0.060,64.800,-
'25:20:15.928',-0.012,-,-,-0.060,67.200,-
'25:20:15.936',0.000,-,-,-0.060,71.200,-
'25:20:15.944',0.000,-,-,-0.060,76.800,-
'25:20:15.952',0.000,-,-,-0.060,84.800,-
'25:20:15.960',0.000,-,-,-0.040,92.800,-
'25:20:15.968',0.000,-,-,-0.060,100.000,-
'25:20:15.976',0.000,-,-,-0.040,106.400,-
'25:20:15.984',0.012,-,-,-0.040,112.000,-
'25:20:15.992',0.024,-,-,-0.040,116.800,-
'25:20:16.000',0.024,-,-,-0.040,120.000,-
'25:20:16.008',0.024,-,-,-0.040,124.800,-
'25:20:16.016',0.024,-,-,-0.040,129.600,-
'25:20:16.024',0.049,-,-,-0.040,132.000,-
'25:20:16.032',0.073,-,-,-0.020,133.600,-
'25:20:16.040',0.061,-,-,0.000,134.400,-
'25:20:16.048',0.049,-,-,0.000,135.200,-
'25:20:16.056',0.073,-,-,0.000,134.400,-
'25:20:16.064',0.049,-,-,0.020,132.000,-
'25:20:16.072',0.037,-,-,0.020,129.600,-
'25:20:16.080',0.024,-,-,0.020,128.800,-
'25:20:16.088',0.000,-,-,0.000,128.000,-
'25:20:16.096',0.000,-,-,0.000,126.400,-
'25:20:16.104',-0.024,-,-,-0.020,124.800,-
'25:20:16.112',-0.024,-,-,-0.040,122.400,-
'25:20:16.120',-0.049,-,-,-0.040,120.000,-
'25:20:16.128',-0.037,-,-,-0.060,118.400,-
'25:20:16.136',-0.061,-,-,-0.060,116.000,-
'25:20:16.144',-0.049,-,-,-0.060,112.800,-
'25:20:16.152',-0.061,-,-,-0.060,108.000,-
'25:20:16.160',-0.061,-,-,-0.060,103.200,-
'25:20:16.168',-0.061,-,-,-0.080,98.400,-
'25:20:16.176',-0.061,-,-,-0.080,93.600,-
'25:20:16.184',-0.037,-,-,-0.060,89.600,-
'25:20:16.192',-0.024,-,-,-0.040,87.200,-
'25:20:16.200',-0.012,-,-,-0.040,86.400,-
'25:20:16.208',-0.012,-,-,-0.040,86.400,-
'25:20:16.216',-0.024,-,-,-0.040,86.400,-
'25:20:16.224',-0.024,-,-,-0.060,84.800,-
'25:20:16.232',0.000,-,-,-0.040,82.400,-
'25:20:16.240',-0.012,-,-,-0.080,81.600,-
'25:20:16.248',0.000,-,-,-0.100,81.600,-
'25:20:16.256',-0.037,-,-,-0.080,82.400,-
'25:20:16.264',-0.061,-,-,-0.100,82.400,-
'25:20:16.272',-0.073,-,-,-0.100,81.600,-
'25:20:16.280',-0.061,-,-,-0.100,80.800,-
'25:20:16.288',-0.085,-,-,-0.100,80.000,-
'25:20:16.296',-0.073,-,-,-0.100,79.200,-
'25:20:16.304',-0.085,-,-,-0.100,79.200,-
'25:20:16.312',-0.073,-,-,-0.100,79.200,-
'25:20:16.320',-0.085,-,-,-0.100,79.200,-
'25:20:16.328',-0.085,-,-,-0.100,78.400,-
'25:20:16.336',-0.085,-,-,-0.100,77.600,-
'25:20:16.344',-0.073,-,-,-0.080,76.800,-
'25:20:16.352',-0.061,-,-,-0.080,75.200,-
'25:20:16.360',-0.085,-,-,-0.080,74.400,-
'25:20:16.368',-0.061,-,-,-0.060,73.600,-
'25:20:16.376',-0.085,-,-,-0.060,72.800,-
'25:20:16.384',-0.122,-,-,-0.080,72.800,-
'25:20:16.392',-0.037,-,-,0.000,72.000,-
'25:20:16.400',0.183,-,-,0.240,72.000,-
'25:20:16.408',0.537,-,-,0.740,72.000,-
'25:20:16.416',0.610,-,-,0.920,71.200,-
'25:20:16.424',0.171,-,-,0.420,70.400,-
'25:20:16.432',0.049,-,-,0.260,68.800,-
'25:20:16.440',0.061,-,-,0.300,68.000,-
'25:20:16.448',0.024,-,-,0.320,67.200,-
'25:20:16.456',-0.024,-,-,0.260,65.600,-
'25:20:16.464',-0.061,-,-,0.200,65.600,-
'25:20:16.472',-0.012,-,-,0.120,64.800,-
'25:20:16.480',0.000,-,-,0.020,64.000,-
'25:20:16.488',0.000,-,-,0.000,64.000,-
'25:20:16.496',0.000,-,-,-0.020,64.000,-
'25:20:16.504',-0.012,-,-,-0.040,64.800,-
'25:20:16.512',-0.012,-,-,-0.040,64.800,-
'25:20:16.520',-0.024,-,-,-0.060,64.800,-
'25:20:16.528',0.000,-,-,-0.060,64.800,-
'25:20:16.536',-0.012,-,-,-0.060,65.600,-
'25:20:16.544',0.000,-,-,-0.060,68.000,-
'25:20:16.552',0.000,-,-,-0.060,72.800,-
'25:20:16.560',0.000,-,-,-0.060,79.200,-
'25:20:16.568',-0.012,-,-,-0.060,85.600,-
'25:20:16.576',0.000,-,-,-0.060,92.800,-
'25:20:16.584',0.000,-,-,-0.060,100.000,-
'25:20:16.592',0.000,-,-,-0.060,107.200,-
'25:20:16.600',0.000,-,-,-0.040,113.600,-
'25:20:16.608',0.024,-,-,-0.060,119.200,-
'25:20:16.616',0.024,-,-,-0.060,122.400,-
'25:20:16.624',0.037,-,-,-0.060,125.600,-
'25:20:16.632',0.049,-,-,-0.040,128.000,-
'25:20:16.640',0.049,-,-,-0.040,130.400,-
'25:20:16.648',0.061,-,-,-0.020,132.000,-
'25:20:16.656',0.073,-,-,0.000,132.800,-
'25:20:16.664',0.049,-,-,0.000,133.600,-
'25:20:16.672',0.049,-,-,0.000,133.600,-
'25:20:16.680',0.024,-,-,0.000,131.200,-
'25:20:16.688',0.024,-,-,0.000,128.000,-
'25:20:16.696',0.000,-,-,0.000,126.400,-
'25:20:16.704',-0.012,-,-,0.000,125.600,-
'25:20:16.712',-0.024,-,-,-0.020,124.000,-
'25:20:16.720',-0.024,-,-,-0.040,121.600,-
'25:20:16.728',-0.049,-,-,-0.040,119.200,-
'25:20:16.736',-0.061,-,-,-0.060,116.800,-
'25:20:16.744',-0.061,-,-,-0.060,113.600,-
'25:20:16.752',-0.024,-,-,-0.060,109.600,-
'25:20:16.760',-0.061,-,-,-0.080,104.800,-
'25:20:16.768',-0.073,-,-,-0.080,100.000,-
'25:20:16.776',-0.061,-,-,-0.080,96.800,-
'25:20:16.784',-0.073,-,-,-0.100,93.600,-
'25:20:16.792',-0.061,-,-,-0.080,91.200,-
'25:20:16.800',-0.073,-,-,-0.100,88.800,-
'25:20:16.808',-0.061,-,-,-0.080,86.400,-
'25:20:16.816',-0.024,-,-,-0.060,84.800,-
'25:20:16.824',-0.024,-,-,-0.040,83.200,-
'25:20:16.832',-0.024,-,-,-0.060,82.400,-
'25:20:16.840',-0.024,-,-,-0.060,81.600,-
'25:20:16.848',-0.024,-,-,-0.080,81.600,-
'25:20:16.856',0.000,-,-,-0.060,82.400,-
'25:20:16.864',-0.012,-,-,-0.100,83.200,-
'25:20:16.872',-0.024,-,-,-0.100,81.600,-
'25:20:16.880',-0.024,-,-,-0.100,80.000,-
'25:20:16.888',-0.061,-,-,-0.100,79.200,-
'25:20:16.896',-0.061,-,-,-0.120,79.200,-
'25:20:16.904',-0.085,-,-,-0.100,79.200,-
'25:20:16.912',-0.085,-,-,-0.120,78.400,-
'25:20:16.920',-0.073,-,-,-0.100,77.600,-
'25:20:16.928',-0.085,-,-,-0.100,76.000,-
'25:20:16.936',-0.085,-,-,-0.100,75.200,-
'25:20:16.944',-0.085,-,-,-0.100,74.400,-
'25:20:16.952',-0.085,-,-,-0.100,74.400,-
'25:20:16.960',-0.073,-,-,-0.080,74.400,-
'25:20:16.968',-0.085,-,-,-0.100,73.600,-
'25:20:16.976',-0.073,-,-,-0.080,72.800,-
'25:20:16.984',-0.085,-,-,-0.080,72.000,-
'25:20:16.992',-0.061,-,-,-0.080,72.000,-
'25:20:17.000',-0.085,-,-,-0.060,71.200,-
'25:20:17.008',-0.122,-,-,-0.080,71.200,-
'25:20:17.016',-0.024,-,-,0.000,71.200,-
'25:20:17.024',0.207,-,-,0.260,70.400,-
'25:20:17.032',0.537,-,-,0.760,70.400,-
'25:20:17.040',0.585,-,-,0.900,69.600,-
'25:20:17.048',0.159,-,-,0.380,69.600,-
'25:20:17.056',0.049,-,-,0.260,68.800,-
'25:20:17.064',0.049,-,-,0.300,67.200,-
'25:20:17.072',0.024,-,-,0.300,65.600,-
'25:20:17.080',-0.024,-,-,0.260,64.800,-
'25:20:17.088',-0.061,-,-,0.180,64.000,-
'25:20:17.096',-0.024,-,-,0.120,63.200,-
'25:20:17.104',0.000,-,-,0.020,62.400,-
'25:20:17.112',0.000,-,-,0.000,62.400,-
'25:20:17.120',0.000,-,-,-0.040,63.200,-
'25:20:17.128',-0.024,-,-,-0.040,64.000,-
'25:20:17.136',-0.012,-,-,-0.040,64.800,-
'25:20:17.144',-0.024,-,-,-0.060,64.800,-
'25:20:17.152',-0.024,-,-,-0.060,64.800,-
'25:20:17.160',-0.012,-,-,-0.080,67.200,-
'25:20:17.168',-0.024,-,-,-0.060,72.000,-
'25:20:17.176',-0.012,-,-,-0.080,76.800,-
'25:20:17.184',0.000,-,-,-0.060,82.400,-
'25:20:17.192',0.000,-,-,-0.060,88.800,-
'25:20:17.200',0.000,-,-,-0.060,96.000,-
'25:20:17.208',0.000,-,-,-0.060,103.200,-
'25:20:17.216',0.000,-,-,-0.040,109.600,-
'25:20:17.224',0.012,-,-,-0.060,115.200,-
'25:20:17.232',0.000,-,-,-0.060,119.200,-
'25:20:17.240',0.024,-,-,-0.060,123.200,-
'25:20:17.248',0.037,-,-,-0.040,126.400,-
'25:20:17.256',0.049,-,-,-0.040,129.600,-
'25:20:17.264',0.061,-,-,-0.040,131.200,-
'25:20:17.272',0.049,-,-,-0.020,132.000,-
'25:20:17.280',0.073,-,-,0.000,131.200,-
'25:20:17.288',0.049,-,-,0.000,130.400,-
'25:20:17.296',0.049,-,-,0.000,130.400,-
'25:20:17.304',0.049,-,-,0.000,130.400,-
'25:20:17.312',0.012,-,-,0.000,128.800,-
'25:20:17.320',0.000,-,-,0.000,125.600,-
'25:20:17.328',0.000,-,-,0.000,123.200,-
'25:20:17.336',-0.024,-,-,-0.040,120.800,-
'25:20:17.344',-0.024,-,-,-0.040,120.000,-
'25:20:17.352',-0.049,-,-,-0.060,118.400,-
'25:20:17.360',-0.061,-,-,-0.060,116.000,-
'25:20:17.368',-0.049,-,-,-0.060,111.200,-
'25:20:17.376',-0.061,-,-,-0.080,105.600,-
'25:20:17.384',-0.061,-,-,-0.080,100.000,-
'25:20:17.392',-0.061,-,-,-0.100,95.200,-
'25:20:17.400',-0.061,-,-,-0.080,91.200,-
'25:20:17.408',-0.061,-,-,-0.100,89.600,-
'25:20:17.416',-0.061,-,-,-0.100,88.000,-
'25:20:17.424',-0.073,-,-,-0.100,87.200,-
'25:20:17.432',-0.061,-,-,-0.100,86.400,-
'25:20:17.440',-0.061,-,-,-0.100,85.600,-
'25:20:17.448',-0.049,-,-,-0.080,84.800,-
'25:20:17.456',-0.024,-,-,-0.060,83.200,-
'25:20:17.464',-0.012,-,-,-0.060,82.400,-
'25:20:17.472',-0.024,-,-,-0.060,80.800,-
'25:20:17.480',-0.024,-,-,-0.060,79.200,-
'25:20:17.488',-0.012,-,-,-0.080,78.400,-
'25:20:17.496',0.000,-,-,-0.080,77.600,-
'25:20:17.504',-0.024,-,-,-0.100,76.800,-
'25:20:17.512',-0.012,-,-,-0.100,76.800,-
'25:20:17.520',-0.049,-,-,-0.100,76.800,-
'25:20:17.528',-0.061,-,-,-0.100,75.200,-
'25:20:17.536',-0.073,-,-,-0.100,74.400,-
'25:20:17.544',-0.085,-,-,-0.100,75.200,-
'25:20:17.552',-0.085,-,-,-0.100,74.400,-
'25:20:17.560',-0.085,-,-,-0.100,72.800,-
'25:20:17.568',-0.085,-,-,-0.100,71.200,-
'25:20:17.576',-0.061,-,-,-0.100,70.400,-
'25:20:17.584',-0.085,-,-,-0.100,70.400,-
'25:20:17.592',-0.073,-,-,-0.080,69.600,-
'25:20:17.600',-0.061,-,-,-0.080,68.800,-
'25:20:17.608',-0.073,-,-,-0.100,68.800,-
'25:20:17.616',-0.085,-,-,-0.080,70.400,-
'25:20:17.624',-0.061,-,-,-0.080,72.800,-
'25:20:17.632',-0.073,-,-,-0.060,76.000,-
'25:20:17.640',-0.085,-,-,-0.040,76.000,-
'25:20:17.648',-0.049,-,-,0.000,73.600,-
'25:20:17.656',0.146,-,-,0.180,70.400,-
'25:20:17.664',0.463,-,-,0.600,68.000,-
'25:20:17.672',0.610,-,-,0.860,66.400,-
'25:20:17.680',0.244,-,-,0.460,64.800,-
'25:20:17.688',0.049,-,-,0.240,62.400,-
'25:20:17.696',0.049,-,-,0.260,60.000,-
'25:20:17.704',0.073,-,-,0.300,59.200,-
'25:20:17.712',0.000,-,-,0.260,59.200,-
'25:20:17.720',-0.061,-,-,0.220,62.400,-
'25:20:17.728',-0.024,-,-,0.160,65.600,-
'25:20:17.736',-0.012,-,-,0.060,68.800,-
'25:20:17.744',0.000,-,-,0.000,69.600,-
'25:20:17.752',0.000,-,-,-0.020,67.200,-
'25:20:17.760',0.000,-,-,-0.040,64.800,-
'25:20:17.768',-0.024,-,-,-0.040,62.400,-
'25:20:17.776',0.000,-,-,-0.060,60.000,-
'25:20:17.784',-0.012,-,-,-0.040,60.000,-
'25:20:17.792',-0.012,-,-,-0.060,60.800,-
'25:20:17.800',0.000,-,-,-0.060,63.200,-
'25:20:17.808',0.000,-,-,-0.060,66.400,-
'25:20:17.816',0.000,-,-,-0.060,71.200,-
'25:20:17.824',0.000,-,-,-0.060,76.800,-
'25:20:17.832',0.000,-,-,-0.060,84.800,-
'25:20:17.840',0.000,-,-,-0.060,92.000,-
'25:20:17.848',0.000,-,-,-0.060,98.400,-
'25:20:17.856',0.024,-,-,-0.060,104.800,-
'25:20:17.864',0.012,-,-,-0.060,111.200,-
'25:20:17.872',0.024,-,-,-0.060,116.800,-
'25:20:17.880',0.037,-,-,-0.060,121.600,-
'25:20:17.888',0.049,-,-,-0.060,124.000,-
'25:20:17.896',0.049,-,-,-0.040,124.800,-
'25:20:17.904',0.061,-,-,-0.040,124.800,-
'25:20:17.912',0.073,-,-,-0.020,124.800,-
'25:20:17.920',0.061,-,-,0.000,124.800,-
'25:20:17.928',0.049,-,-,0.000,124.800,-
'25:20:17.936',0.049,-,-,0.000,124.800,-
'25:20:17.944',0.024,-,-,0.000,124.800,-
'25:20:17.952',0.024,-,-,0.000,124.000,-
'25:20:17.960',0.000,-,-,0.000,122.400,-
'25:20:17.968',0.000,-,-,-0.020,119.200,-
'25:20:17.976',-0.024,-,-,-0.040,114.400,-
'25:20:17.984',-0.024,-,-,-0.040,111.200,-
'25:20:17.992',-0.049,-,-,-0.060,108.800,-
'25:20:18.000',-0.037,-,-,-0.080,106.400,-
'25:20:18.008',-0.061,-,-,-0.080,102.400,-
'25:20:18.016',-0.049,-,-,-0.100,98.400,-
'25:20:18.024',-0.024,-,-,-0.060,95.200,-
'25:20:18.032',-0.012,-,-,-0.040,92.800,-
'25:20:18.040',0.000,-,-,-0.060,89.600,-
'25:20:18.048',-0.024,-,-,-0.040,86.400,-
'25:20:18.056',-0.024,-,-,-0.060,84.000,-
'25:20:18.064',0.000,-,-,-0.060,82.400,-
'25:20:18.072',-0.012,-,-,-0.060,81.600,-
'25:20:18.080',-0.024,-,-,-0.080,81.600,-
'25:20:18.088',-0.024,-,-,-0.100,81.600,-
'25:20:18.096',-0.061,-,-,-0.100,80.800,-
'25:20:18.104',-0.049,-,-,-0.100,80.000,-
'25:20:18.112',-0.061,-,-,-0.100,79.200,-
'25:20:18.120',-0.061,-,-,-0.100,79.200,-
'25:20:18.128',-0.073,-,-,-0.100,78.400,-
'25:20:18.136',-0.061,-,-,-0.100,79.200,-
'25:20:18.144',-0.073,-,-,-0.100,80.000,-
'25:20:18.152',-0.085,-,-,-0.100,80.000,-
'25:20:18.160',-0.073,-,-,-0.100,76.800,-
'25:20:18.168',-0.061,-,-,-0.100,73.600,-
'25:20:18.176',-0.085,-,-,-0.100,72.000,-
'25:20:18.184',-0.073,-,-,-0.100,72.000,-
'25:20:18.192',-0.061,-,-,-0.100,72.800,-
'25:20:18.200',-0.073,-,-,-0.100,73.600,-
'25:20:18.208',-0.061,-,-,-0.080,73.600,-
'25:20:18.216',-0.073,-,-,-0.060,73.600,-
'25:20:18.224',-0.085,-,-,-0.040,73.600,-
'25:20:18.232',-0.024,-,-,0.020,73.600,-
'25:20:18.240',0.207,-,-,0.260,74.400,-
'25:20:18.248',0.537,-,-,0.720,73.600,-
'25:20:18.256',0.610,-,-,0.860,72.800,-
'25:20:18.264',0.171,-,-,0.380,71.200,-
'25:20:18.272',0.037,-,-,0.240,70.400,-
'25:20:18.280',0.061,-,-,0.300,69.600,-
'25:20:18.288',0.073,-,-,0.300,69.600,-
'25:20:18.296',-0.012,-,-,0.240,69.600,-
'25:20:18.304',-0.061,-,-,0.200,69.600,-
'25:20:18.312',-0.024,-,-,0.100,68.800,-
'25:20:18.320',0.000,-,-,0.000,68.000,-
'25:20:18.328',-0.012,-,-,-0.040,67.200,-
'25:20:18.336',0.000,-,-,-0.040,68.000,-
'25:20:18.344',-0.012,-,-,-0.040,68.000,-
'25:20:18.352',-0.024,-,-,-0.080,67.200,-
'25:20:18.360',-0.012,-,-,-0.060,65.600,-
'25:20:18.368',-0.024,-,-,-0.080,64.000,-
'25:20:18.376',-0.024,-,-,-0.080,63.200,-
'25:20:18.384',-0.012,-,-,-0.080,64.000,-
'25:20:18.392',0.000,-,-,-0.080,68.800,-
'25:20:18.400',0.000,-,-,-0.080,76.000,-
'25:20:18.408',0.000,-,-,-0.080,83.200,-
'25:20:18.416',0.000,-,-,-0.060,90.400,-
'25:20:18.424',0.000,-,-,-0.080,96.000,-
'25:20:18.432',0.000,-,-,-0.080,101.600,-
'25:20:18.440',0.000,-,-,-0.080,105.600,-
'25:20:18.448',0.024,-,-,-0.080,107.200,-
'25:20:18.456',0.012,-,-,-0.080,108.000,-
'25:20:18.464',0.037,-,-,-0.080,111.200,-
'25:20:18.472',0.024,-,-,-0.060,116.000,-
'25:20:18.480',0.049,-,-,-0.060,121.600,-
'25:20:18.488',0.049,-,-,-0.040,124.800,-
'25:20:18.496',0.061,-,-,-0.040,124.000,-
'25:20:18.504',0.049,-,-,-0.020,123.200,-
'25:20:18.512',0.024,-,-,0.000,122.400,-
'25:20:18.520',0.024,-,-,0.000,120.800,-
'25:20:18.528',0.012,-,-,0.000,117.600,-
'25:20:18.536',0.000,-,-,0.000,115.200,-
'25:20:18.544',-0.024,-,-,-0.020,113.600,-
'25:20:18.552',-0.024,-,-,-0.040,112.800,-
'25:20:18.560',-0.037,-,-,-0.040,112.000,-
'25:20:18.568',-0.049,-,-,-0.060,110.400,-
'25:20:18.576',-0.061,-,-,-0.080,106.400,-
'25:20:18.584',-0.061,-,-,-0.080,101.600,-
'25:20:18.592',-0.061,-,-,-0.080,96.800,-
'25:20:18.600',-0.061,-,-,-0.100,90.400,-
'25:20:18.608',-0.061,-,-,-0.080,84.800,-
'25:20:18.616',-0.061,-,-,-0.100,80.000,-
'25:20:18.624',-0.061,-,-,-0.080,76.000,-
'25:20:18.632',-0.061,-,-,-0.100,73.600,-
'25:20:18.640',-0.061,-,-,-0.100,72.800,-
'25:20:18.648',-0.061,-,-,-0.080,73.600,-
'25:20:18.656',-0.061,-,-,-0.100,74.400,-
'25:20:18.664',-0.061,-,-,-0.100,75.200,-
'25:20:18.672',-0.061,-,-,-0.080,79.200,-
'25:20:18.680',-0.061,-,-,-0.080,84.000,-
'25:20:18.688',-0.061,-,-,-0.100,87.200,-
'25:20:18.696',-0.061,-,-,-0.080,87.200,-
