'Elapsed time','II','III','AVF','V','MCL1','ABP','PAP'
'46:54:25.008',0.112,-,-,-,0.384,104.000,31.320
'46:54:25.016',0.112,-,-,-,0.320,102.400,30.960
'46:54:25.024',0.096,-,-,-,0.240,100.800,30.360
'46:54:25.032',0.072,-,-,-,0.160,98.400,29.760
'46:54:25.040',0.032,-,-,-,0.056,96.800,28.920
'46:54:25.048',0.016,-,-,-,0.000,95.200,27.960
'46:54:25.056',0.000,-,-,-,-0.040,93.600,26.520
'46:54:25.064',0.000,-,-,-,-0.080,91.200,24.960
'46:54:25.072',-0.016,-,-,-,-0.120,88.800,23.880
'46:54:25.080',-0.032,-,-,-,-0.136,86.400,23.520
'46:54:25.088',-0.032,-,-,-,-0.136,83.200,23.280
'46:54:25.096',-0.016,-,-,-,-0.160,80.800,23.280
'46:54:25.104',-0.032,-,-,-,-0.176,77.600,23.520
'46:54:25.112',-0.032,-,-,-,-0.160,76.000,23.880
'46:54:25.120',-0.032,-,-,-,-0.176,75.200,24.480
'46:54:25.128',-0.032,-,-,-,-0.160,74.400,25.320
'46:54:25.136',-0.032,-,-,-,-0.160,74.400,25.920
'46:54:25.144',-0.032,-,-,-,-0.176,74.400,26.160
'46:54:25.152',-0.032,-,-,-,-0.160,75.200,25.680
'46:54:25.160',-0.032,-,-,-,-0.176,75.200,24.960
'46:54:25.168',-0.032,-,-,-,-0.176,75.200,23.880
'46:54:25.176',-0.032,-,-,-,-0.176,76.000,23.160
'46:54:25.184',-0.032,-,-,-,-0.176,76.800,22.080
'46:54:25.192',-0.032,-,-,-,-0.176,76.800,21.360
'46:54:25.200',-0.032,-,-,-,-0.176,76.800,20.760
'46:54:25.208',-0.032,-,-,-,-0.176,77.600,20.520
'46:54:25.216',-0.032,-,-,-,-0.176,77.600,20.280
'46:54:25.224',-0.032,-,-,-,-0.176,76.800,20.280
'46:54:25.232',-0.032,-,-,-,-0.176,76.800,20.280
'46:54:25.240',-0.032,-,-,-,-0.176,76.800,20.280
'46:54:25.248',-0.032,-,-,-,-0.176,76.000,20.520
'46:54:25.256',-0.032,-,-,-,-0.176,76.000,20.520
'46:54:25.264',-0.032,-,-,-,-0.176,75.200,20.520
'46:54:25.272',-0.032,-,-,-,-0.176,75.200,20.520
'46:54:25.280',-0.032,-,-,-,-0.176,74.400,20.280
'46:54:25.288',-0.032,-,-,-,-0.176,74.400,20.160
'46:54:25.296',-0.032,-,-,-,-0.176,73.600,19.680
'46:54:25.304',-0.032,-,-,-,-0.176,72.800,19.320
'46:54:25.312',-0.032,-,-,-,-0.160,72.800,18.960
'46:54:25.320',-0.032,-,-,-,-0.160,72.000,18.480
'46:54:25.328',-0.032,-,-,-,-0.160,71.200,18.120
'46:54:25.336',-0.032,-,-,-,-0.160,71.200,17.880
'46:54:25.344',-0.032,-,-,-,-0.160,70.400,17.760
'46:54:25.352',-0.032,-,-,-,-0.160,69.600,17.520
'46:54:25.360',-0.032,-,-,-,-0.136,69.600,17.280
'46:54:25.368',-0.032,-,-,-,-0.136,68.800,17.280
'46:54:25.376',-0.032,-,-,-,-0.136,68.000,17.160
'46:54:25.384',-0.032,-,-,-,-0.136,68.000,17.160
'46:54:25.392',-0.032,-,-,-,-0.136,67.200,16.920
'46:54:25.400',-0.032,-,-,-,-0.136,67.200,16.680
'46:54:25.408',-0.032,-,-,-,-0.136,66.400,16.560
'46:54:25.416',-0.032,-,-,-,-0.136,66.400,16.320
'46:54:25.424',-0.032,-,-,-,-0.136,65.600,16.320
'46:54:25.432',-0.032,-,-,-,-0.136,65.600,16.080
'46:54:25.440',-0.032,-,-,-,-0.136,65.600,16.080
'46:54:25.448',-0.032,-,-,-,-0.120,64.800,16.080
'46:54:25.456',-0.016,-,-,-,-0.136,64.800,16.320
'46:54:25.464',-0.032,-,-,-,-0.120,64.800,16.320
'46:54:25.472',-0.016,-,-,-,-0.120,64.000,16.320
'46:54:25.480',-0.032,-,-,-,-0.096,64.000,16.080
'46:54:25.488',-0.016,-,-,-,-0.096,64.000,15.960
'46:54:25.496',-0.032,-,-,-,-0.096,63.200,15.720
'46:54:25.504',-0.016,-,-,-,-0.096,63.200,15.480
'46:54:25.512',-0.032,-,-,-,-0.096,63.200,15.480
'46:54:25.520',-0.016,-,-,-,-0.096,63.200,15.360
'46:54:25.528',-0.032,-,-,-,-0.096,62.400,15.360
'46:54:25.536',-0.016,-,-,-,-0.096,62.400,15.120
'46:54:25.544',-0.016,-,-,-,-0.096,62.400,15.120
'46:54:25.552',-0.016,-,-,-,-0.080,61.600,15.120
'46:54:25.560',-0.016,-,-,-,-0.096,61.600,15.120
'46:54:25.568',-0.016,-,-,-,-0.080,61.600,15.120
'46:54:25.576',-0.016,-,-,-,-0.080,60.800,14.880
'46:54:25.584',-0.016,-,-,-,-0.080,60.800,14.880
'46:54:25.592',-0.016,-,-,-,-0.056,60.800,14.760
'46:54:25.600',0.000,-,-,-,-0.040,60.800,14.760
'46:54:25.608',-0.016,-,-,-,-0.040,60.000,14.520
'46:54:25.616',0.000,-,-,-,-0.016,60.000,14.520
'46:54:25.624',0.000,-,-,-,-0.040,60.000,14.760
'46:54:25.632',0.016,-,-,-,-0.016,59.200,14.880
'46:54:25.640',0.016,-,-,-,-0.040,59.200,15.120
'46:54:25.648',0.000,-,-,-,-0.056,59.200,15.360
'46:54:25.656',0.000,-,-,-,-0.096,58.400,15.120
'46:54:25.664',0.000,-,-,-,-0.080,58.400,14.760
'46:54:25.672',-0.016,-,-,-,-0.080,58.400,14.160
'46:54:25.680',-0.032,-,-,-,-0.080,58.400,13.560
'46:54:25.688',-0.032,-,-,-,-0.080,58.400,12.960
'46:54:25.696',-0.032,-,-,-,-0.080,57.600,12.360
'46:54:25.704',-0.032,-,-,-,-0.080,57.600,12.000
'46:54:25.712',-0.032,-,-,-,-0.056,57.600,11.880
'46:54:25.720',-0.032,-,-,-,-0.080,56.800,11.880
'46:54:25.728',-0.016,-,-,-,-0.056,56.800,11.880
'46:54:25.736',-0.032,-,-,-,-0.056,56.800,11.880
'46:54:25.744',-0.016,-,-,-,-0.056,56.800,11.880
'46:54:25.752',-0.016,-,-,-,-0.056,56.000,11.880
'46:54:25.760',-0.016,-,-,-,-0.056,56.000,11.640
'46:54:25.768',-0.032,-,-,-,-0.040,56.000,11.640
'46:54:25.776',-0.032,-,-,-,0.080,56.000,11.880
'46:54:25.784',-0.056,-,-,-,0.464,55.200,11.880
'46:54:25.792',0.152,-,-,-,0.912,55.200,12.000
'46:54:25.800',0.424,-,-,-,0.952,55.200,12.360
'46:54:25.808',0.464,-,-,-,-0.504,55.200,12.480
'46:54:25.816',0.072,-,-,-,-0.672,54.400,12.960
'46:54:25.824',0.112,-,-,-,-0.304,54.400,13.320
'46:54:25.832',0.072,-,-,-,0.000,54.400,13.560
'46:54:25.840',0.032,-,-,-,0.080,53.600,13.560
'46:54:25.848',0.032,-,-,-,0.080,53.600,13.560
'46:54:25.856',0.032,-,-,-,0.096,53.600,13.320
'46:54:25.864',0.016,-,-,-,0.120,53.600,12.960
'46:54:25.872',0.016,-,-,-,0.096,52.800,12.360
'46:54:25.880',0.000,-,-,-,0.120,52.800,11.880
'46:54:25.888',0.016,-,-,-,0.120,52.800,12.000
'46:54:25.896',0.016,-,-,-,0.120,52.000,13.080
'46:54:25.904',0.016,-,-,-,0.120,52.000,15.360
'46:54:25.912',0.016,-,-,-,0.120,52.000,17.880
'46:54:25.920',0.016,-,-,-,0.136,52.000,20.280
'46:54:25.928',0.016,-,-,-,0.136,52.000,22.560
'46:54:25.936',0.016,-,-,-,0.160,52.800,24.360
'46:54:25.944',0.016,-,-,-,0.160,55.200,25.920
'46:54:25.952',0.032,-,-,-,0.160,58.400,27.120
'46:54:25.960',0.032,-,-,-,0.176,64.800,27.960
'46:54:25.968',0.032,-,-,-,0.200,72.000,28.080
'46:54:25.976',0.032,-,-,-,0.224,80.000,28.080
'46:54:25.984',0.032,-,-,-,0.240,87.200,27.960
'46:54:25.992',0.032,-,-,-,0.264,92.800,27.480
'46:54:26.000',0.056,-,-,-,0.280,97.600,27.360
'46:54:26.008',0.056,-,-,-,0.320,101.600,27.360
'46:54:26.016',0.056,-,-,-,0.344,104.800,27.720
'46:54:26.024',0.072,-,-,-,0.384,107.200,27.960
'46:54:26.032',0.072,-,-,-,0.424,109.600,28.320
'46:54:26.040',0.072,-,-,-,0.464,110.400,28.560
'46:54:26.048',0.072,-,-,-,0.488,110.400,28.680
'46:54:26.056',0.096,-,-,-,0.504,109.600,28.680
'46:54:26.064',0.072,-,-,-,0.528,108.800,28.680
'46:54:26.072',0.112,-,-,-,0.528,107.200,28.680
'46:54:26.080',0.112,-,-,-,0.504,106.400,28.560
'46:54:26.088',0.112,-,-,-,0.488,104.800,28.320
'46:54:26.096',0.112,-,-,-,0.448,103.200,27.960
'46:54:26.104',0.112,-,-,-,0.384,101.600,27.480
'46:54:26.112',0.096,-,-,-,0.304,99.200,27.120
'46:54:26.120',0.072,-,-,-,0.240,97.600,26.520
'46:54:26.128',0.056,-,-,-,0.136,96.000,25.920
'46:54:26.136',0.032,-,-,-,0.056,94.400,24.960
'46:54:26.144',0.000,-,-,-,0.000,92.000,23.280
'46:54:26.152',0.000,-,-,-,-0.040,90.400,21.360
'46:54:26.160',-0.016,-,-,-,-0.096,88.000,19.080
'46:54:26.168',-0.032,-,-,-,-0.136,85.600,17.280
'46:54:26.176',-0.032,-,-,-,-0.136,82.400,16.320
'46:54:26.184',-0.032,-,-,-,-0.160,80.000,16.320
'46:54:26.192',-0.032,-,-,-,-0.160,76.800,17.160
'46:54:26.200',-0.032,-,-,-,-0.176,75.200,18.720
'46:54:26.208',-0.032,-,-,-,-0.176,73.600,21.360
'46:54:26.216',-0.032,-,-,-,-0.176,72.800,23.520
'46:54:26.224',-0.032,-,-,-,-0.176,72.000,25.080
'46:54:26.232',-0.032,-,-,-,-0.176,72.000,25.560
'46:54:26.240',-0.032,-,-,-,-0.176,72.000,24.720
'46:54:26.248',-0.032,-,-,-,-0.176,72.800,23.160
'46:54:26.256',-0.056,-,-,-,-0.176,72.800,21.120
'46:54:26.264',-0.032,-,-,-,-0.176,73.600,19.320
'46:54:26.272',-0.056,-,-,-,-0.176,73.600,17.760
'46:54:26.280',-0.056,-,-,-,-0.176,74.400,16.560
'46:54:26.288',-0.072,-,-,-,-0.176,74.400,15.720
'46:54:26.296',-0.056,-,-,-,-0.176,75.200,15.480
'46:54:26.304',-0.072,-,-,-,-0.176,75.200,15.480
'46:54:26.312',-0.056,-,-,-,-0.176,75.200,15.720
'46:54:26.320',-0.056,-,-,-,-0.176,75.200,15.960
'46:54:26.328',-0.072,-,-,-,-0.176,74.400,16.320
'46:54:26.336',-0.056,-,-,-,-0.176,74.400,16.680
'46:54:26.344',-0.032,-,-,-,-0.176,74.400,16.680
'46:54:26.352',-0.056,-,-,-,-0.176,73.600,16.680
'46:54:26.360',-0.032,-,-,-,-0.176,73.600,16.320
'46:54:26.368',-0.032,-,-,-,-0.176,72.800,15.960
'46:54:26.376',-0.032,-,-,-,-0.176,72.800,15.480
'46:54:26.384',-0.032,-,-,-,-0.176,72.000,15.120
'46:54:26.392',-0.032,-,-,-,-0.176,72.000,15.120
'46:54:26.400',-0.032,-,-,-,-0.176,71.200,14.880
'46:54:26.408',-0.032,-,-,-,-0.176,71.200,14.760
'46:54:26.416',-0.032,-,-,-,-0.176,70.400,14.280
'46:54:26.424',-0.032,-,-,-,-0.176,70.400,13.920
'46:54:26.432',-0.032,-,-,-,-0.160,69.600,13.680
'46:54:26.440',-0.032,-,-,-,-0.160,68.800,13.560
'46:54:26.448',-0.032,-,-,-,-0.160,67.200,13.560
'46:54:26.456',-0.032,-,-,-,-0.160,67.200,13.320
'46:54:26.464',-0.032,-,-,-,-0.160,67.200,13.320
'46:54:26.472',-0.032,-,-,-,-0.160,67.200,12.960
'46:54:26.480',-0.032,-,-,-,-0.136,66.400,12.480
'46:54:26.488',-0.032,-,-,-,-0.136,66.400,12.360
'46:54:26.496',-0.032,-,-,-,-0.136,65.600,12.000
'46:54:26.504',-0.032,-,-,-,-0.136,64.800,11.640
'46:54:26.512',-0.032,-,-,-,-0.136,64.000,11.400
'46:54:26.520',-0.032,-,-,-,-0.136,64.000,11.400
'46:54:26.528',-0.032,-,-,-,-0.136,63.200,11.400
'46:54:26.536',-0.032,-,-,-,-0.136,63.200,11.400
'46:54:26.544',-0.032,-,-,-,-0.136,63.200,11.640
'46:54:26.552',-0.032,-,-,-,-0.136,62.400,11.640
'46:54:26.560',-0.032,-,-,-,-0.136,62.400,11.640
'46:54:26.568',-0.032,-,-,-,-0.120,61.600,11.640
'46:54:26.576',-0.032,-,-,-,-0.120,61.600,11.640
'46:54:26.584',-0.032,-,-,-,-0.096,61.600,11.640
'46:54:26.592',-0.032,-,-,-,-0.096,60.800,11.400
'46:54:26.600',-0.032,-,-,-,-0.096,60.800,11.040
'46:54:26.608',-0.032,-,-,-,-0.096,60.000,10.800
'46:54:26.616',-0.032,-,-,-,-0.096,60.000,10.680
'46:54:26.624',-0.032,-,-,-,-0.096,59.200,10.440
'46:54:26.632',-0.032,-,-,-,-0.096,59.200,10.200
'46:54:26.640',-0.032,-,-,-,-0.096,59.200,10.200
'46:54:26.648',-0.032,-,-,-,-0.096,59.200,10.200
'46:54:26.656',-0.032,-,-,-,-0.080,59.200,10.200
'46:54:26.664',-0.032,-,-,-,-0.096,59.200,10.200
'46:54:26.672',-0.032,-,-,-,-0.080,58.400,10.200
'46:54:26.680',-0.032,-,-,-,-0.080,58.400,10.200
'46:54:26.688',-0.032,-,-,-,-0.056,58.400,10.080
'46:54:26.696',-0.016,-,-,-,-0.040,57.600,9.840
'46:54:26.704',0.000,-,-,-,-0.040,57.600,9.600
'46:54:26.712',-0.016,-,-,-,-0.040,57.600,9.600
'46:54:26.720',0.000,-,-,-,-0.040,57.600,9.600
'46:54:26.728',0.000,-,-,-,-0.040,56.800,9.600
'46:54:26.736',0.000,-,-,-,-0.080,56.800,9.600
'46:54:26.744',-0.016,-,-,-,-0.096,56.800,9.600
'46:54:26.752',-0.016,-,-,-,-0.080,56.800,9.480
'46:54:26.760',-0.032,-,-,-,-0.080,56.800,9.000
'46:54:26.768',-0.032,-,-,-,-0.096,56.000,8.880
'46:54:26.776',-0.032,-,-,-,-0.096,56.000,8.400
'46:54:26.784',-0.032,-,-,-,-0.096,56.000,8.040
'46:54:26.792',-0.032,-,-,-,-0.080,56.000,7.800
'46:54:26.800',-0.032,-,-,-,-0.096,55.200,8.040
'46:54:26.808',-0.032,-,-,-,-0.080,55.200,8.280
'46:54:26.816',-0.032,-,-,-,-0.080,55.200,8.640
'46:54:26.824',-0.032,-,-,-,-0.080,55.200,9.000
'46:54:26.832',-0.032,-,-,-,-0.056,55.200,9.480
'46:54:26.840',-0.032,-,-,-,-0.080,54.400,9.600
'46:54:26.848',-0.032,-,-,-,-0.056,54.400,10.080
'46:54:26.856',-0.016,-,-,-,-0.040,54.400,10.080
'46:54:26.864',-0.096,-,-,-,0.080,54.400,10.080
'46:54:26.872',-0.072,-,-,-,0.424,53.600,10.080
'46:54:26.880',0.136,-,-,-,0.912,53.600,10.080
'46:54:26.888',0.464,-,-,-,0.976,53.600,10.080
'46:54:26.896',0.528,-,-,-,-0.408,53.600,9.840
'46:54:26.904',0.136,-,-,-,-0.584,52.800,10.080
'46:54:26.912',0.136,-,-,-,-0.304,52.800,10.200
'46:54:26.920',0.056,-,-,-,-0.016,52.800,11.400
'46:54:26.928',0.016,-,-,-,0.056,52.800,12.960
'46:54:26.936',0.032,-,-,-,0.080,52.000,14.280
'46:54:26.944',0.016,-,-,-,0.080,52.000,14.520
'46:54:26.952',0.000,-,-,-,0.080,52.000,13.560
'46:54:26.960',0.000,-,-,-,0.080,52.000,12.120
'46:54:26.968',0.000,-,-,-,0.080,52.000,11.640
'46:54:26.976',0.000,-,-,-,0.080,51.200,12.480
'46:54:26.984',0.000,-,-,-,0.096,51.200,14.760
'46:54:26.992',0.000,-,-,-,0.080,51.200,17.760
'46:54:27.000',0.000,-,-,-,0.120,51.200,20.760
'46:54:27.008',0.016,-,-,-,0.120,51.200,23.520
'46:54:27.016',0.016,-,-,-,0.120,51.200,25.680
'46:54:27.024',0.016,-,-,-,0.136,52.000,27.960
'46:54:27.032',0.016,-,-,-,0.160,52.800,29.520
'46:54:27.040',0.032,-,-,-,0.160,54.400,30.480
'46:54:27.048',0.032,-,-,-,0.160,58.400,31.080
'46:54:27.056',0.032,-,-,-,0.176,64.000,31.320
'46:54:27.064',0.032,-,-,-,0.200,71.200,31.320
'46:54:27.072',0.056,-,-,-,0.224,79.200,31.560
'46:54:27.080',0.032,-,-,-,0.240,85.600,31.680
'46:54:27.088',0.056,-,-,-,0.264,91.200,32.160
'46:54:27.096',0.056,-,-,-,0.304,95.200,32.520
'46:54:27.104',0.072,-,-,-,0.320,99.200,32.880
'46:54:27.112',0.072,-,-,-,0.360,102.400,33.480
'46:54:27.120',0.072,-,-,-,0.384,104.800,34.320
'46:54:27.128',0.072,-,-,-,0.424,106.400,34.920
'46:54:27.136',0.072,-,-,-,0.448,106.400,35.520
'46:54:27.144',0.096,-,-,-,0.488,106.400,35.880
'46:54:27.152',0.112,-,-,-,0.488,105.600,36.120
'46:54:27.160',0.112,-,-,-,0.488,104.000,36.120
'46:54:27.168',0.112,-,-,-,0.488,102.400,36.120
'46:54:27.176',0.112,-,-,-,0.448,100.800,35.880
'46:54:27.184',0.112,-,-,-,0.408,99.200,35.880
'46:54:27.192',0.112,-,-,-,0.360,97.600,35.760
'46:54:27.200',0.112,-,-,-,0.304,96.000,35.520
'46:54:27.208',0.072,-,-,-,0.224,93.600,35.160
'46:54:27.216',0.072,-,-,-,0.136,92.000,34.680
'46:54:27.224',0.032,-,-,-,0.056,90.400,34.080
'46:54:27.232',0.016,-,-,-,0.000,88.000,33.480
'46:54:27.240',0.000,-,-,-,-0.040,85.600,32.520
'46:54:27.248',0.000,-,-,-,-0.080,84.000,31.080
'46:54:27.256',-0.016,-,-,-,-0.096,81.600,29.520
'46:54:27.264',-0.016,-,-,-,-0.136,79.200,27.960
'46:54:27.272',-0.032,-,-,-,-0.136,76.000,26.520
'46:54:27.280',-0.032,-,-,-,-0.136,73.600,25.080
'46:54:27.288',-0.032,-,-,-,-0.160,72.000,24.120
'46:54:27.296',-0.032,-,-,-,-0.136,70.400,23.520
'46:54:27.304',-0.032,-,-,-,-0.160,70.400,23.520
'46:54:27.312',-0.032,-,-,-,-0.160,70.400,24.720
'46:54:27.320',-0.032,-,-,-,-0.160,70.400,26.280
'46:54:27.328',-0.032,-,-,-,-0.160,70.400,28.080
'46:54:27.336',-0.032,-,-,-,-0.160,71.200,29.280
'46:54:27.344',-0.032,-,-,-,-0.160,71.200,29.880
'46:54:27.352',-0.032,-,-,-,-0.160,72.000,29.520
'46:54:27.360',-0.032,-,-,-,-0.160,72.800,28.680
'46:54:27.368',-0.032,-,-,-,-0.176,72.800,27.720
'46:54:27.376',-0.032,-,-,-,-0.160,73.600,26.520
'46:54:27.384',-0.032,-,-,-,-0.176,73.600,25.560
'46:54:27.392',-0.032,-,-,-,-0.160,73.600,24.480
'46:54:27.400',-0.032,-,-,-,-0.176,73.600,23.760
'46:54:27.408',-0.032,-,-,-,-0.176,73.600,23.160
'46:54:27.416',-0.032,-,-,-,-0.176,73.600,22.560
'46:54:27.424',-0.032,-,-,-,-0.176,72.800,22.320
'46:54:27.432',-0.032,-,-,-,-0.176,72.800,22.080
'46:54:27.440',-0.032,-,-,-,-0.176,72.800,21.960
'46:54:27.448',-0.032,-,-,-,-0.160,72.000,21.960
'46:54:27.456',-0.032,-,-,-,-0.176,71.200,22.080
'46:54:27.464',-0.032,-,-,-,-0.160,71.200,22.080
'46:54:27.472',-0.032,-,-,-,-0.176,70.400,22.080
'46:54:27.480',-0.032,-,-,-,-0.160,69.600,22.080
'46:54:27.488',-0.032,-,-,-,-0.160,69.600,21.960
'46:54:27.496',-0.032,-,-,-,-0.160,68.800,21.720
'46:54:27.504',-0.032,-,-,-,-0.160,68.000,21.480
'46:54:27.512',-0.032,-,-,-,-0.160,68.000,21.360
'46:54:27.520',-0.032,-,-,-,-0.160,67.200,21.120
'46:54:27.528',-0.032,-,-,-,-0.136,67.200,20.760
'46:54:27.536',-0.032,-,-,-,-0.160,66.400,20.280
'46:54:27.544',-0.032,-,-,-,-0.136,66.400,19.680
'46:54:27.552',-0.032,-,-,-,-0.136,65.600,19.080
'46:54:27.560',-0.032,-,-,-,-0.136,65.600,18.720
'46:54:27.568',-0.032,-,-,-,-0.136,64.800,18.360
'46:54:27.576',-0.032,-,-,-,-0.136,64.800,18.360
'46:54:27.584',-0.032,-,-,-,-0.136,64.000,18.360
'46:54:27.592',-0.032,-,-,-,-0.136,64.000,18.360
'46:54:27.600',-0.032,-,-,-,-0.136,63.200,18.480
'46:54:27.608',-0.032,-,-,-,-0.136,63.200,18.720
'46:54:27.616',-0.032,-,-,-,-0.136,63.200,18.720
'46:54:27.624',-0.032,-,-,-,-0.120,62.400,18.480
'46:54:27.632',-0.032,-,-,-,-0.120,62.400,18.360
'46:54:27.640',-0.032,-,-,-,-0.096,61.600,18.120
'46:54:27.648',-0.032,-,-,-,-0.096,61.600,17.880
'46:54:27.656',-0.032,-,-,-,-0.120,61.600,17.760
'46:54:27.664',-0.032,-,-,-,-0.096,61.600,17.520
'46:54:27.672',-0.032,-,-,-,-0.096,61.600,17.280
'46:54:27.680',-0.032,-,-,-,-0.096,60.800,17.280
'46:54:27.688',-0.016,-,-,-,-0.096,60.800,17.160
'46:54:27.696',-0.032,-,-,-,-0.096,60.800,17.160
'46:54:27.704',-0.032,-,-,-,-0.096,60.000,16.920
'46:54:27.712',-0.016,-,-,-,-0.080,60.000,16.680
'46:54:27.720',-0.032,-,-,-,-0.096,60.000,16.680
'46:54:27.728',-0.016,-,-,-,-0.080,60.000,16.680
'46:54:27.736',-0.032,-,-,-,-0.080,59.200,16.560
'46:54:27.744',-0.016,-,-,-,-0.080,59.200,16.320
'46:54:27.752',-0.032,-,-,-,-0.080,59.200,16.320
'46:54:27.760',-0.016,-,-,-,-0.080,58.400,16.080
'46:54:27.768',-0.032,-,-,-,-0.080,58.400,15.960
'46:54:27.776',-0.032,-,-,-,-0.056,58.400,15.960
'46:54:27.784',-0.016,-,-,-,-0.040,57.600,15.720
'46:54:27.792',0.000,-,-,-,-0.040,57.600,15.720
'46:54:27.800',0.000,-,-,-,-0.016,57.600,15.720
'46:54:27.808',0.000,-,-,-,-0.040,57.600,16.080
'46:54:27.816',0.000,-,-,-,-0.016,56.800,16.320
'46:54:27.824',0.016,-,-,-,-0.040,56.800,16.560
'46:54:27.832',0.000,-,-,-,-0.040,56.800,16.680
'46:54:27.840',0.000,-,-,-,-0.080,56.800,16.680
'46:54:27.848',-0.016,-,-,-,-0.056,56.000,16.320
'46:54:27.856',-0.032,-,-,-,-0.080,56.000,15.720
'46:54:27.864',-0.032,-,-,-,-0.080,56.000,15.360
'46:54:27.872',-0.032,-,-,-,-0.080,56.000,14.760
'46:54:27.880',-0.032,-,-,-,-0.080,56.000,14.160
'46:54:27.888',-0.032,-,-,-,-0.080,55.200,13.680
'46:54:27.896',-0.032,-,-,-,-0.080,55.200,13.560
'46:54:27.904',-0.032,-,-,-,-0.056,55.200,13.560
'46:54:27.912',-0.032,-,-,-,-0.056,55.200,13.560
'46:54:27.920',-0.032,-,-,-,-0.056,55.200,13.680
'46:54:27.928',-0.032,-,-,-,-0.056,54.400,13.920
'46:54:27.936',-0.032,-,-,-,-0.056,54.400,13.920
'46:54:27.944',-0.032,-,-,-,-0.056,54.400,13.920
'46:54:27.952',-0.032,-,-,-,-0.040,54.400,14.160
'46:54:27.960',-0.056,-,-,-,0.056,54.400,14.280
'46:54:27.968',-0.072,-,-,-,0.424,54.400,14.520
'46:54:27.976',0.136,-,-,-,0.872,53.600,14.760
'46:54:27.984',0.408,-,-,-,0.896,53.600,15.120
'46:54:27.992',0.448,-,-,-,-0.504,53.600,15.360
'46:54:28.000',0.096,-,-,-,-0.672,53.600,15.480
'46:54:28.008',0.136,-,-,-,-0.304,53.600,15.960
'46:54:28.016',0.072,-,-,-,0.000,52.800,16.320
'46:54:28.024',0.032,-,-,-,0.080,52.800,16.680
'46:54:28.032',0.032,-,-,-,0.096,52.800,17.520
'46:54:28.040',0.016,-,-,-,0.120,52.800,18.360
'46:54:28.048',0.000,-,-,-,0.120,52.000,18.720
'46:54:28.056',0.000,-,-,-,0.120,52.000,17.880
'46:54:28.064',0.000,-,-,-,0.120,52.000,15.960
'46:54:28.072',0.000,-,-,-,0.120,52.000,14.160
'46:54:28.080',0.000,-,-,-,0.120,51.200,13.920
'46:54:28.088',0.000,-,-,-,0.120,51.200,15.360
'46:54:28.096',0.000,-,-,-,0.136,51.200,17.760
'46:54:28.104',0.000,-,-,-,0.120,51.200,20.520
'46:54:28.112',0.000,-,-,-,0.160,52.000,23.520
'46:54:28.120',0.000,-,-,-,0.160,52.800,26.280
'46:54:28.128',0.000,-,-,-,0.160,56.000,28.680
