'Elapsed time','I','II','V','MCL1','ABP'
'85:40:42.824',-,0.056,-,-0.312,71.880
'85:40:42.832',-,0.088,-,-0.304,71.160
'85:40:42.840',-,0.088,-,-0.336,71.160
'85:40:42.848',-,0.088,-,-0.344,70.320
'85:40:42.856',-,0.104,-,-0.368,70.320
'85:40:42.864',-,0.120,-,-0.376,70.320
'85:40:42.872',-,0.136,-,-0.392,69.480
'85:40:42.880',-,0.152,-,-0.400,69.480
'85:40:42.888',-,0.168,-,-0.424,68.760
'85:40:42.896',-,0.168,-,-0.432,68.760
'85:40:42.904',-,0.200,-,-0.464,67.920
'85:40:42.912',-,0.216,-,-0.472,67.920
'85:40:42.920',-,0.200,-,-0.488,67.080
'85:40:42.928',-,0.232,-,-0.480,67.080
'85:40:42.936',-,0.232,-,-0.488,66.360
'85:40:42.944',-,0.232,-,-0.472,66.360
'85:40:42.952',-,0.216,-,-0.440,65.520
'85:40:42.960',-,0.200,-,-0.400,65.520
'85:40:42.968',-,0.200,-,-0.368,64.680
'85:40:42.976',-,0.168,-,-0.304,64.680
'85:40:42.984',-,0.152,-,-0.240,63.960
'85:40:42.992',-,0.120,-,-0.184,63.960
'85:40:43.000',-,0.088,-,-0.136,63.120
'85:40:43.008',-,0.088,-,-0.096,62.280
'85:40:43.016',-,0.056,-,-0.048,62.280
'85:40:43.024',-,0.024,-,-0.016,61.560
'85:40:43.032',-,0.000,-,0.000,60.720
'85:40:43.040',-,0.000,-,0.024,60.720
'85:40:43.048',-,-0.008,-,0.040,59.880
'85:40:43.056',-,-0.024,-,0.032,59.880
'85:40:43.064',-,-0.024,-,0.048,59.160
'85:40:43.072',-,-0.040,-,0.048,59.160
'85:40:43.080',-,-0.024,-,0.048,58.320
'85:40:43.088',-,-0.040,-,0.048,58.320
'85:40:43.096',-,-0.040,-,0.048,57.480
'85:40:43.104',-,-0.056,-,0.040,57.480
'85:40:43.112',-,-0.040,-,0.048,56.760
'85:40:43.120',-,-0.056,-,0.040,56.760
'85:40:43.128',-,-0.040,-,0.048,56.760
'85:40:43.136',-,-0.040,-,0.008,55.920
'85:40:43.144',-,-0.024,-,-0.016,55.920
'85:40:43.152',-,-0.040,-,-0.104,55.920
'85:40:43.160',-,-0.024,-,-0.216,55.920
'85:40:43.168',-,-0.072,-,-0.416,55.080
'85:40:43.176',-,-0.072,-,-0.624,55.080
'85:40:43.184',-,-0.152,-,-0.840,55.080
'85:40:43.192',-,-0.056,-,-1.080,55.080
'85:40:43.200',-,-0.024,-,-,55.080
'85:40:43.208',-,-0.072,-,-,55.080
'85:40:43.216',-,-0.104,-,-,55.080
'85:40:43.224',-,-0.168,-,-0.936,55.080
'85:40:43.232',-,-0.200,-,-0.704,55.080
'85:40:43.240',-,-0.200,-,-0.512,55.080
'85:40:43.248',-,-0.168,-,-0.336,55.080
'85:40:43.256',-,-0.104,-,-0.160,55.080
'85:40:43.264',-,-0.024,-,0.048,55.920
'85:40:43.272',-,-0.008,-,0.208,55.920
'85:40:43.280',-,0.000,-,0.336,55.920
'85:40:43.288',-,0.000,-,0.376,55.920
'85:40:43.296',-,0.000,-,0.392,55.920
'85:40:43.304',-,0.000,-,0.400,55.920
'85:40:43.312',-,0.000,-,0.456,56.760
'85:40:43.320',-,0.008,-,0.472,56.760
'85:40:43.328',-,0.072,-,0.528,56.760
'85:40:43.336',-,0.088,-,0.552,57.480
'85:40:43.344',-,0.104,-,0.576,57.480
'85:40:43.352',-,0.104,-,0.568,58.320
'85:40:43.360',-,0.120,-,0.600,58.320
'85:40:43.368',-,0.136,-,0.624,58.320
'85:40:43.376',-,0.152,-,0.664,59.160
'85:40:43.384',-,0.168,-,0.680,59.880
'85:40:43.392',-,0.200,-,0.704,61.560
'85:40:43.400',-,0.184,-,0.736,63.120
'85:40:43.408',-,0.200,-,0.760,65.520
'85:40:43.416',-,0.216,-,0.776,69.480
'85:40:43.424',-,0.232,-,0.792,72.720
'85:40:43.432',-,0.248,-,0.792,76.680
'85:40:43.440',-,0.264,-,0.776,80.760
'85:40:43.448',-,0.264,-,0.760,83.880
'85:40:43.456',-,0.280,-,0.704,87.120
'85:40:43.464',-,0.296,-,0.664,90.360
'85:40:43.472',-,0.280,-,0.608,91.920
'85:40:43.480',-,0.296,-,0.552,93.480
'85:40:43.488',-,0.264,-,0.472,93.480
'85:40:43.496',-,0.248,-,0.416,93.480
'85:40:43.504',-,0.232,-,0.336,91.920
'85:40:43.512',-,0.184,-,0.280,90.360
'85:40:43.520',-,0.152,-,0.224,87.120
'85:40:43.528',-,0.120,-,0.168,84.720
'85:40:43.536',-,0.088,-,0.128,81.480
'85:40:43.544',-,0.056,-,0.096,78.360
'85:40:43.552',-,0.024,-,0.048,75.960
'85:40:43.560',-,0.000,-,0.024,72.720
'85:40:43.568',-,-0.008,-,0.000,70.320
'85:40:43.576',-,-0.024,-,-0.016,67.080
'85:40:43.584',-,-0.056,-,-0.032,64.680
'85:40:43.592',-,-0.072,-,-0.040,63.120
'85:40:43.600',-,-0.088,-,-0.056,61.560
'85:40:43.608',-,-0.088,-,-0.064,59.880
'85:40:43.616',-,-0.104,-,-0.072,58.320
'85:40:43.624',-,-0.104,-,-0.080,57.480
'85:40:43.632',-,-0.104,-,-0.072,57.480
'85:40:43.640',-,-0.104,-,-0.096,56.760
'85:40:43.648',-,-0.120,-,-0.080,56.760
'85:40:43.656',-,-0.120,-,-0.096,56.760
'85:40:43.664',-,-0.120,-,-0.096,57.480
'85:40:43.672',-,-0.120,-,-0.104,58.320
'85:40:43.680',-,-0.120,-,-0.096,59.160
'85:40:43.688',-,-0.120,-,-0.104,59.880
'85:40:43.696',-,-0.120,-,-0.096,60.720
'85:40:43.704',-,-0.136,-,-0.104,61.560
'85:40:43.712',-,-0.120,-,-0.096,62.280
'85:40:43.720',-,-0.120,-,-0.104,63.120
'85:40:43.728',-,-0.136,-,-0.096,63.120
'85:40:43.736',-,-0.120,-,-0.104,63.960
'85:40:43.744',-,-0.120,-,-0.096,64.680
'85:40:43.752',-,-0.120,-,-0.104,64.680
'85:40:43.760',-,-0.120,-,-0.096,65.520
'85:40:43.768',-,-0.120,-,-0.104,65.520
'85:40:43.776',-,-0.120,-,-0.096,65.520
'85:40:43.784',-,-0.120,-,-0.080,65.520
'85:40:43.792',-,-0.120,-,-0.096,65.520
'85:40:43.800',-,-0.120,-,-0.096,65.520
'85:40:43.808',-,-0.120,-,-0.096,64.680
'85:40:43.816',-,-0.104,-,-0.080,64.680
'85:40:43.824',-,-0.120,-,-0.096,64.680
'85:40:43.832',-,-0.104,-,-0.072,63.960
'85:40:43.840',-,-0.120,-,-0.080,63.960
'85:40:43.848',-,-0.104,-,-0.072,63.960
'85:40:43.856',-,-0.104,-,-0.072,63.120
'85:40:43.864',-,-0.104,-,-0.064,63.120
'85:40:43.872',-,-0.088,-,-0.080,62.280
'85:40:43.880',-,-0.104,-,-0.064,62.280
'85:40:43.888',-,-0.104,-,-0.072,62.280
'85:40:43.896',-,-0.088,-,-0.064,61.560
'85:40:43.904',-,-0.104,-,-0.072,61.560
'85:40:43.912',-,-0.088,-,-0.056,61.560
'85:40:43.920',-,-0.088,-,-0.064,60.720
'85:40:43.928',-,-0.088,-,-0.056,60.720
'85:40:43.936',-,-0.088,-,-0.064,59.880
'85:40:43.944',-,-0.088,-,-0.056,59.880
'85:40:43.952',-,-0.088,-,-0.056,59.880
'85:40:43.960',-,-0.072,-,-0.056,59.160
'85:40:43.968',-,-0.088,-,-0.056,59.160
'85:40:43.976',-,-0.072,-,-0.056,58.320
'85:40:43.984',-,-0.072,-,-0.056,58.320
'85:40:43.992',-,-0.072,-,-0.048,58.320
'85:40:44.000',-,-0.072,-,-0.056,57.480
'85:40:44.008',-,-0.072,-,-0.048,57.480
'85:40:44.016',-,-0.072,-,-0.048,56.760
'85:40:44.024',-,-0.072,-,-0.056,56.760
'85:40:44.032',-,-0.072,-,-0.040,56.760
'85:40:44.040',-,-0.072,-,-0.048,55.920
'85:40:44.048',-,-0.072,-,-0.032,55.920
'85:40:44.056',-,-0.072,-,-0.040,55.920
'85:40:44.064',-,-0.056,-,-0.032,55.920
'85:40:44.072',-,-0.072,-,-0.040,55.080
'85:40:44.080',-,-0.056,-,-0.024,55.080
'85:40:44.088',-,-0.072,-,-0.032,55.080
'85:40:44.096',-,-0.056,-,-0.032,55.080
'85:40:44.104',-,-0.072,-,-0.032,55.080
'85:40:44.112',-,-0.040,-,-0.024,54.360
'85:40:44.120',-,-0.072,-,-0.032,54.360
'85:40:44.128',-,-0.040,-,-0.016,54.360
'85:40:44.136',-,-0.056,-,-0.032,54.360
'85:40:44.144',-,-0.040,-,-0.024,54.360
'85:40:44.152',-,-0.056,-,-0.032,54.360
'85:40:44.160',-,-0.040,-,-0.024,54.360
'85:40:44.168',-,-0.040,-,-0.024,54.360
'85:40:44.176',-,-0.040,-,-0.024,54.360
'85:40:44.184',-,-0.024,-,-0.024,53.520
'85:40:44.192',-,-0.040,-,-0.016,53.520
'85:40:44.200',-,-0.040,-,-0.024,53.520
'85:40:44.208',-,-0.040,-,-0.016,53.520
'85:40:44.216',-,-0.024,-,-0.024,53.520
'85:40:44.224',-,-0.040,-,-0.016,53.520
'85:40:44.232',-,-0.024,-,-0.016,53.520
'85:40:44.240',-,-0.040,-,-0.016,53.520
'85:40:44.248',-,-0.024,-,-0.016,53.520
'85:40:44.256',-,-0.040,-,-0.016,53.520
'85:40:44.264',-,-0.024,-,-0.016,53.520
'85:40:44.272',-,-0.024,-,-0.016,53.520
'85:40:44.280',-,-0.024,-,-0.016,53.520
'85:40:44.288',-,-0.040,-,-0.016,53.520
'85:40:44.296',-,-0.024,-,-0.016,53.520
'85:40:44.304',-,-0.024,-,-0.016,52.680
'85:40:44.312',-,-0.024,-,-0.016,52.680
'85:40:44.320',-,-0.024,-,-0.016,52.680
'85:40:44.328',-,-0.024,-,-0.008,52.680
'85:40:44.336',-,-0.024,-,-0.016,52.680
'85:40:44.344',-,-0.024,-,-0.008,52.680
'85:40:44.352',-,-0.008,-,0.000,52.680
'85:40:44.360',-,0.000,-,0.000,52.680
'85:40:44.368',-,0.008,-,0.016,51.960
'85:40:44.376',-,0.000,-,0.008,51.960
'85:40:44.384',-,0.008,-,0.016,51.960
'85:40:44.392',-,0.024,-,0.008,51.960
'85:40:44.400',-,0.008,-,-0.008,51.960
'85:40:44.408',-,0.024,-,-0.016,51.960
'85:40:44.416',-,0.008,-,-0.016,51.960
'85:40:44.424',-,0.000,-,-0.016,51.120
'85:40:44.432',-,0.000,-,-0.008,51.120
'85:40:44.440',-,-0.024,-,-0.016,51.120
'85:40:44.448',-,-0.040,-,-0.024,51.120
'85:40:44.456',-,-0.056,-,-0.016,51.120
'85:40:44.464',-,-0.056,-,-0.016,51.120
'85:40:44.472',-,-0.056,-,-0.024,51.120
'85:40:44.480',-,-0.040,-,-0.016,50.280
'85:40:44.488',-,-0.072,-,-0.016,50.280
'85:40:44.496',-,-0.040,-,-0.016,50.280
'85:40:44.504',-,-0.040,-,0.016,50.280
'85:40:44.512',-,0.008,-,0.040,50.280
'85:40:44.520',-,0.072,-,0.056,50.280
'85:40:44.528',-,0.368,-,-0.072,50.280
'85:40:44.536',-,0.464,-,-0.208,50.280
'85:40:44.544',-,0.264,-,-0.192,50.280
'85:40:44.552',-,0.056,-,-0.208,50.280
'85:40:44.560',-,0.000,-,-0.104,50.280
'85:40:44.568',-,0.000,-,-0.032,50.280
'85:40:44.576',-,-0.024,-,0.000,49.560
'85:40:44.584',-,-0.040,-,0.008,49.560
'85:40:44.592',-,-0.040,-,0.016,49.560
'85:40:44.600',-,-0.056,-,0.016,49.560
'85:40:44.608',-,-0.040,-,0.016,49.560
'85:40:44.616',-,-0.040,-,0.024,48.720
'85:40:44.624',-,-0.040,-,0.024,48.720
'85:40:44.632',-,-0.056,-,0.032,48.720
'85:40:44.640',-,-0.040,-,0.024,48.720
'85:40:44.648',-,-0.024,-,0.032,48.720
'85:40:44.656',-,-0.040,-,0.024,49.560
'85:40:44.664',-,-0.024,-,0.032,51.120
'85:40:44.672',-,-0.040,-,0.024,55.080
'85:40:44.680',-,-0.024,-,0.032,59.880
'85:40:44.688',-,-0.024,-,0.040,66.360
'85:40:44.696',-,-0.024,-,0.040,73.560
'85:40:44.704',-,-0.024,-,0.032,80.760
'85:40:44.712',-,-0.008,-,0.048,87.960
'85:40:44.720',-,-0.024,-,0.040,93.480
'85:40:44.728',-,0.000,-,0.048,99.120
'85:40:44.736',-,0.000,-,0.048,104.760
'85:40:44.744',-,0.008,-,0.056,108.720
'85:40:44.752',-,0.000,-,0.048,111.960
'85:40:44.760',-,0.024,-,0.056,112.680
'85:40:44.768',-,0.024,-,0.064,111.960
'85:40:44.776',-,0.040,-,0.056,109.560
'85:40:44.784',-,0.040,-,0.048,106.320
'85:40:44.792',-,0.056,-,0.056,103.080
'85:40:44.800',-,0.056,-,0.048,99.120
'85:40:44.808',-,0.056,-,0.048,95.880
'85:40:44.816',-,0.072,-,0.048,92.760
'85:40:44.824',-,0.056,-,0.040,89.520
'85:40:44.832',-,0.056,-,0.048,87.120
'85:40:44.840',-,0.056,-,0.040,83.880
'85:40:44.848',-,0.056,-,0.032,81.480
'85:40:44.856',-,0.040,-,0.024,79.080
'85:40:44.864',-,0.024,-,0.032,76.680
'85:40:44.872',-,0.024,-,0.016,74.280
'85:40:44.880',-,0.024,-,0.016,72.720
'85:40:44.888',-,0.008,-,0.016,71.160
'85:40:44.896',-,0.000,-,0.016,69.480
'85:40:44.904',-,0.000,-,0.008,67.920
'85:40:44.912',-,0.000,-,0.008,66.360
'85:40:44.920',-,0.000,-,0.000,65.520
'85:40:44.928',-,0.000,-,0.016,64.680
'85:40:44.936',-,0.000,-,0.000,64.680
'85:40:44.944',-,0.000,-,0.008,63.960
'85:40:44.952',-,-0.008,-,0.000,63.960
'85:40:44.960',-,0.000,-,0.008,63.960
'85:40:44.968',-,-0.008,-,0.000,63.960
'85:40:44.976',-,0.000,-,0.000,64.680
'85:40:44.984',-,-0.008,-,0.000,64.680
'85:40:44.992',-,-0.008,-,-0.008,65.520
'85:40:45.000',-,-0.008,-,0.000,66.360
'85:40:45.008',-,0.000,-,-0.016,66.360
'85:40:45.016',-,-0.008,-,-0.008,67.080
'85:40:45.024',-,-0.024,-,-0.016,67.920
'85:40:45.032',-,-0.008,-,-0.008,68.760
'85:40:45.040',-,-0.024,-,-0.016,69.480
'85:40:45.048',-,-0.008,-,-0.008,69.480
'85:40:45.056',-,-0.024,-,-0.016,70.320
'85:40:45.064',-,-0.008,-,-0.008,71.160
'85:40:45.072',-,-0.024,-,-0.016,71.160
'85:40:45.080',-,-0.008,-,-0.016,71.160
'85:40:45.088',-,-0.024,-,-0.016,71.160
'85:40:45.096',-,0.000,-,-0.008,71.160
'85:40:45.104',-,-0.024,-,-0.016,71.160
'85:40:45.112',-,-0.008,-,-0.008,71.160
'85:40:45.120',-,-0.008,-,-0.016,71.160
'85:40:45.128',-,-0.024,-,-0.008,71.160
'85:40:45.136',-,0.000,-,-0.016,70.320
'85:40:45.144',-,-0.008,-,-0.008,70.320
'85:40:45.152',-,0.000,-,-0.016,69.480
'85:40:45.160',-,-0.008,-,-0.008,69.480
'85:40:45.168',-,-0.008,-,-0.016,68.760
'85:40:45.176',-,-0.024,-,-0.008,67.920
'85:40:45.184',-,0.000,-,-0.008,67.920
'85:40:45.192',-,-0.008,-,0.000,67.080
'85:40:45.200',-,0.000,-,-0.008,66.360
'85:40:45.208',-,-0.008,-,-0.008,66.360
'85:40:45.216',-,0.000,-,0.000,65.520
'85:40:45.224',-,0.000,-,-0.008,65.520
'85:40:45.232',-,0.000,-,0.000,64.680
'85:40:45.240',-,0.008,-,0.008,63.960
'85:40:45.248',-,0.024,-,0.016,63.960
'85:40:45.256',-,0.008,-,0.016,63.120
'85:40:45.264',-,0.008,-,0.008,63.120
'85:40:45.272',-,0.024,-,0.000,62.280
'85:40:45.280',-,0.008,-,-0.016,62.280
'85:40:45.288',-,0.024,-,-0.016,61.560
'85:40:45.296',-,0.008,-,-0.016,61.560
'85:40:45.304',-,0.008,-,-0.016,60.720
'85:40:45.312',-,0.000,-,0.000,60.720
'85:40:45.320',-,0.000,-,-0.016,59.880
'85:40:45.328',-,-0.024,-,-0.016,59.880
'85:40:45.336',-,-0.040,-,-0.016,59.880
'85:40:45.344',-,-0.024,-,-0.016,59.880
'85:40:45.352',-,-0.040,-,-0.016,59.160
'85:40:45.360',-,-0.024,-,-0.008,59.160
'85:40:45.368',-,-0.024,-,-0.016,59.160
'85:40:45.376',-,-0.024,-,0.000,58.320
'85:40:45.384',-,-0.008,-,0.016,58.320
'85:40:45.392',-,-0.024,-,0.048,58.320
'85:40:45.400',-,0.024,-,0.032,58.320
'85:40:45.408',-,0.264,-,0.048,58.320
'85:40:45.416',-,0.432,-,-0.232,58.320
'85:40:45.424',-,0.312,-,-0.192,58.320
'85:40:45.432',-,0.152,-,-0.200,58.320
'85:40:45.440',-,0.008,-,-0.128,58.320
'85:40:45.448',-,0.008,-,-0.032,58.320
'85:40:45.456',-,0.000,-,0.000,58.320
'85:40:45.464',-,0.000,-,0.016,58.320
'85:40:45.472',-,-0.024,-,0.016,57.480
'85:40:45.480',-,-0.008,-,0.024,57.480
'85:40:45.488',-,-0.024,-,0.032,57.480
'85:40:45.496',-,-0.008,-,0.032,57.480
'85:40:45.504',-,-0.024,-,0.040,57.480
'85:40:45.512',-,-0.008,-,0.040,56.760
'85:40:45.520',-,-0.024,-,0.032,56.760
'85:40:45.528',-,-0.024,-,0.040,56.760
'85:40:45.536',-,-0.008,-,0.040,56.760
'85:40:45.544',-,-0.024,-,0.048,57.480
'85:40:45.552',-,-0.008,-,0.032,59.880
'85:40:45.560',-,-0.024,-,0.048,62.280
'85:40:45.568',-,0.000,-,0.040,67.080
'85:40:45.576',-,-0.008,-,0.048,72.720
'85:40:45.584',-,0.000,-,0.048,78.360
'85:40:45.592',-,0.000,-,0.048,84.720
'85:40:45.600',-,0.000,-,0.048,90.360
'85:40:45.608',-,0.000,-,0.056,95.880
'85:40:45.616',-,0.000,-,0.048,100.680
'85:40:45.624',-,0.008,-,0.056,105.480
'85:40:45.632',-,0.024,-,0.064,109.560
'85:40:45.640',-,0.024,-,0.072,111.960
'85:40:45.648',-,0.024,-,0.064,113.520
'85:40:45.656',-,0.024,-,0.072,113.520
'85:40:45.664',-,0.024,-,0.064,111.960
'85:40:45.672',-,0.024,-,0.056,110.280
'85:40:45.680',-,0.024,-,0.048,107.880
'85:40:45.688',-,0.024,-,0.048,105.480
'85:40:45.696',-,0.024,-,0.048,102.360
'85:40:45.704',-,0.024,-,0.032,99.960
'85:40:45.712',-,0.024,-,0.016,96.720
'85:40:45.720',-,0.024,-,0.024,94.320
'85:40:45.728',-,0.024,-,0.016,91.920
'85:40:45.736',-,0.008,-,0.008,89.520
'85:40:45.744',-,0.008,-,0.016,87.120
'85:40:45.752',-,0.000,-,0.000,84.720
'85:40:45.760',-,0.000,-,0.008,82.320
'85:40:45.768',-,0.000,-,0.000,80.760
'85:40:45.776',-,0.000,-,0.000,78.360
'85:40:45.784',-,0.000,-,0.000,76.680
'85:40:45.792',-,0.000,-,0.000,74.280
'85:40:45.800',-,0.000,-,0.000,72.720
'85:40:45.808',-,0.000,-,0.000,71.880
'85:40:45.816',-,-0.008,-,-0.008,70.320
'85:40:45.824',-,0.000,-,0.000,69.480
'85:40:45.832',-,-0.008,-,-0.008,68.760
'85:40:45.840',-,0.000,-,0.000,68.760
'85:40:45.848',-,-0.008,-,-0.008,67.920
'85:40:45.856',-,-0.008,-,-0.016,67.920
'85:40:45.864',-,-0.008,-,-0.008,67.920
'85:40:45.872',-,-0.024,-,-0.016,68.760
'85:40:45.880',-,-0.008,-,-0.008,68.760
'85:40:45.888',-,-0.024,-,-0.016,69.480
'85:40:45.896',-,-0.008,-,-0.016,70.320
'85:40:45.904',-,-0.024,-,-0.016,70.320
'85:40:45.912',-,-0.008,-,-0.016,71.160
'85:40:45.920',-,-0.024,-,-0.024,71.880
'85:40:45.928',-,-0.008,-,-0.016,72.720
'85:40:45.936',-,-0.024,-,-0.024,72.720
'85:40:45.944',-,-0.008,-,-0.016,73.560
'85:40:45.952',-,-0.024,-,-0.024,73.560
'85:40:45.960',-,-0.008,-,-0.016,74.280
'85:40:45.968',-,-0.008,-,-0.016,74.280
'85:40:45.976',-,-0.024,-,-0.024,74.280
'85:40:45.984',-,-0.008,-,-0.016,74.280
'85:40:45.992',-,-0.008,-,-0.016,74.280
'85:40:46.000',-,0.000,-,-0.024,74.280
'85:40:46.008',-,-0.024,-,-0.016,73.560
'85:40:46.016',-,-0.008,-,-0.016,73.560
'85:40:46.024',-,-0.024,-,-0.016,72.720
'85:40:46.032',-,-0.008,-,-0.016,72.720
'85:40:46.040',-,-0.008,-,-0.024,71.880
'85:40:46.048',-,-0.008,-,-0.016,71.880
'85:40:46.056',-,-0.008,-,-0.016,71.160
'85:40:46.064',-,0.000,-,-0.016,70.320
'85:40:46.072',-,-0.008,-,-0.016,70.320
'85:40:46.080',-,0.000,-,-0.016,69.480
'85:40:46.088',-,-0.008,-,-0.016,69.480
'85:40:46.096',-,0.000,-,-0.016,68.760
'85:40:46.104',-,-0.008,-,-0.016,67.920
'85:40:46.112',-,0.000,-,-0.016,67.920
'85:40:46.120',-,0.008,-,0.000,67.080
'85:40:46.128',-,0.024,-,0.016,67.080
'85:40:46.136',-,0.008,-,0.000,66.360
'85:40:46.144',-,0.024,-,0.000,65.520
'85:40:46.152',-,0.024,-,0.000,65.520
'85:40:46.160',-,0.024,-,-0.016,64.680
'85:40:46.168',-,0.024,-,-0.032,64.680
'85:40:46.176',-,0.024,-,-0.024,63.960
'85:40:46.184',-,0.008,-,-0.032,63.960
'85:40:46.192',-,0.008,-,-0.016,63.120
'85:40:46.200',-,0.000,-,-0.024,63.120
'85:40:46.208',-,-0.024,-,-0.024,62.280
'85:40:46.216',-,-0.024,-,-0.032,62.280
'85:40:46.224',-,-0.024,-,-0.024,62.280
'85:40:46.232',-,-0.024,-,-0.016,61.560
'85:40:46.240',-,-0.024,-,-0.024,61.560
'85:40:46.248',-,-0.024,-,-0.016,60.720
'85:40:46.256',-,-0.024,-,-0.016,60.720
'85:40:46.264',-,0.000,-,0.000,60.720
'85:40:46.272',-,0.008,-,0.032,60.720
'85:40:46.280',-,0.024,-,0.024,60.720
'85:40:46.288',-,0.232,-,-0.048,60.720
'85:40:46.296',-,0.432,-,-0.232,60.720
'85:40:46.304',-,0.328,-,-0.256,60.720
'85:40:46.312',-,0.200,-,-0.192,59.880
'85:40:46.320',-,0.024,-,-0.208,59.880
'85:40:46.328',-,0.024,-,-0.048,59.880
'85:40:46.336',-,0.008,-,-0.008,59.880
'85:40:46.344',-,0.000,-,0.016,59.880
'85:40:46.352',-,0.000,-,0.008,59.880
'85:40:46.360',-,0.000,-,0.024,59.880
'85:40:46.368',-,0.000,-,0.016,59.160
'85:40:46.376',-,0.000,-,0.032,59.160
'85:40:46.384',-,0.000,-,0.024,59.160
'85:40:46.392',-,0.000,-,0.032,59.160
'85:40:46.400',-,0.000,-,0.032,58.320
'85:40:46.408',-,0.000,-,0.040,58.320
'85:40:46.416',-,0.000,-,0.032,59.160
'85:40:46.424',-,0.000,-,0.032,59.880
'85:40:46.432',-,0.000,-,0.032,61.560
'85:40:46.440',-,0.000,-,0.040,64.680
'85:40:46.448',-,0.000,-,0.032,69.480
'85:40:46.456',-,0.000,-,0.040,75.120
'85:40:46.464',-,0.008,-,0.048,81.480
'85:40:46.472',-,0.000,-,0.040,87.960
'85:40:46.480',-,0.008,-,0.048,93.480
'85:40:46.488',-,0.008,-,0.048,99.960
'85:40:46.496',-,0.024,-,0.040,104.760
'85:40:46.504',-,0.024,-,0.056,109.560
'85:40:46.512',-,0.040,-,0.056,113.520
'85:40:46.520',-,0.056,-,0.056,115.920
'85:40:46.528',-,0.056,-,0.064,117.480
'85:40:46.536',-,0.056,-,0.056,117.480
'85:40:46.544',-,0.056,-,0.064,115.920
'85:40:46.552',-,0.056,-,0.056,113.520
'85:40:46.560',-,0.056,-,0.056,111.120
'85:40:46.568',-,0.056,-,0.048,107.880
'85:40:46.576',-,0.056,-,0.040,105.480
'85:40:46.584',-,0.056,-,0.032,102.360
'85:40:46.592',-,0.056,-,0.032,99.960
'85:40:46.600',-,0.040,-,0.016,96.720
'85:40:46.608',-,0.040,-,0.016,94.320
