'Elapsed time','II','V','ABP'
'79:48:54.128',-0.988,-0.765,-
'79:48:54.136',-0.988,-0.765,-
'79:48:54.144',0.988,0.765,-
'79:48:54.152',0.988,0.765,-
'79:48:54.160',0.988,0.765,-
'79:48:54.168',0.988,0.765,-
'79:48:54.176',-0.988,-0.765,-
'79:48:54.184',-0.988,-0.765,-
'79:48:54.192',-0.988,-0.765,-
'79:48:54.200',-0.988,-0.765,-
'79:48:54.208',0.988,0.765,-
'79:48:54.216',0.988,0.765,-
'79:48:54.224',0.988,0.765,-
'79:48:54.232',0.988,0.765,-
'79:48:54.240',-0.988,-0.765,-
'79:48:54.248',-0.988,-0.765,-
'79:48:54.256',-0.988,-0.765,-
'79:48:54.264',-0.988,-0.765,-
'79:48:54.272',0.988,0.765,-
'79:48:54.280',0.988,0.765,-
'79:48:54.288',0.988,0.765,-
'79:48:54.296',0.988,0.765,-
'79:48:54.304',-0.988,-0.765,-
'79:48:54.312',-0.988,-0.765,-
'79:48:54.320',-0.988,-0.765,-
'79:48:54.328',-0.988,-0.765,-
'79:48:54.336',0.988,0.765,-
'79:48:54.344',0.988,0.765,-
'79:48:54.352',0.988,0.765,-
'79:48:54.360',0.988,0.765,-
'79:48:54.368',-0.988,-0.765,-
'79:48:54.376',-0.988,-0.765,-
'79:48:54.384',-0.988,-0.765,-
'79:48:54.392',-0.988,-0.765,-
'79:48:54.400',0.988,0.765,-
'79:48:54.408',0.988,0.765,-
'79:48:54.416',0.988,0.765,-
'79:48:54.424',0.988,0.765,-
'79:48:54.432',-0.988,-0.765,-
'79:48:54.440',-0.988,-0.765,-
'79:48:54.448',-0.988,-0.765,-
'79:48:54.456',-0.988,-0.765,-
'79:48:54.464',0.988,0.765,-
'79:48:54.472',0.988,0.765,-
'79:48:54.480',0.988,0.765,-
'79:48:54.488',0.988,0.765,-
'79:48:54.496',-0.988,-0.765,-
'79:48:54.504',-0.988,-0.765,-
'79:48:54.512',-0.988,-0.765,-
'79:48:54.520',-0.988,-0.765,-
'79:48:54.528',0.988,0.765,-
'79:48:54.536',0.988,0.765,-
'79:48:54.544',0.988,0.765,-
'79:48:54.552',0.988,0.765,-
'79:48:54.560',-0.988,-0.765,-
'79:48:54.568',-0.988,-0.765,-
'79:48:54.576',-0.988,-0.765,-
'79:48:54.584',-0.988,-0.765,-
'79:48:54.592',0.988,0.765,-
'79:48:54.600',0.988,0.765,-
'79:48:54.608',0.988,0.765,-
'79:48:54.616',0.988,0.765,-
'79:48:54.624',-0.988,-0.765,-
'79:48:54.632',-0.988,-0.765,-
'79:48:54.640',-0.988,-0.765,-
'79:48:54.648',-0.988,-0.765,-
'79:48:54.656',0.988,0.765,-
'79:48:54.664',0.988,0.765,-
'79:48:54.672',0.988,0.765,-
'79:48:54.680',0.988,0.765,-
'79:48:54.688',-0.988,-0.765,-
'79:48:54.696',-0.988,-0.765,-
'79:48:54.704',-0.988,-0.765,-
'79:48:54.712',-0.988,-0.765,-
'79:48:54.720',0.988,0.765,-
'79:48:54.728',0.988,0.765,-
'79:48:54.736',0.988,0.765,-
'79:48:54.744',0.988,0.765,-
'79:48:54.752',-0.988,-0.765,-
'79:48:54.760',-0.988,-0.765,-
'79:48:54.768',-0.988,-0.765,-
'79:48:54.776',-0.988,-0.765,-
'79:48:54.784',0.988,0.765,-
'79:48:54.792',0.988,0.765,-
'79:48:54.800',0.988,0.765,-
'79:48:54.808',0.988,0.765,-
'79:48:54.816',-0.988,-0.765,-
'79:48:54.824',-0.988,-0.765,-
'79:48:54.832',-0.988,-0.765,-
'79:48:54.840',-0.988,-0.765,-
'79:48:54.848',0.988,0.765,-
'79:48:54.856',0.988,0.765,-
'79:48:54.864',0.988,0.765,-
'79:48:54.872',0.988,0.765,-
'79:48:54.880',-0.988,-0.765,-
'79:48:54.888',-0.988,-0.765,-
'79:48:54.896',-0.988,-0.765,-
'79:48:54.904',-0.988,-0.765,-
'79:48:54.912',0.988,0.765,-
'79:48:54.920',0.988,0.765,-
'79:48:54.928',-0.988,-0.765,-
'79:48:54.936',-0.988,-0.765,-
'79:48:54.944',-2.988,-2.318,-
'79:48:54.952',-2.988,-2.318,-
'79:48:54.960',-2.988,-2.318,-
'79:48:54.968',-2.988,-2.318,-
'79:48:54.976',-0.988,-0.765,-
'79:48:54.984',-0.988,-0.765,-
'79:48:54.992',-0.988,-0.765,-
'79:48:55.000',-0.988,-0.765,-
'79:48:55.008',-2.988,-2.318,-
'79:48:55.016',-2.988,-2.318,-
'79:48:55.024',-2.988,-2.318,-
'79:48:55.032',-2.988,-2.318,-
'79:48:55.040',-0.988,-0.765,-
'79:48:55.048',-0.988,-0.765,-
'79:48:55.056',-0.988,-0.765,-
'79:48:55.064',-0.988,-0.765,-
'79:48:55.072',-2.988,-2.318,-
'79:48:55.080',-2.988,-2.318,-
'79:48:55.088',-2.988,-2.318,-
'79:48:55.096',-2.988,-2.318,-
'79:48:55.104',-0.988,-0.765,-
'79:48:55.112',-0.988,-0.765,-
'79:48:55.120',-0.988,-0.765,-
'79:48:55.128',-0.988,-0.765,-
'79:48:55.136',-2.988,-2.318,-
'79:48:55.144',-2.988,-2.318,-
'79:48:55.152',-2.988,-2.318,-
'79:48:55.160',-2.988,-2.318,-
'79:48:55.168',-0.988,-0.765,-
'79:48:55.176',-0.988,-0.765,-
'79:48:55.184',-0.988,-0.765,-
'79:48:55.192',-0.988,-0.765,-
'79:48:55.200',-2.988,-2.318,-
'79:48:55.208',-2.988,-2.318,-
'79:48:55.216',-2.988,-2.318,-
'79:48:55.224',-2.988,-2.318,-
'79:48:55.232',-0.988,-0.765,-
'79:48:55.240',-0.988,-0.765,-
'79:48:55.248',-0.988,-0.765,-
'79:48:55.256',-0.988,-0.765,-
'79:48:55.264',-2.988,-2.318,-
'79:48:55.272',-2.988,-2.318,-
'79:48:55.280',-2.988,-2.318,-
'79:48:55.288',-2.988,-2.318,-
'79:48:55.296',-0.988,-0.765,-
'79:48:55.304',-0.988,-0.765,-
'79:48:55.312',-0.988,-0.765,-
'79:48:55.320',-0.988,-0.765,-
'79:48:55.328',-2.988,-2.318,-
'79:48:55.336',-2.988,-2.318,-
'79:48:55.344',-2.988,-2.318,-
'79:48:55.352',-2.988,-2.318,-
'79:48:55.360',-0.988,-0.765,-
'79:48:55.368',-0.988,-0.765,-
'79:48:55.376',-0.988,-0.765,-
'79:48:55.384',-0.988,-0.765,-
'79:48:55.392',-2.988,-2.318,-
'79:48:55.400',-2.988,-2.318,-
'79:48:55.408',-2.988,-2.318,-
'79:48:55.416',-2.988,-2.318,-
'79:48:55.424',-0.988,-0.765,-
'79:48:55.432',-0.988,-0.765,-
'79:48:55.440',-0.988,-0.765,-
'79:48:55.448',-0.988,-0.765,-
'79:48:55.456',-2.988,-2.318,-
'79:48:55.464',-2.988,-2.318,-
'79:48:55.472',-2.988,-2.318,-
'79:48:55.480',-2.988,-2.318,-
'79:48:55.488',-0.988,-0.765,-
'79:48:55.496',-0.988,-0.765,-
'79:48:55.504',-0.988,-0.765,-
'79:48:55.512',-0.988,-0.765,-
'79:48:55.520',-2.988,-2.318,-
'79:48:55.528',-2.988,-2.318,-
'79:48:55.536',-2.988,-2.318,-
'79:48:55.544',-2.988,-2.318,-
'79:48:55.552',-0.988,-0.765,-
'79:48:55.560',-0.988,-0.765,-
'79:48:55.568',-0.988,-0.765,-
'79:48:55.576',-0.988,-0.765,-
'79:48:55.584',-2.988,-2.318,-
'79:48:55.592',-2.988,-2.318,-
'79:48:55.600',-2.988,-2.318,-
'79:48:55.608',-2.988,-2.318,-
'79:48:55.616',-0.988,-0.765,-
'79:48:55.624',-0.988,-0.765,-
'79:48:55.632',-0.988,-0.765,-
'79:48:55.640',-0.988,-0.765,-
'79:48:55.648',-2.988,-2.318,-
'79:48:55.656',-2.988,-2.318,-
'79:48:55.664',-2.988,-2.318,-
'79:48:55.672',-2.988,-2.318,-
'79:48:55.680',-0.988,-0.765,-
'79:48:55.688',-0.988,-0.765,-
'79:48:55.696',-0.988,-0.765,-
'79:48:55.704',-0.988,-0.765,-
'79:48:55.712',-2.988,-2.318,-
'79:48:55.720',-2.988,-2.318,-
'79:48:55.728',-2.988,-2.318,-
'79:48:55.736',-2.988,-2.318,-
'79:48:55.744',-0.988,-0.765,-
'79:48:55.752',-0.988,-0.765,-
'79:48:55.760',-0.988,-0.765,-
'79:48:55.768',-0.988,-0.765,-
'79:48:55.776',-2.988,-2.318,-
'79:48:55.784',-2.988,-2.318,-
'79:48:55.792',-2.988,-2.318,-
'79:48:55.800',-2.988,-2.318,-
'79:48:55.808',-0.988,-0.765,-
'79:48:55.816',-0.988,-0.765,-
'79:48:55.824',-0.988,-0.765,-
'79:48:55.832',-0.988,-0.765,-
'79:48:55.840',-2.988,-2.318,-
'79:48:55.848',-2.988,-2.318,-
'79:48:55.856',-2.988,-2.318,-
'79:48:55.864',-2.988,-2.318,-
'79:48:55.872',-0.988,-0.765,-
'79:48:55.880',-0.988,-0.765,-
'79:48:55.888',-0.988,-0.765,-
'79:48:55.896',-0.988,-0.765,-
'79:48:55.904',-2.988,-2.318,-
'79:48:55.912',-2.988,-2.318,-
'79:48:55.920',-2.988,-2.318,-
'79:48:55.928',-2.988,-2.318,-
'79:48:55.936',-0.988,-0.765,-
'79:48:55.944',-0.988,-0.765,-
'79:48:55.952',-0.988,-0.765,-
'79:48:55.960',-0.988,-0.765,-
'79:48:55.968',-2.988,-2.318,-
'79:48:55.976',-2.988,-2.318,-
'79:48:55.984',-2.988,-2.318,-
'79:48:55.992',-2.988,-2.318,-
'79:48:56.000',-0.988,-0.765,-
'79:48:56.008',-0.988,-0.765,-
'79:48:56.016',-0.988,-0.765,-
'79:48:56.024',-0.988,-0.765,-
'79:48:56.032',-2.988,-2.318,-
'79:48:56.040',-2.988,-2.318,-
'79:48:56.048',-2.988,-2.318,-
'79:48:56.056',-2.988,-2.318,-
'79:48:56.064',-0.988,-0.765,-
'79:48:56.072',-0.988,-0.765,-
'79:48:56.080',-0.988,-0.765,-
'79:48:56.088',-0.988,-0.765,-
'79:48:56.096',-2.988,-2.318,-
'79:48:56.104',-2.988,-2.318,-
'79:48:56.112',-2.988,-2.318,-
'79:48:56.120',-2.988,-2.318,-
'79:48:56.128',-0.988,-0.765,-
'79:48:56.136',-0.988,-0.765,-
'79:48:56.144',-0.988,-0.765,-
'79:48:56.152',-0.988,-0.765,-
'79:48:56.160',-2.988,-2.318,-
'79:48:56.168',-2.988,-2.318,-
'79:48:56.176',-2.988,-2.318,-
'79:48:56.184',-2.988,-2.318,-
'79:48:56.192',-0.988,-0.765,-
'79:48:56.200',-0.988,-0.765,-
'79:48:56.208',-0.988,-0.765,-
'79:48:56.216',-0.988,-0.765,-
'79:48:56.224',-2.988,-2.318,-
'79:48:56.232',-2.988,-2.318,-
'79:48:56.240',-2.988,-2.318,-
'79:48:56.248',-2.988,-2.318,-
'79:48:56.256',-0.988,-0.765,-
'79:48:56.264',-0.988,-0.765,-
'79:48:56.272',-0.988,-0.765,-
'79:48:56.280',-0.988,-0.765,-
'79:48:56.288',-2.988,-2.318,-
'79:48:56.296',-2.988,-2.318,-
'79:48:56.304',-2.988,-2.318,-
'79:48:56.312',-2.988,-2.318,-
'79:48:56.320',-0.988,-0.765,-
'79:48:56.328',-0.988,-0.765,-
'79:48:56.336',-0.988,-0.765,-
'79:48:56.344',-0.988,-0.765,-
'79:48:56.352',-2.988,-2.318,-
'79:48:56.360',-2.988,-2.318,-
'79:48:56.368',-2.988,-2.318,-
'79:48:56.376',-2.988,-2.318,-
'79:48:56.384',-0.988,-0.765,-
'79:48:56.392',-0.988,-0.765,-
'79:48:56.400',-0.988,-0.765,-
'79:48:56.408',-0.988,-0.765,-
'79:48:56.416',-2.988,-2.318,-
'79:48:56.424',-2.988,-2.318,-
'79:48:56.432',-2.988,-2.318,-
'79:48:56.440',-2.988,-2.318,-
'79:48:56.448',-0.988,-0.765,-
'79:48:56.456',-0.988,-0.765,-
'79:48:56.464',-0.988,-0.765,-
'79:48:56.472',-0.988,-0.765,-
'79:48:56.480',-2.988,-2.318,-
'79:48:56.488',-2.988,-2.318,-
'79:48:56.496',-2.988,-2.318,-
'79:48:56.504',-2.988,-2.318,-
'79:48:56.512',-0.988,-0.765,-
'79:48:56.520',-0.988,-0.765,-
'79:48:56.528',-0.988,-0.765,-
'79:48:56.536',-0.988,-0.765,-
'79:48:56.544',-2.988,-2.318,-
'79:48:56.552',-2.988,-2.318,-
'79:48:56.560',-2.988,-2.318,-
'79:48:56.568',-2.988,-2.318,-
'79:48:56.576',-0.988,-0.765,-
'79:48:56.584',-0.988,-0.765,-
'79:48:56.592',-0.988,-0.765,-
'79:48:56.600',-0.988,-0.765,-
'79:48:56.608',-2.988,-2.318,-
'79:48:56.616',-2.988,-2.318,-
'79:48:56.624',-2.988,-2.318,-
'79:48:56.632',-2.988,-2.318,-
'79:48:56.640',-0.988,-0.765,-
'79:48:56.648',-0.988,-0.765,-
'79:48:56.656',-0.988,-0.765,-
'79:48:56.664',-0.988,-0.765,-
'79:48:56.672',-2.988,-2.318,-
'79:48:56.680',-2.988,-2.318,-
'79:48:56.688',-2.988,-2.318,-
'79:48:56.696',-2.988,-2.318,-
'79:48:56.704',-0.988,-0.765,-
'79:48:56.712',-0.988,-0.765,-
'79:48:56.720',-0.988,-0.765,-
'79:48:56.728',-0.988,-0.765,-
'79:48:56.736',-2.988,-2.318,-
'79:48:56.744',-2.988,-2.318,-
'79:48:56.752',-2.988,-2.318,-
'79:48:56.760',-2.988,-2.318,-
'79:48:56.768',-0.988,-0.765,-
'79:48:56.776',-0.988,-0.765,-
'79:48:56.784',-0.988,-0.765,-
'79:48:56.792',-0.988,-0.765,-
'79:48:56.800',-2.988,-2.318,-
'79:48:56.808',-2.988,-2.318,-
'79:48:56.816',-2.988,-2.318,-
'79:48:56.824',-2.988,-2.318,-
'79:48:56.832',-0.988,-0.765,-
'79:48:56.840',-0.988,-0.765,-
'79:48:56.848',-0.988,-0.765,-
'79:48:56.856',-0.988,-0.765,-
'79:48:56.864',-2.988,-2.318,-
'79:48:56.872',-2.988,-2.318,-
'79:48:56.880',-2.988,-2.318,-
'79:48:56.888',-2.988,-2.318,-
'79:48:56.896',-0.988,-0.765,-
'79:48:56.904',-0.988,-0.765,-
'79:48:56.912',-0.988,-0.765,-
'79:48:56.920',-0.988,-0.765,-
'79:48:56.928',-2.988,-2.318,-
'79:48:56.936',-2.988,-2.318,-
'79:48:56.944',-2.988,-2.318,-
'79:48:56.952',-2.988,-2.318,-
'79:48:56.960',-0.988,-0.765,-
'79:48:56.968',-0.988,-0.765,-
'79:48:56.976',-0.988,-0.765,-
'79:48:56.984',-0.988,-0.765,-
'79:48:56.992',-2.988,-2.318,-
'79:48:57.000',-2.988,-2.318,-
'79:48:57.008',-2.988,-2.318,-
'79:48:57.016',-2.988,-2.318,-
'79:48:57.024',-0.988,-0.765,-
'79:48:57.032',-0.988,-0.765,-
'79:48:57.040',-0.988,-0.765,-
'79:48:57.048',-0.988,-0.765,-
'79:48:57.056',-2.988,-2.318,-
'79:48:57.064',-2.988,-2.318,-
'79:48:57.072',-2.988,-2.318,-
'79:48:57.080',-2.988,-2.318,-
'79:48:57.088',-0.988,-0.765,-
'79:48:57.096',-0.988,-0.765,-
'79:48:57.104',-0.988,-0.765,-
'79:48:57.112',-0.988,-0.765,-
'79:48:57.120',-2.988,-2.318,-
'79:48:57.128',-2.988,-2.318,-
'79:48:57.136',-2.988,-2.318,-
'79:48:57.144',-2.988,-2.318,-
'79:48:57.152',-0.988,-0.765,-
'79:48:57.160',-0.988,-0.765,-
'79:48:57.168',-0.988,-0.765,-
'79:48:57.176',-0.988,-0.765,-
'79:48:57.184',-2.988,-2.318,-
'79:48:57.192',-2.988,-2.318,-
'79:48:57.200',-2.988,-2.318,-
'79:48:57.208',-2.988,-2.318,-
'79:48:57.216',-0.988,-0.765,-
'79:48:57.224',-0.988,-0.765,-
'79:48:57.232',-0.988,-0.765,-
'79:48:57.240',-0.988,-0.765,-
'79:48:57.248',-2.988,-2.318,-
'79:48:57.256',-2.988,-2.318,-
'79:48:57.264',-2.988,-2.318,-
'79:48:57.272',-2.988,-2.318,-
'79:48:57.280',-0.988,-0.765,-
'79:48:57.288',-0.988,-0.765,-
'79:48:57.296',-0.988,-0.765,-
'79:48:57.304',-0.988,-0.765,-
'79:48:57.312',-2.988,-2.318,-
'79:48:57.320',-2.988,-2.318,-
'79:48:57.328',-2.988,-2.318,-
'79:48:57.336',-2.988,-2.318,-
'79:48:57.344',-0.988,-0.765,-
'79:48:57.352',-0.988,-0.765,-
'79:48:57.360',-0.988,-0.765,-
'79:48:57.368',-0.988,-0.765,-
'79:48:57.376',-2.988,-2.318,-
'79:48:57.384',-2.988,-2.318,-
'79:48:57.392',-2.988,-2.318,-
'79:48:57.400',-2.988,-2.318,-
'79:48:57.408',-0.988,-0.765,-
'79:48:57.416',-0.988,-0.765,-
'79:48:57.424',-0.988,-0.765,-
'79:48:57.432',-0.988,-0.765,-
'79:48:57.440',-2.988,-2.318,-
'79:48:57.448',-2.988,-2.318,-
'79:48:57.456',-2.988,-2.318,-
'79:48:57.464',-2.988,-2.318,-
'79:48:57.472',-0.988,-0.765,-
'79:48:57.480',-0.988,-0.765,-
