'Elapsed time','II','AVR','AVF','V','MCL1','ABP'
'11:51:21.136',-0.128,-,-,-,0.141,45.600
'11:51:21.144',-0.128,-,-,-,0.167,45.600
'11:51:21.152',-0.128,-,-,-,0.179,45.600
'11:51:21.160',-0.128,-,-,-,0.179,45.600
'11:51:21.168',-0.128,-,-,-,0.192,48.000
'11:51:21.176',-0.128,-,-,-,0.205,51.600
'11:51:21.184',-0.128,-,-,-,0.205,57.600
'11:51:21.192',-0.077,-,-,-,0.205,64.800
'11:51:21.200',-0.077,-,-,-,0.205,74.400
'11:51:21.208',-0.077,-,-,-,0.205,82.800
'11:51:21.216',-0.038,-,-,-,0.205,92.400
'11:51:21.224',-0.038,-,-,-,0.205,99.600
'11:51:21.232',0.000,-,-,-,0.192,106.800
'11:51:21.240',0.000,-,-,-,0.179,112.800
'11:51:21.248',0.000,-,-,-,0.167,117.600
'11:51:21.256',0.000,-,-,-,0.128,120.000
'11:51:21.264',0.000,-,-,-,0.115,121.200
'11:51:21.272',0.000,-,-,-,0.090,121.200
'11:51:21.280',-0.038,-,-,-,0.064,121.200
'11:51:21.288',-0.038,-,-,-,0.038,120.000
'11:51:21.296',-0.038,-,-,-,0.026,117.600
'11:51:21.304',-0.038,-,-,-,0.026,115.200
'11:51:21.312',-0.038,-,-,-,0.013,114.000
'11:51:21.320',-0.038,-,-,-,0.013,111.600
'11:51:21.328',-0.038,-,-,-,0.000,108.000
'11:51:21.336',-0.038,-,-,-,0.000,105.600
'11:51:21.344',-0.038,-,-,-,0.000,103.200
'11:51:21.352',-0.038,-,-,-,0.000,100.800
'11:51:21.360',-0.038,-,-,-,0.000,98.400
'11:51:21.368',-0.038,-,-,-,-0.013,96.000
'11:51:21.376',-0.038,-,-,-,0.000,93.600
'11:51:21.384',0.000,-,-,-,-0.013,90.000
'11:51:21.392',0.000,-,-,-,-0.013,87.600
'11:51:21.400',0.000,-,-,-,-0.013,85.200
'11:51:21.408',0.000,-,-,-,-0.013,81.600
'11:51:21.416',0.000,-,-,-,0.000,79.200
'11:51:21.424',0.000,-,-,-,0.000,75.600
'11:51:21.432',0.000,-,-,-,0.000,73.200
'11:51:21.440',0.000,-,-,-,0.000,69.600
'11:51:21.448',0.000,-,-,-,0.000,67.200
'11:51:21.456',0.000,-,-,-,0.000,64.800
'11:51:21.464',0.000,-,-,-,0.000,62.400
'11:51:21.472',0.000,-,-,-,0.000,61.200
'11:51:21.480',0.000,-,-,-,0.000,60.000
'11:51:21.488',0.000,-,-,-,0.000,60.000
'11:51:21.496',0.000,-,-,-,0.000,60.000
'11:51:21.504',0.000,-,-,-,0.000,60.000
'11:51:21.512',0.000,-,-,-,0.000,60.000
'11:51:21.520',0.000,-,-,-,0.000,60.000
'11:51:21.528',0.000,-,-,-,0.000,61.200
'11:51:21.536',0.000,-,-,-,0.000,61.200
'11:51:21.544',0.000,-,-,-,0.000,62.400
'11:51:21.552',0.000,-,-,-,0.000,62.400
'11:51:21.560',0.000,-,-,-,0.000,62.400
'11:51:21.568',0.000,-,-,-,0.000,62.400
'11:51:21.576',0.000,-,-,-,0.000,62.400
'11:51:21.584',0.000,-,-,-,0.000,62.400
'11:51:21.592',0.000,-,-,-,0.000,62.400
'11:51:21.600',0.000,-,-,-,0.000,61.200
'11:51:21.608',0.000,-,-,-,0.000,61.200
'11:51:21.616',0.000,-,-,-,0.000,60.000
'11:51:21.624',0.000,-,-,-,0.000,60.000
'11:51:21.632',0.000,-,-,-,0.000,58.800
'11:51:21.640',0.000,-,-,-,0.000,58.800
'11:51:21.648',0.000,-,-,-,0.000,57.600
'11:51:21.656',0.000,-,-,-,0.000,56.400
'11:51:21.664',0.000,-,-,-,0.000,56.400
'11:51:21.672',0.000,-,-,-,0.000,55.200
'11:51:21.680',0.000,-,-,-,0.000,55.200
'11:51:21.688',0.000,-,-,-,0.000,54.000
'11:51:21.696',0.000,-,-,-,0.000,54.000
'11:51:21.704',0.000,-,-,-,0.000,52.800
'11:51:21.712',0.000,-,-,-,0.000,52.800
'11:51:21.720',0.000,-,-,-,0.000,51.600
'11:51:21.728',0.038,-,-,-,0.000,51.600
'11:51:21.736',0.000,-,-,-,0.000,50.400
'11:51:21.744',0.000,-,-,-,0.000,50.400
'11:51:21.752',0.038,-,-,-,0.000,50.400
'11:51:21.760',0.038,-,-,-,0.000,49.200
'11:51:21.768',0.038,-,-,-,0.000,49.200
'11:51:21.776',0.038,-,-,-,0.000,49.200
'11:51:21.784',0.038,-,-,-,0.013,49.200
'11:51:21.792',0.038,-,-,-,0.013,48.000
'11:51:21.800',0.038,-,-,-,0.013,48.000
'11:51:21.808',0.038,-,-,-,0.013,48.000
'11:51:21.816',0.077,-,-,-,0.000,48.000
'11:51:21.824',0.077,-,-,-,-0.013,48.000
'11:51:21.832',0.077,-,-,-,-0.013,48.000
'11:51:21.840',0.077,-,-,-,-0.013,48.000
'11:51:21.848',0.077,-,-,-,0.000,46.800
'11:51:21.856',0.038,-,-,-,0.000,46.800
'11:51:21.864',0.038,-,-,-,0.000,46.800
'11:51:21.872',0.038,-,-,-,0.000,46.800
'11:51:21.880',0.038,-,-,-,0.000,46.800
'11:51:21.888',0.038,-,-,-,0.000,46.800
'11:51:21.896',0.000,-,-,-,0.000,46.800
'11:51:21.904',0.000,-,-,-,0.000,46.800
'11:51:21.912',0.000,-,-,-,0.038,46.800
'11:51:21.920',0.000,-,-,-,0.115,46.800
'11:51:21.928',0.167,-,-,-,0.128,46.800
'11:51:21.936',0.641,-,-,-,-0.256,45.600
'11:51:21.944',1.295,-,-,-,-0.782,45.600
'11:51:21.952',1.641,-,-,-,-1.141,45.600
'11:51:21.960',1.692,-,-,-,-1.192,45.600
'11:51:21.968',0.949,-,-,-,-0.833,45.600
'11:51:21.976',0.474,-,-,-,-0.462,45.600
'11:51:21.984',0.167,-,-,-,-0.179,45.600
'11:51:21.992',0.038,-,-,-,-0.013,45.600
'11:51:22.000',-0.038,-,-,-,0.064,45.600
'11:51:22.008',-0.077,-,-,-,0.090,45.600
'11:51:22.016',-0.077,-,-,-,0.115,45.600
'11:51:22.024',-0.128,-,-,-,0.128,45.600
'11:51:22.032',-0.128,-,-,-,0.128,44.400
'11:51:22.040',-0.128,-,-,-,0.128,44.400
'11:51:22.048',-0.128,-,-,-,0.141,44.400
'11:51:22.056',-0.128,-,-,-,0.141,44.400
'11:51:22.064',-0.128,-,-,-,0.141,43.200
'11:51:22.072',-0.128,-,-,-,0.141,43.200
'11:51:22.080',-0.128,-,-,-,0.167,43.200
'11:51:22.088',-0.128,-,-,-,0.167,43.200
'11:51:22.096',-0.077,-,-,-,0.167,45.600
'11:51:22.104',-0.077,-,-,-,0.179,49.200
'11:51:22.112',-0.077,-,-,-,0.192,55.200
'11:51:22.120',-0.077,-,-,-,0.192,63.600
'11:51:22.128',-0.038,-,-,-,0.205,73.200
'11:51:22.136',-0.038,-,-,-,0.205,81.600
'11:51:22.144',-0.038,-,-,-,0.205,91.200
'11:51:22.152',-0.038,-,-,-,0.205,99.600
'11:51:22.160',0.000,-,-,-,0.192,106.800
'11:51:22.168',0.000,-,-,-,0.192,112.800
'11:51:22.176',0.000,-,-,-,0.179,117.600
'11:51:22.184',0.000,-,-,-,0.167,120.000
'11:51:22.192',0.000,-,-,-,0.141,121.200
'11:51:22.200',0.000,-,-,-,0.128,122.400
'11:51:22.208',0.000,-,-,-,0.090,121.200
'11:51:22.216',-0.038,-,-,-,0.077,120.000
'11:51:22.224',-0.038,-,-,-,0.064,118.800
'11:51:22.232',-0.038,-,-,-,0.038,117.600
'11:51:22.240',-0.038,-,-,-,0.038,115.200
'11:51:22.248',-0.038,-,-,-,0.026,112.800
'11:51:22.256',-0.038,-,-,-,0.026,110.400
'11:51:22.264',-0.077,-,-,-,0.013,108.000
'11:51:22.272',-0.077,-,-,-,0.013,104.400
'11:51:22.280',-0.077,-,-,-,0.013,102.000
'11:51:22.288',-0.077,-,-,-,0.013,99.600
'11:51:22.296',-0.038,-,-,-,0.013,97.200
'11:51:22.304',-0.038,-,-,-,0.013,94.800
'11:51:22.312',-0.038,-,-,-,0.000,92.400
'11:51:22.320',-0.038,-,-,-,0.000,90.000
'11:51:22.328',-0.038,-,-,-,0.000,86.400
'11:51:22.336',-0.038,-,-,-,0.000,84.000
'11:51:22.344',-0.038,-,-,-,0.000,81.600
'11:51:22.352',-0.038,-,-,-,0.000,78.000
'11:51:22.360',-0.038,-,-,-,0.000,74.400
'11:51:22.368',-0.038,-,-,-,0.000,72.000
'11:51:22.376',-0.038,-,-,-,0.000,68.400
'11:51:22.384',-0.038,-,-,-,0.013,66.000
'11:51:22.392',0.000,-,-,-,0.013,63.600
'11:51:22.400',-0.038,-,-,-,0.013,62.400
'11:51:22.408',-0.038,-,-,-,0.013,61.200
'11:51:22.416',-0.038,-,-,-,0.013,60.000
'11:51:22.424',-0.038,-,-,-,0.013,60.000
'11:51:22.432',-0.038,-,-,-,0.013,60.000
'11:51:22.440',-0.038,-,-,-,0.013,60.000
'11:51:22.448',-0.038,-,-,-,0.013,60.000
'11:51:22.456',-0.038,-,-,-,0.013,60.000
'11:51:22.464',-0.038,-,-,-,0.013,60.000
'11:51:22.472',-0.038,-,-,-,0.013,61.200
'11:51:22.480',-0.038,-,-,-,0.013,61.200
'11:51:22.488',-0.038,-,-,-,0.000,61.200
'11:51:22.496',-0.038,-,-,-,0.000,61.200
'11:51:22.504',-0.038,-,-,-,0.000,61.200
'11:51:22.512',-0.038,-,-,-,0.000,61.200
'11:51:22.520',-0.038,-,-,-,0.000,61.200
'11:51:22.528',-0.038,-,-,-,0.000,61.200
'11:51:22.536',-0.038,-,-,-,0.000,60.000
'11:51:22.544',-0.038,-,-,-,0.000,60.000
'11:51:22.552',-0.038,-,-,-,0.000,58.800
'11:51:22.560',-0.038,-,-,-,0.013,57.600
'11:51:22.568',-0.038,-,-,-,0.013,57.600
'11:51:22.576',-0.038,-,-,-,0.013,56.400
'11:51:22.584',-0.038,-,-,-,0.013,56.400
'11:51:22.592',-0.038,-,-,-,0.013,55.200
'11:51:22.600',0.000,-,-,-,0.013,54.000
'11:51:22.608',0.000,-,-,-,0.000,54.000
'11:51:22.616',0.000,-,-,-,0.000,52.800
'11:51:22.624',0.000,-,-,-,-0.013,52.800
'11:51:22.632',0.000,-,-,-,-0.026,51.600
'11:51:22.640',0.000,-,-,-,-0.013,51.600
'11:51:22.648',0.000,-,-,-,0.000,50.400
'11:51:22.656',-0.038,-,-,-,0.000,50.400
'11:51:22.664',-0.038,-,-,-,0.000,50.400
'11:51:22.672',-0.038,-,-,-,0.000,49.200
'11:51:22.680',-0.038,-,-,-,0.000,49.200
'11:51:22.688',-0.038,-,-,-,0.013,49.200
'11:51:22.696',-0.038,-,-,-,0.064,48.000
'11:51:22.704',-0.038,-,-,-,0.128,48.000
'11:51:22.712',0.167,-,-,-,0.141,48.000
'11:51:22.720',0.692,-,-,-,-0.372,48.000
'11:51:22.728',1.346,-,-,-,-0.923,46.800
'11:51:22.736',1.603,-,-,-,-1.244,46.800
'11:51:22.744',1.295,-,-,-,-1.282,46.800
'11:51:22.752',0.782,-,-,-,-0.795,46.800
'11:51:22.760',0.346,-,-,-,-0.410,46.800
'11:51:22.768',0.077,-,-,-,-0.141,46.800
'11:51:22.776',-0.038,-,-,-,0.013,46.800
'11:51:22.784',-0.128,-,-,-,0.077,46.800
'11:51:22.792',-0.128,-,-,-,0.115,46.800
'11:51:22.800',-0.167,-,-,-,0.128,46.800
'11:51:22.808',-0.167,-,-,-,0.128,46.800
'11:51:22.816',-0.167,-,-,-,0.128,46.800
'11:51:22.824',-0.167,-,-,-,0.141,46.800
'11:51:22.832',-0.167,-,-,-,0.141,45.600
'11:51:22.840',-0.167,-,-,-,0.141,45.600
'11:51:22.848',-0.167,-,-,-,0.167,45.600
'11:51:22.856',-0.167,-,-,-,0.167,45.600
'11:51:22.864',-0.167,-,-,-,0.179,44.400
'11:51:22.872',-0.167,-,-,-,0.179,45.600
'11:51:22.880',-0.128,-,-,-,0.192,46.800
'11:51:22.888',-0.128,-,-,-,0.192,49.200
'11:51:22.896',-0.128,-,-,-,0.205,55.200
'11:51:22.904',-0.128,-,-,-,0.205,62.400
'11:51:22.912',-0.077,-,-,-,0.231,70.800
'11:51:22.920',-0.077,-,-,-,0.205,79.200
'11:51:22.928',-0.077,-,-,-,0.205,88.800
'11:51:22.936',-0.038,-,-,-,0.205,97.200
'11:51:22.944',-0.038,-,-,-,0.192,104.400
'11:51:22.952',-0.038,-,-,-,0.179,110.400
'11:51:22.960',-0.038,-,-,-,0.167,114.000
'11:51:22.968',0.000,-,-,-,0.141,117.600
'11:51:22.976',-0.038,-,-,-,0.128,118.800
'11:51:22.984',-0.038,-,-,-,0.090,120.000
'11:51:22.992',-0.038,-,-,-,0.077,118.800
'11:51:23.000',-0.077,-,-,-,0.064,117.600
'11:51:23.008',-0.077,-,-,-,0.038,116.400
'11:51:23.016',-0.077,-,-,-,0.026,114.000
'11:51:23.024',-0.077,-,-,-,0.013,112.800
'11:51:23.032',-0.077,-,-,-,0.013,110.400
'11:51:23.040',-0.077,-,-,-,0.013,106.800
'11:51:23.048',-0.077,-,-,-,0.013,104.400
'11:51:23.056',-0.077,-,-,-,0.000,102.000
'11:51:23.064',-0.077,-,-,-,0.000,99.600
'11:51:23.072',-0.077,-,-,-,0.000,96.000
'11:51:23.080',-0.077,-,-,-,0.000,93.600
'11:51:23.088',-0.077,-,-,-,0.000,91.200
'11:51:23.096',-0.038,-,-,-,0.000,88.800
'11:51:23.104',-0.038,-,-,-,0.000,86.400
'11:51:23.112',-0.038,-,-,-,0.000,84.000
'11:51:23.120',-0.038,-,-,-,0.000,80.400
'11:51:23.128',-0.038,-,-,-,0.000,78.000
'11:51:23.136',-0.038,-,-,-,0.000,74.400
'11:51:23.144',-0.038,-,-,-,0.000,70.800
'11:51:23.152',-0.038,-,-,-,0.000,68.400
'11:51:23.160',-0.038,-,-,-,0.000,64.800
'11:51:23.168',0.000,-,-,-,0.000,63.600
'11:51:23.176',-0.038,-,-,-,0.013,61.200
'11:51:23.184',-0.038,-,-,-,0.013,60.000
'11:51:23.192',-0.038,-,-,-,0.013,58.800
'11:51:23.200',-0.038,-,-,-,0.013,57.600
'11:51:23.208',-0.038,-,-,-,0.013,57.600
'11:51:23.216',-0.038,-,-,-,0.013,57.600
'11:51:23.224',-0.038,-,-,-,0.013,57.600
'11:51:23.232',-0.038,-,-,-,0.013,57.600
'11:51:23.240',-0.038,-,-,-,0.013,58.800
'11:51:23.248',-0.038,-,-,-,0.013,58.800
'11:51:23.256',-0.038,-,-,-,0.013,60.000
'11:51:23.264',-0.038,-,-,-,0.013,60.000
'11:51:23.272',-0.038,-,-,-,0.013,60.000
'11:51:23.280',-0.038,-,-,-,0.000,60.000
'11:51:23.288',-0.038,-,-,-,0.000,60.000
'11:51:23.296',-0.038,-,-,-,0.000,60.000
'11:51:23.304',-0.038,-,-,-,0.000,60.000
'11:51:23.312',-0.038,-,-,-,0.000,60.000
'11:51:23.320',-0.038,-,-,-,0.000,58.800
'11:51:23.328',-0.038,-,-,-,0.000,58.800
'11:51:23.336',-0.038,-,-,-,0.000,57.600
'11:51:23.344',-0.038,-,-,-,0.000,57.600
'11:51:23.352',-0.038,-,-,-,0.000,56.400
'11:51:23.360',-0.038,-,-,-,0.000,56.400
'11:51:23.368',-0.038,-,-,-,0.000,55.200
'11:51:23.376',-0.038,-,-,-,0.000,54.000
'11:51:23.384',-0.038,-,-,-,0.000,54.000
'11:51:23.392',-0.038,-,-,-,0.000,52.800
'11:51:23.400',-0.038,-,-,-,0.000,52.800
'11:51:23.408',0.000,-,-,-,0.000,51.600
'11:51:23.416',-0.038,-,-,-,0.000,51.600
'11:51:23.424',-0.038,-,-,-,0.000,50.400
'11:51:23.432',0.000,-,-,-,0.000,50.400
'11:51:23.440',0.000,-,-,-,0.000,49.200
'11:51:23.448',0.000,-,-,-,0.000,49.200
'11:51:23.456',0.000,-,-,-,0.000,49.200
'11:51:23.464',0.000,-,-,-,0.000,48.000
'11:51:23.472',0.000,-,-,-,0.000,48.000
'11:51:23.480',0.000,-,-,-,0.000,48.000
'11:51:23.488',0.000,-,-,-,0.013,46.800
'11:51:23.496',0.000,-,-,-,0.026,46.800
'11:51:23.504',0.000,-,-,-,0.026,46.800
'11:51:23.512',0.000,-,-,-,0.026,46.800
'11:51:23.520',0.038,-,-,-,0.013,45.600
'11:51:23.528',0.038,-,-,-,0.013,45.600
'11:51:23.536',0.038,-,-,-,0.000,45.600
'11:51:23.544',0.038,-,-,-,0.000,45.600
'11:51:23.552',0.038,-,-,-,0.000,45.600
'11:51:23.560',0.000,-,-,-,0.000,45.600
'11:51:23.568',0.000,-,-,-,0.000,44.400
'11:51:23.576',0.000,-,-,-,0.000,44.400
'11:51:23.584',0.000,-,-,-,0.000,44.400
'11:51:23.592',0.000,-,-,-,0.000,44.400
'11:51:23.600',-0.038,-,-,-,0.000,44.400
'11:51:23.608',0.000,-,-,-,0.000,44.400
'11:51:23.616',-0.038,-,-,-,0.013,44.400
'11:51:23.624',-0.038,-,-,-,0.064,44.400
'11:51:23.632',-0.038,-,-,-,0.141,44.400
'11:51:23.640',0.167,-,-,-,0.167,44.400
'11:51:23.648',0.641,-,-,-,-0.333,44.400
'11:51:23.656',1.295,-,-,-,-0.859,44.400
'11:51:23.664',1.564,-,-,-,-1.192,44.400
'11:51:23.672',1.295,-,-,-,-1.231,44.400
'11:51:23.680',0.821,-,-,-,-0.795,44.400
'11:51:23.688',0.385,-,-,-,-0.423,44.400
'11:51:23.696',0.128,-,-,-,-0.141,44.400
'11:51:23.704',0.000,-,-,-,0.000,44.400
'11:51:23.712',-0.077,-,-,-,0.077,44.400
'11:51:23.720',-0.128,-,-,-,0.090,44.400
'11:51:23.728',-0.128,-,-,-,0.115,44.400
'11:51:23.736',-0.128,-,-,-,0.128,43.200
'11:51:23.744',-0.128,-,-,-,0.128,43.200
'11:51:23.752',-0.128,-,-,-,0.141,43.200
'11:51:23.760',-0.128,-,-,-,0.141,43.200
'11:51:23.768',-0.128,-,-,-,0.141,42.000
'11:51:23.776',-0.128,-,-,-,0.141,42.000
'11:51:23.784',-0.128,-,-,-,0.141,42.000
'11:51:23.792',-0.128,-,-,-,0.167,40.800
'11:51:23.800',-0.128,-,-,-,0.167,42.000
'11:51:23.808',-0.128,-,-,-,0.167,43.200
'11:51:23.816',-0.128,-,-,-,0.179,46.800
'11:51:23.824',-0.128,-,-,-,0.179,51.600
'11:51:23.832',-0.077,-,-,-,0.192,58.800
'11:51:23.840',-0.077,-,-,-,0.205,68.400
'11:51:23.848',-0.077,-,-,-,0.205,76.800
'11:51:23.856',-0.038,-,-,-,0.205,86.400
'11:51:23.864',-0.038,-,-,-,0.192,94.800
'11:51:23.872',-0.038,-,-,-,0.192,102.000
'11:51:23.880',0.000,-,-,-,0.179,108.000
'11:51:23.888',0.000,-,-,-,0.167,112.800
'11:51:23.896',0.000,-,-,-,0.141,116.400
'11:51:23.904',0.000,-,-,-,0.128,117.600
'11:51:23.912',0.000,-,-,-,0.115,118.800
'11:51:23.920',0.000,-,-,-,0.090,118.800
'11:51:23.928',-0.038,-,-,-,0.077,117.600
'11:51:23.936',-0.038,-,-,-,0.064,116.400
'11:51:23.944',-0.038,-,-,-,0.038,114.000
